power,frequency
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #DARK
22,12265000 #ORDER_96
22,12413000 #ORDER_97
22,12561000 #ORDER_98
22,12709000 #ORDER_99
23,12857000 #ORDER_100
23,13004000 #ORDER_101
23,13152000 #ORDER_102
23,13300000 #ORDER_103
22,13447000 #ORDER_104
22,13595000 #ORDER_105
22,13742000 #ORDER_106
22,13890000 #ORDER_107
23,14038000 #ORDER_108
25,14185000 #ORDER_109
26,14332000 #ORDER_110
27,14479000 #ORDER_111
27,14627000 #ORDER_112
27,14774000 #ORDER_113
27,14921000 #ORDER_114
26,15069000 #ORDER_115
26,15216000 #ORDER_116
26,15363000 #ORDER_117
27,15510000 #ORDER_118
27,15657000 #ORDER_119
27,15804000 #ORDER_120
26,15951000 #ORDER_121
26,16098000 #ORDER_122
26,16245000 #ORDER_123
26,16392000 #ORDER_124
26,16539000 #ORDER_125
26,16686000 #ORDER_126
26,16832000 #ORDER_127
26,16979000 #ORDER_128
26,17126000 #ORDER_129
26,17273000 #ORDER_130
26,17419000 #ORDER_131
26,17566000 #ORDER_132
26,17712000 #ORDER_133
26,17859000 #ORDER_134
25,18005000 #ORDER_135
25,18152000 #ORDER_136
25,18298000 #ORDER_137
25,18445000 #ORDER_138
25,18591000 #ORDER_139
25,18737000 #ORDER_140
25,18883000 #ORDER_141
26,19030000 #ORDER_142
26,19176000 #ORDER_143
26,19322000 #ORDER_144
26,19468000 #ORDER_145
26,19614000 #ORDER_146
26,19761000 #ORDER_147
26,19907000 #ORDER_148
26,20052000 #ORDER_149
26,20198000 #ORDER_150
26,20344000 #ORDER_151
26,20490000 #ORDER_152
26,20636000 #ORDER_153
26,20782000 #ORDER_154
26,20927000 #ORDER_155
26,21074000 #ORDER_156
27,21219000 #ORDER_157
27,21365000 #ORDER_158
27,21510000 #ORDER_159
27,21656000 #ORDER_160
27,21802000 #ORDER_161
27,21947000 #ORDER_162
27,22093000 #ORDER_163
28,22238000 #ORDER_164
28,22384000 #ORDER_165
29,22529000 #ORDER_166
29,22674000 #ORDER_167
29,22820000 #ORDER_168
29,22965000 #ORDER_169
28,23110000 #ORDER_170
28,23255000 #ORDER_171
28,23401000 #ORDER_172
28,23546000 #ORDER_173
28,23691000 #ORDER_174
29,23836000 #ORDER_175
29,23981000 #ORDER_176
29,24126000 #ORDER_177
29,24271000 #ORDER_178
29,24416000 #ORDER_179
29,24561000 #ORDER_180
29,24706000 #ORDER_181
29,24851000 #ORDER_182
29,24996000 #ORDER_183
29,25140000 #ORDER_184
29,25285000 #ORDER_185
29,25430000 #ORDER_186
29,25575000 #ORDER_187
29,25719000 #ORDER_188
29,25864000 #ORDER_189
29,26008000 #ORDER_190
30,26153000 #ORDER_191
30,26297000 #ORDER_192
30,26442000 #ORDER_193
30,26586000 #ORDER_194
30,26731000 #ORDER_195
30,26875000 #ORDER_196
30,27019000 #ORDER_197
31,27163000 #ORDER_198
31,27308000 #ORDER_199
32,27452000 #ORDER_200
