degf,dvaf,sbsf,aotfPointer,steppingPointer,accumulationCount,binningFactor,integrationTime
0,1,0,0,0,0,0,0 # 0
0,1,1,120,1,78,0,2000 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=849MS -- NROWS=24
0,1,1,167,1,78,0,2000 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=849MS -- NROWS=24
0,1,1,190,1,78,0,2000 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=849MS -- NROWS=24
0,1,1,120,1,64,0,4000 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=829MS -- NROWS=24
0,1,1,167,1,64,0,4000 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=829MS -- NROWS=24
0,1,1,190,1,64,0,4000 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=829MS -- NROWS=24
0,1,0,120,3,1,0,1 # SOLAR_INTTIME_STEPPING_SLOW -- EXECTIME=17MS -- NROWS=24
0,1,0,167,3,1,0,1 # SOLAR_INTTIME_STEPPING_SLOW -- EXECTIME=17MS -- NROWS=24
0,1,0,190,3,1,0,1 # SOLAR_INTTIME_STEPPING_SLOW -- EXECTIME=17MS -- NROWS=24
0,1,0,120,4,1,5,1 # SOLAR_INTTIME_STEPPING_FAST -- EXECTIME=102MS -- NROWS=24
0,1,0,167,4,1,5,1 # SOLAR_INTTIME_STEPPING_FAST -- EXECTIME=102MS -- NROWS=24
0,1,0,190,4,1,5,1 # SOLAR_INTTIME_STEPPING_FAST -- EXECTIME=102MS -- NROWS=24
0,1,0,120,5,1,0,1 # DARK_INTTIME_STEPPING_SLOW -- EXECTIME=17MS -- NROWS=24
0,1,0,167,5,1,0,1 # DARK_INTTIME_STEPPING_SLOW -- EXECTIME=17MS -- NROWS=24
0,1,0,190,5,1,0,1 # DARK_INTTIME_STEPPING_SLOW -- EXECTIME=17MS -- NROWS=24
0,1,1,100,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,100,6,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,100,6,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,105,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,105,6,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,105,6,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,110,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,110,6,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,110,6,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,115,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,115,6,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,115,6,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,120,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,120,6,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,120,6,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,125,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,125,6,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,125,6,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,130,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,130,6,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,130,6,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,135,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,135,6,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,135,6,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,140,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
