mode,acq_mode,bias_average,dark_average,science_average,vstart,vend,hstart,hend,vod_value,vrd_value,start_delay,acq_delay,integration_time,num_acqs,num_flush,dark_so_steps,dark_nadir_steps,motor_delay,motor_start_position,flag_register,binning_size,control_bits
5,1,0,0,0,0,1,0,1047,4095,3480,1,0,50,1,2,0,0,125,7,136,0,985 # TEST CARD:Vertical Bin (0:1;0:1047) -Tint = 50 ms -16 bit - Rhythm = 1000 ms
3,0,0,0,0,0,255,0,1047,4095,3480,1,0,10000,65534,242,5,5,125,7,216,0,0 # STEPPER CALIBRATION: Full Frame (0:255;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12723 ms
3,1,0,0,0,107,229,0,1047,4095,3480,1,0,10000,65534,242,5,5,125,7,88,0,0 # STEPPER CALIBRATION: Vertical Bin (107:229;0:1047) -Tint = 10000 ms -20 bit - Rhythm = 11321 ms
3,1,0,0,0,167,182,0,1047,4095,3480,1,2,40,65534,242,5,5,125,7,88,0,0 # STEPPER CALIBRATION: Vertical Bin (167:182;0:1047) -Tint = 40 ms -20 bit - Rhythm = 235 ms
3,0,0,0,0,140,205,0,1047,4095,3480,1,2600,40,65534,242,5,5,125,7,200,0,0 # STEPPER CALIBRATION: Full Frame (140:205;0:1047) - Tint = 40 ms -16 bit - Rhythm = 3361 ms
1,0,0,0,0,167,182,0,1047,4095,3480,1,0,65000,65534,242,5,5,125,7,202,0,0 # SO: Full Frame (167:182;0:1047) - Tint = 65000 ms -16 bit - Rhythm = 65193 ms
1,1,0,0,0,167,182,0,1047,4095,3480,1,0,65000,65534,242,5,5,125,7,74,0,0 # SO: Vertical Bin (167:182;0:1047) -Tint = 65000 ms -20 bit - Rhythm = 65193 ms
1,1,0,0,0,167,182,0,1047,4095,3480,1,42,0,65534,242,5,5,125,7,74,0,0 # SO: Vertical Bin (167:182;0:1047) -Tint = 0 ms -20 bit - Rhythm = 235 ms
2,0,0,0,0,0,255,0,1047,4095,3480,1,8796,0,53,242,5,5,125,7,202,0,0 # NADIR: Full Frame (0:255;0:1047) - Tint = 0 ms -16 bit - Rhythm = 11519 ms
2,1,0,0,0,47,240,0,1047,4095,3480,1,12930,0,41,242,5,5,125,7,74,0,0 # NADIR: Vertical Bin (47:240;0:1047) -Tint = 0 ms -20 bit - Rhythm = 15000 ms
2,1,0,0,0,0,255,0,1047,4095,3480,1,12277,0,41,242,5,5,125,7,74,0,0 # NADIR: Vertical Bin (0:255;0:1047) -Tint = 0 ms -20 bit - Rhythm = 15000 ms
2,0,0,0,0,47,240,0,1047,4095,3480,1,0,65000,9,242,5,5,125,7,202,0,0 # NADIR: Full Frame (47:240;0:1047) - Tint = 65000 ms -16 bit - Rhythm = 67070 ms
