windowLineCount,windowLeftTop,detectorSupply,aotfDelay,dataSource,dataValidSource,rythm
19,118,1,1,0,0,1 # DEFAULT_OCCULTATION
15,120,1,1,0,0,1 # DEFAULT_OCCULTATION2
23,116,1,1,0,0,1 # DEFAULT_CALIBRATION
15,112,1,1,0,0,1 # OCCULTATION_CALIBRATION
15,113,1,1,0,0,1 # OCCULTATION_CALIBRATION
15,114,1,1,0,0,1 # OCCULTATION_CALIBRATION
15,115,1,1,0,0,1 # OCCULTATION_CALIBRATION
15,116,1,1,0,0,1 # OCCULTATION_CALIBRATION
15,117,1,1,0,0,1 # OCCULTATION_CALIBRATION
15,118,1,1,0,0,1 # OCCULTATION_CALIBRATION
15,119,1,1,0,0,1 # OCCULTATION_CALIBRATION
15,120,1,1,0,0,1 # OCCULTATION_CALIBRATION
15,121,1,1,0,0,1 # OCCULTATION_CALIBRATION
15,122,1,1,0,0,1 # OCCULTATION_CALIBRATION
15,123,1,1,0,0,1 # OCCULTATION_CALIBRATION
19,112,1,1,0,0,1 # OCCULTATION_CALIBRATION
19,113,1,1,0,0,1 # OCCULTATION_CALIBRATION
19,114,1,1,0,0,1 # OCCULTATION_CALIBRATION
19,115,1,1,0,0,1 # OCCULTATION_CALIBRATION
19,116,1,1,0,0,1 # OCCULTATION_CALIBRATION
19,117,1,1,0,0,1 # OCCULTATION_CALIBRATION
19,118,1,1,0,0,1 # OCCULTATION_CALIBRATION
19,119,1,1,0,0,1 # OCCULTATION_CALIBRATION
19,120,1,1,0,0,1 # OCCULTATION_CALIBRATION
19,121,1,1,0,0,1 # OCCULTATION_CALIBRATION
19,122,1,1,0,0,1 # OCCULTATION_CALIBRATION
19,123,1,1,0,0,1 # OCCULTATION_CALIBRATION
15,112,1,1,0,0,2 # OCCULTATION_CALIBRATION
15,113,1,1,0,0,2 # OCCULTATION_CALIBRATION
15,114,1,1,0,0,2 # OCCULTATION_CALIBRATION
15,115,1,1,0,0,2 # OCCULTATION_CALIBRATION
15,116,1,1,0,0,2 # OCCULTATION_CALIBRATION
15,117,1,1,0,0,2 # OCCULTATION_CALIBRATION
15,118,1,1,0,0,2 # OCCULTATION_CALIBRATION
15,119,1,1,0,0,2 # OCCULTATION_CALIBRATION
15,120,1,1,0,0,2 # OCCULTATION_CALIBRATION
15,121,1,1,0,0,2 # OCCULTATION_CALIBRATION
15,122,1,1,0,0,2 # OCCULTATION_CALIBRATION
15,123,1,1,0,0,2 # OCCULTATION_CALIBRATION
19,112,1,1,0,0,2 # OCCULTATION_CALIBRATION
19,113,1,1,0,0,2 # OCCULTATION_CALIBRATION
19,114,1,1,0,0,2 # OCCULTATION_CALIBRATION
19,115,1,1,0,0,2 # OCCULTATION_CALIBRATION
19,116,1,1,0,0,2 # OCCULTATION_CALIBRATION
19,117,1,1,0,0,2 # OCCULTATION_CALIBRATION
19,118,1,1,0,0,2 # OCCULTATION_CALIBRATION
19,119,1,1,0,0,2 # OCCULTATION_CALIBRATION
19,120,1,1,0,0,2 # OCCULTATION_CALIBRATION
19,121,1,1,0,0,2 # OCCULTATION_CALIBRATION
19,122,1,1,0,0,2 # OCCULTATION_CALIBRATION
19,123,1,1,0,0,2 # OCCULTATION_CALIBRATION
15,112,1,1,0,0,4 # OCCULTATION_CALIBRATION
15,113,1,1,0,0,4 # OCCULTATION_CALIBRATION
15,114,1,1,0,0,4 # OCCULTATION_CALIBRATION
15,115,1,1,0,0,4 # OCCULTATION_CALIBRATION
15,116,1,1,0,0,4 # OCCULTATION_CALIBRATION
15,117,1,1,0,0,4 # OCCULTATION_CALIBRATION
15,118,1,1,0,0,4 # OCCULTATION_CALIBRATION
15,119,1,1,0,0,4 # OCCULTATION_CALIBRATION
15,120,1,1,0,0,4 # OCCULTATION_CALIBRATION
15,121,1,1,0,0,4 # OCCULTATION_CALIBRATION
15,122,1,1,0,0,4 # OCCULTATION_CALIBRATION
15,123,1,1,0,0,4 # OCCULTATION_CALIBRATION
19,112,1,1,0,0,4 # OCCULTATION_CALIBRATION
19,113,1,1,0,0,4 # OCCULTATION_CALIBRATION
19,114,1,1,0,0,4 # OCCULTATION_CALIBRATION
19,115,1,1,0,0,4 # OCCULTATION_CALIBRATION
19,116,1,1,0,0,4 # OCCULTATION_CALIBRATION
19,117,1,1,0,0,4 # OCCULTATION_CALIBRATION
19,118,1,1,0,0,4 # OCCULTATION_CALIBRATION
19,119,1,1,0,0,4 # OCCULTATION_CALIBRATION
19,120,1,1,0,0,4 # OCCULTATION_CALIBRATION
19,121,1,1,0,0,4 # OCCULTATION_CALIBRATION
19,122,1,1,0,0,4 # OCCULTATION_CALIBRATION
19,123,1,1,0,0,4 # OCCULTATION_CALIBRATION
23,104,1,1,0,0,1 # OCCULTATION_CALIBRATION
