degf,dvaf,sbsf,aotfPointer,steppingPointer,accumulationCount,binningFactor,integrationTime
0,1,0,0,0,0,0,0 # 0
0,1,1,120,1,86,0,1000 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=848MS -- NROWS=24
0,1,1,167,1,86,0,1000 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=848MS -- NROWS=24
0,1,1,190,1,86,0,1000 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=848MS -- NROWS=24
0,1,1,120,1,78,0,2000 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=849MS -- NROWS=24
0,1,1,167,1,78,0,2000 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=849MS -- NROWS=24
0,1,1,190,1,78,0,2000 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=849MS -- NROWS=24
0,1,1,120,2,86,0,1000 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=848MS -- NROWS=24
0,1,1,167,2,86,0,1000 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=848MS -- NROWS=24
0,1,1,190,2,86,0,1000 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=848MS -- NROWS=24
0,1,1,120,2,78,0,2000 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=849MS -- NROWS=24
0,1,1,167,2,78,0,2000 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=849MS -- NROWS=24
0,1,1,190,2,78,0,2000 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=849MS -- NROWS=24
0,1,0,120,3,1,0,1 # SOLAR_INTTIME_STEPPING_SLOW -- EXECTIME=17MS -- NROWS=24
0,1,0,167,3,1,0,1 # SOLAR_INTTIME_STEPPING_SLOW -- EXECTIME=17MS -- NROWS=24
0,1,0,190,3,1,0,1 # SOLAR_INTTIME_STEPPING_SLOW -- EXECTIME=17MS -- NROWS=24
0,1,0,120,4,1,5,1 # SOLAR_INTTIME_STEPPING_FAST -- EXECTIME=102MS -- NROWS=24
0,1,0,167,4,1,5,1 # SOLAR_INTTIME_STEPPING_FAST -- EXECTIME=102MS -- NROWS=24
0,1,0,190,4,1,5,1 # SOLAR_INTTIME_STEPPING_FAST -- EXECTIME=102MS -- NROWS=24
0,1,0,120,5,1,0,1 # DARK_INTTIME_STEPPING_SLOW -- EXECTIME=17MS -- NROWS=24
0,1,0,167,5,1,0,1 # DARK_INTTIME_STEPPING_SLOW -- EXECTIME=17MS -- NROWS=24
0,1,0,190,5,1,0,1 # DARK_INTTIME_STEPPING_SLOW -- EXECTIME=17MS -- NROWS=24
0,1,1,110,6,86,0,1000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=848MS -- NROWS=24
0,1,1,110,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,120,6,86,0,1000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=848MS -- NROWS=24
0,1,1,120,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,130,6,86,0,1000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=848MS -- NROWS=24
0,1,1,130,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,140,6,86,0,1000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=848MS -- NROWS=24
0,1,1,140,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,150,6,86,0,1000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=848MS -- NROWS=24
0,1,1,150,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,160,6,86,0,1000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=848MS -- NROWS=24
0,1,1,160,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,170,6,86,0,1000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=848MS -- NROWS=24
0,1,1,170,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,180,6,86,0,1000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=848MS -- NROWS=24
0,1,1,180,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,190,6,86,0,1000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=848MS -- NROWS=24
0,1,1,190,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,200,6,86,0,1000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=848MS -- NROWS=24
0,1,1,200,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,210,6,86,0,1000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=848MS -- NROWS=24
0,1,1,210,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,110,8,86,0,1000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=848MS -- NROWS=24
0,1,1,110,8,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,140,8,86,0,1000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=848MS -- NROWS=24
0,1,1,140,8,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,170,8,86,0,1000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=848MS -- NROWS=24
0,1,1,170,8,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,190,8,86,0,1000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=848MS -- NROWS=24
0,1,1,190,8,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,110,10,86,0,1000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=848MS -- NROWS=24
0,1,1,110,10,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,140,10,86,0,1000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=848MS -- NROWS=24
