science_1,science_2,science_3,science_4,science_5,science_6
0,0,0,0,0,0 # EMPTY ROW
1,0,0,0,0,0 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=849MS -- NROWS=24
2,0,0,0,0,0 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=849MS -- NROWS=24
3,0,0,0,0,0 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=849MS -- NROWS=24
4,0,0,0,0,0 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=829MS -- NROWS=24
5,0,0,0,0,0 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=829MS -- NROWS=24
6,0,0,0,0,0 # WINDOW_STEPPING_OCCULTATION -- EXECTIME=829MS -- NROWS=24
7,0,0,0,0,0 # SOLAR_INTTIME_STEPPING_SLOW -- EXECTIME=17MS -- NROWS=24
8,0,0,0,0,0 # SOLAR_INTTIME_STEPPING_SLOW -- EXECTIME=17MS -- NROWS=24
9,0,0,0,0,0 # SOLAR_INTTIME_STEPPING_SLOW -- EXECTIME=17MS -- NROWS=24
10,0,0,0,0,0 # SOLAR_INTTIME_STEPPING_FAST -- EXECTIME=102MS -- NROWS=24
11,0,0,0,0,0 # SOLAR_INTTIME_STEPPING_FAST -- EXECTIME=102MS -- NROWS=24
12,0,0,0,0,0 # SOLAR_INTTIME_STEPPING_FAST -- EXECTIME=102MS -- NROWS=24
13,0,0,0,0,0 # DARK_INTTIME_STEPPING_SLOW -- EXECTIME=17MS -- NROWS=24
14,0,0,0,0,0 # DARK_INTTIME_STEPPING_SLOW -- EXECTIME=17MS -- NROWS=24
15,0,0,0,0,0 # DARK_INTTIME_STEPPING_SLOW -- EXECTIME=17MS -- NROWS=24
16,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
17,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
18,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
19,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
20,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
21,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
22,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
23,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
24,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
25,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
26,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
27,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
28,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
29,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
