power,frequency
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #EMPTY
0,0 #DARK
25,14886000 #ORDER_108
25,15042000 #ORDER_109
25,15197000 #ORDER_110
25,15353000 #ORDER_111
25,15509000 #ORDER_112
25,15664000 #ORDER_113
25,15820000 #ORDER_114
25,15975000 #ORDER_115
25,16131000 #ORDER_116
25,16287000 #ORDER_117
25,16442000 #ORDER_118
25,16598000 #ORDER_119
24,16753000 #ORDER_120
24,16909000 #ORDER_121
24,17064000 #ORDER_122
24,17219000 #ORDER_123
25,17375000 #ORDER_124
25,17530000 #ORDER_125
24,17685000 #ORDER_126
24,17841000 #ORDER_127
24,17996000 #ORDER_128
24,18151000 #ORDER_129
24,18306000 #ORDER_130
24,18461000 #ORDER_131
24,18616000 #ORDER_132
25,18771000 #ORDER_133
25,18927000 #ORDER_134
25,19082000 #ORDER_135
25,19236000 #ORDER_136
25,19391000 #ORDER_137
25,19547000 #ORDER_138
25,19701000 #ORDER_139
25,19856000 #ORDER_140
25,20011000 #ORDER_141
25,20166000 #ORDER_142
25,20321000 #ORDER_143
25,20475000 #ORDER_144
25,20630000 #ORDER_145
25,20784000 #ORDER_146
25,20940000 #ORDER_147
25,21094000 #ORDER_148
26,21249000 #ORDER_149
26,21403000 #ORDER_150
26,21557000 #ORDER_151
26,21712000 #ORDER_152
26,21867000 #ORDER_153
26,22021000 #ORDER_154
26,22175000 #ORDER_155
27,22330000 #ORDER_156
27,22484000 #ORDER_157
27,22639000 #ORDER_158
27,22793000 #ORDER_159
27,22948000 #ORDER_160
27,23102000 #ORDER_161
27,23256000 #ORDER_162
27,23410000 #ORDER_163
27,23564000 #ORDER_164
27,23719000 #ORDER_165
27,23873000 #ORDER_166
27,24026000 #ORDER_167
27,24180000 #ORDER_168
27,24335000 #ORDER_169
27,24489000 #ORDER_170
27,24643000 #ORDER_171
27,24796000 #ORDER_172
27,24951000 #ORDER_173
27,25105000 #ORDER_174
27,25258000 #ORDER_175
27,25412000 #ORDER_176
27,25566000 #ORDER_177
27,25720000 #ORDER_178
27,25873000 #ORDER_179
27,26027000 #ORDER_180
28,26181000 #ORDER_181
28,26335000 #ORDER_182
28,26488000 #ORDER_183
28,26642000 #ORDER_184
28,26795000 #ORDER_185
28,26949000 #ORDER_186
28,27103000 #ORDER_187
29,27256000 #ORDER_188
29,27409000 #ORDER_189
30,27562000 #ORDER_190
30,27716000 #ORDER_191
29,27870000 #ORDER_192
30,28023000 #ORDER_193
30,28176000 #ORDER_194
30,28330000 #ORDER_195
31,28483000 #ORDER_196
31,28636000 #ORDER_197
31,28789000 #ORDER_198
31,28943000 #ORDER_199
31,29096000 #ORDER_200
32,29249000 #ORDER_201
33,29402000 #ORDER_202
34,29554000 #ORDER_203
