aotfFrequency,closedLoop,coolerEnable,coolerSetPoint,aotfPowerSetting,coolerCoefficcientC_1,coolerCoefficcientC_2,coolerCoefficcientC_3
0,1,1,8112,0,11,9,9 #80.0K
0,1,1,8040,0,11,9,9 #85.0K
0,1,1,7967,0,11,9,9 #90.0K
0,1,1,7893,0,11,9,9 #95.0K
0,1,1,7818,0,11,9,9 #100.0K
0,1,1,7742,0,11,9,9 #105.0K
0,1,1,7664,0,11,9,9 #110.0K
0,1,1,8112,0,11,9,8 #80.0K
0,1,1,8040,0,11,9,8 #85.0K
0,1,1,7967,0,11,9,8 #90.0K
0,1,1,7893,0,11,9,8 #95.0K
0,1,1,7818,0,11,9,8 #100.0K
0,1,1,7742,0,11,9,8 #105.0K
0,1,1,7664,0,11,9,8 #110.0K
0,1,1,8112,0,11,9,10 #80.0K
0,1,1,8040,0,11,9,10 #85.0K
0,1,1,7967,0,11,9,10 #90.0K
0,1,1,7893,0,11,9,10 #95.0K
0,1,1,7818,0,11,9,10 #100.0K
0,1,1,7742,0,11,9,10 #105.0K
0,1,1,7664,0,11,9,10 #110.0K
0,1,1,8112,0,11,8,9 #80.0K
0,1,1,8040,0,11,8,9 #85.0K
0,1,1,7967,0,11,8,9 #90.0K
0,1,1,7893,0,11,8,9 #95.0K
0,1,1,7818,0,11,8,9 #100.0K
0,1,1,7742,0,11,8,9 #105.0K
0,1,1,7664,0,11,8,9 #110.0K
0,1,1,8112,0,11,8,8 #80.0K
0,1,1,8040,0,11,8,8 #85.0K
0,1,1,7967,0,11,8,8 #90.0K
0,1,1,7893,0,11,8,8 #95.0K
0,1,1,7818,0,11,8,8 #100.0K
0,1,1,7742,0,11,8,8 #105.0K
0,1,1,7664,0,11,8,8 #110.0K
0,1,1,8112,0,11,8,10 #80.0K
0,1,1,8040,0,11,8,10 #85.0K
0,1,1,7967,0,11,8,10 #90.0K
0,1,1,7893,0,11,8,10 #95.0K
0,1,1,7818,0,11,8,10 #100.0K
0,1,1,7742,0,11,8,10 #105.0K
0,1,1,7664,0,11,8,10 #110.0K
0,1,1,8112,0,11,10,9 #80.0K
0,1,1,8040,0,11,10,9 #85.0K
