stepValue,steppingParameter,stepCount,stepSpeed
0,INTEGRATION_TIME,0,0 # EMPTY ROW
24,WINDOW_TOP,1,0 # WINDOW_STEPPING_2STEPS
24,WINDOW_TOP,6,0 # WINDOW_STEPPING_7STEPS
50,INTEGRATION_TIME,255,0 # SOLAR_INTTIME_STEPPING
3400,INTEGRATION_TIME,255,0 # DARK_INTTIME_STEPPING
1,AOTF_IX,10,0 # FULLSCAN_10ORDERS_1SUBDS
1,AOTF_IX,10,2 # FULLSCAN_10ORDERS_3SUBDS
1,AOTF_IX,10,5 # FULLSCAN_10ORDERS_6SUBDS
1,AOTF_IX,30,0 # FULLSCAN_30ORDERS_1SUBDS
1,AOTF_IX,30,2 # FULLSCAN_30ORDERS_3SUBDS
1,AOTF_IX,30,5 # FULLSCAN_30ORDERS_6SUBDS
1,AOTF_IX,80,0 # FULLSCAN_80ORDERS_1SUBDS
1,AOTF_IX,80,2 # FULLSCAN_80ORDERS_3SUBDS
1,AOTF_IX,80,5 # FULLSCAN_80ORDERS_6SUBDS
1,AOTF_IX,105,0 # FULLSCAN_105ORDERS_1SUBDS
1,AOTF_IX,105,2 # FULLSCAN_105ORDERS_3SUBDS
1,AOTF_IX,105,5 # FULLSCAN_105ORDERS_6SUBDS
53687,AOTF_FREQ,255,0 # MINISCAN_1KHZ_1SUBDS
53687,AOTF_FREQ,255,5 # MINISCAN_1KHZ_6SUBDS
107374,AOTF_FREQ,255,0 # MINISCAN_2KHZ_1SUBDS
107374,AOTF_FREQ,255,5 # MINISCAN_2KHZ_6SUBDS
214748,AOTF_FREQ,255,0 # MINISCAN_4KHZ_1SUBDS
214748,AOTF_FREQ,255,5 # MINISCAN_4KHZ_6SUBDS
429496,AOTF_FREQ,255,0 # MINISCAN_8KHZ_1SUBDS
429496,AOTF_FREQ,255,5 # MINISCAN_8KHZ_6SUBDS
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
