science_1,science_2,science_3,science_4,science_5,science_6
0,0,0,0,0,0 #  EMPTY_ROW
1,0,0,0,0,0 #  WINDOW_STEPPING_2STEPS_24ROWS -- EXECTIME=829MS
2,0,0,0,0,0 #  WINDOW_STEPPING_2STEPS_24ROWS -- EXECTIME=829MS
3,0,0,0,0,0 #  WINDOW_STEPPING_2STEPS_24ROWS -- EXECTIME=829MS
4,0,0,0,0,0 #  SOLAR_INTTIME_STEPPING_24ROWS_100MS -- EXECTIME=68MS
5,0,0,0,0,0 #  SOLAR_INTTIME_STEPPING_24ROWS_100MS -- EXECTIME=68MS
6,0,0,0,0,0 #  SOLAR_INTTIME_STEPPING_24ROWS_100MS -- EXECTIME=68MS
7,0,0,0,0,0 #  DARK_INTTIME_STEPPING_24ROWS_3400MS -- EXECTIME=1751MS
8,0,0,0,0,0 #  DARK_INTTIME_STEPPING_24ROWS_3400MS -- EXECTIME=1751MS
9,0,0,0,0,0 #  DARK_INTTIME_STEPPING_24ROWS_3400MS -- EXECTIME=1751MS
10,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_10ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
11,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_10ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
12,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_10ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
13,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_10ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
14,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_10ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
15,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_10ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
16,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_10ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
17,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_10ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
18,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_10ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
19,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_10ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
20,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_10ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
21,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_10ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
22,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_10ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
23,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_10ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
24,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_10ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
25,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_10ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
26,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_30ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
27,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_30ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
28,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_30ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
29,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_30ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
30,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_80ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
31,0,0,0,0,0 #  OCCULTATION_FULLSCAN_SLOW_115ORDERS_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
32,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
33,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
34,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
35,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
36,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
37,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
38,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
39,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
40,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
41,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
42,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
43,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
44,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
45,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
46,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
47,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
48,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_30ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
49,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_30ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
50,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_30ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
51,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_30ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
52,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_80ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
53,0,0,0,0,0 #  OCCULTATION_FULLSCAN_FAST_115ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=796MS
54,0,0,0,0,0 #  OCCULTATION_MINISCAN_SLOW_1KHZ_24ROWS_1SECS_1SUBDS -- EXECTIME=829MS
