Obs Type Index,Obs Type,TC Start Time,TC20 PRECOOLING,TC20 FIXED,TC20 SCI1,TC20 SCI2,
0,Dayside_Nadir,2018 MAR 23 23:55:21,0,0,0,0,
1,Dayside_Nadir,2018 MAR 24 02:00:23,0,0,0,0,
2,Dayside_Nadir,2018 MAR 24 04:05:31,0,0,0,0,
3,Dayside_Nadir,2018 MAR 24 06:10:43,0,0,0,0,
4,Dayside_Nadir,2018 MAR 24 08:15:53,0,0,0,0,
5,Dayside_Nadir,2018 MAR 24 10:20:59,0,0,0,0,
6,Dayside_Nadir,2018 MAR 24 12:26:05,0,0,0,0,
7,Dayside_Nadir,2018 MAR 24 14:31:09,0,0,0,0,
8,Dayside_Nadir,2018 MAR 24 16:36:17,0,0,0,0,
9,Dayside_Nadir,2018 MAR 24 18:41:27,0,0,0,0,
10,Dayside_Nadir,2018 MAR 24 20:46:39,0,0,0,0,
11,Dayside_Nadir,2018 MAR 24 22:41:47,1,1,1033,1033,
12,Dayside_Nadir,2018 MAR 25 00:56:53,0,0,0,0,
13,Dayside_Nadir,2018 MAR 25 03:01:57,0,0,0,0,
14,Dayside_Nadir,2018 MAR 25 05:07:07,0,0,0,0,
15,Dayside_Nadir,2018 MAR 25 07:12:19,0,0,0,0,
16,Dayside_Nadir,2018 MAR 25 09:17:27,0,0,0,0,
17,Dayside_Nadir,2018 MAR 25 11:12:35,1,1,1860,1860,
18,Dayside_Nadir,2018 MAR 25 13:27:39,0,0,0,0,
19,Dayside_Nadir,2018 MAR 25 15:32:45,0,0,0,0,
20,Dayside_Nadir,2018 MAR 25 17:37:55,0,0,0,0,
21,Dayside_Nadir,2018 MAR 25 19:43:05,0,0,0,0,
22,Dayside_Nadir,2018 MAR 25 21:48:17,0,0,0,0,
23,Dayside_Nadir,2018 MAR 25 23:43:25,1,1,2626,2626,
24,Dayside_Nadir,2018 MAR 26 01:58:31,0,0,0,0,
25,Dayside_Nadir,2018 MAR 26 03:53:35,1,1,116,116,
26,Dayside_Nadir,2018 MAR 26 06:08:47,0,0,0,0,
27,Dayside_Nadir,2018 MAR 26 08:03:57,1,1,1779,1779,
28,Dayside_Nadir,2018 MAR 26 10:19:07,0,0,0,0,
29,Dayside_Nadir,2018 MAR 26 12:14:15,1,1,2364,2364,
30,Dayside_Nadir,2018 MAR 26 14:29:19,0,0,0,0,
31,Dayside_Nadir,2018 MAR 26 16:24:25,1,1,1029,1029,
32,Dayside_Nadir,2018 MAR 26 18:39:37,0,0,0,0,
33,Dayside_Nadir,2018 MAR 26 20:34:47,1,1,1837,1837,
34,Dayside_Nadir,2018 MAR 26 22:49:59,0,0,0,0,
35,Dayside_Nadir,2018 MAR 27 00:45:07,1,1,124,124,
36,Dayside_Nadir,2018 MAR 27 03:00:11,0,0,0,0,
37,Dayside_Nadir,2018 MAR 27 05:05:17,0,0,0,0,
38,Dayside_Nadir,2018 MAR 27 07:10:29,0,0,0,0,
39,Dayside_Nadir,2018 MAR 27 09:15:41,0,0,0,0,
40,Dayside_Nadir,2018 MAR 27 11:20:51,0,0,0,0,
41,Dayside_Nadir,2018 MAR 27 13:25:57,0,0,0,0,
42,Dayside_Nadir,2018 MAR 27 15:31:03,0,0,0,0,
43,Dayside_Nadir,2018 MAR 27 17:26:09,1,1,1934,1934,
44,Dayside_Nadir,2018 MAR 27 19:31:21,1,1,1107,1107,
45,Dayside_Nadir,2018 MAR 27 21:46:33,0,0,0,0,
46,Dayside_Nadir,2018 MAR 27 23:41:43,1,1,2318,2318,
47,Dayside_Nadir,2018 MAR 28 01:46:51,1,1,144,144,
48,Dayside_Nadir,2018 MAR 28 04:01:55,0,0,0,0,
49,Dayside_Nadir,2018 MAR 28 05:57:03,1,1,1090,1090,
50,Dayside_Nadir,2018 MAR 28 07:59:25,1,1,2639,2639,
51,Dayside_Nadir,2018 MAR 28 10:11:15,0,0,0,0,
52,Dayside_Nadir,2018 MAR 28 12:03:01,1,1,140,140,
53,Dayside_Nadir,2018 MAR 28 14:04:45,1,1,104,104,
54,Dayside_Nadir,2018 MAR 28 16:16:29,0,0,0,0,
55,Dayside_Nadir,2018 MAR 28 18:18:15,0,0,0,0,
56,Dayside_Nadir,2018 MAR 28 20:20:05,0,0,0,0,
57,Dayside_Nadir,2018 MAR 28 22:21:55,0,0,0,0,
58,Dayside_Nadir,2018 MAR 29 00:23:43,0,0,0,0,
59,Dayside_Nadir,2018 MAR 29 02:25:27,0,0,0,0,
60,Dayside_Nadir,2018 MAR 29 04:17:11,1,1,1033,1033,
61,Dayside_Nadir,2018 MAR 29 06:18:57,1,1,1860,1860,
62,Dayside_Nadir,2018 MAR 29 08:20:47,1,1,2626,2626,
63,Dayside_Nadir,2018 MAR 29 10:22:37,1,1,116,116,
64,Dayside_Nadir,2018 MAR 29 12:24:23,1,1,1779,1779,
65,Dayside_Nadir,2018 MAR 29 14:26:09,1,1,2364,2364,
66,Dayside_Nadir,2018 MAR 29 16:27:51,1,1,1029,1029,
67,Dayside_Nadir,2018 MAR 29 18:29:37,1,1,1837,1837,
68,Dayside_Nadir,2018 MAR 29 20:31:25,1,1,124,124,
69,Dayside_Nadir,2018 MAR 29 22:33:15,1,1,1934,1934,
70,Dayside_Nadir,2018 MAR 30 00:35:03,1,1,1107,1107,
71,Dayside_Nadir,2018 MAR 30 02:36:49,1,1,2318,2318,
72,Dayside_Nadir,2018 MAR 30 04:48:29,0,0,0,0,
73,Dayside_Nadir,2018 MAR 30 06:50:15,0,0,0,0,
74,Dayside_Nadir,2018 MAR 30 08:52:05,0,0,0,0,
75,Dayside_Nadir,2018 MAR 30 10:53:53,0,0,0,0,
76,Dayside_Nadir,2018 MAR 30 12:55:41,0,0,0,0,
77,Dayside_Nadir,2018 MAR 30 14:57:25,0,0,0,0,
78,Dayside_Nadir,2018 MAR 30 16:59:09,0,0,0,0,
79,Dayside_Nadir,2018 MAR 30 18:50:53,1,1,144,144,
80,Dayside_Nadir,2018 MAR 30 21:02:41,0,0,0,0,
81,Dayside_Nadir,2018 MAR 30 22:54:29,1,1,1090,1090,
82,Dayside_Nadir,2018 MAR 31 01:06:17,0,0,0,0,
83,Dayside_Nadir,2018 MAR 31 02:58:03,1,1,2639,2639,
84,Dayside_Nadir,2018 MAR 31 05:09:43,0,0,0,0,
85,Dayside_Nadir,2018 MAR 31 07:01:27,1,1,140,140,
86,Dayside_Nadir,2018 MAR 31 09:13:15,0,0,0,0,
87,Dayside_Nadir,2018 MAR 31 11:05:05,1,1,104,104,
88,Dayside_Nadir,2018 MAR 31 13:16:51,0,0,0,0,
89,Dayside_Nadir,2018 MAR 31 15:08:35,1,1,1033,1033,
90,Dayside_Nadir,2018 MAR 31 17:20:17,0,0,0,0,
91,Dayside_Nadir,2018 MAR 31 19:22:01,0,0,0,0,
