OBSERVATION NUMBER,TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 23 23:55:21,COMMENT_GOES_HERE
2,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 23 23:55:21,COMMENT_GOES_HERE
3,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 23 23:55:21,COMMENT_GOES_HERE
4,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 02:00:23,COMMENT_GOES_HERE
5,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 02:00:23,COMMENT_GOES_HERE
6,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 02:00:23,COMMENT_GOES_HERE
7,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 04:05:31,COMMENT_GOES_HERE
8,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 04:05:31,COMMENT_GOES_HERE
9,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 04:05:31,COMMENT_GOES_HERE
10,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 06:10:43,COMMENT_GOES_HERE
11,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 06:10:43,COMMENT_GOES_HERE
12,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 06:10:43,COMMENT_GOES_HERE
13,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 08:15:53,COMMENT_GOES_HERE
14,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 08:15:53,COMMENT_GOES_HERE
15,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 08:15:53,COMMENT_GOES_HERE
16,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 10:20:59,COMMENT_GOES_HERE
17,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 10:20:59,COMMENT_GOES_HERE
18,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 10:20:59,COMMENT_GOES_HERE
19,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 12:26:05,COMMENT_GOES_HERE
20,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 12:26:05,COMMENT_GOES_HERE
21,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 12:26:05,COMMENT_GOES_HERE
22,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 14:31:09,COMMENT_GOES_HERE
23,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 14:31:09,COMMENT_GOES_HERE
24,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 14:31:09,COMMENT_GOES_HERE
25,-1,-1,-1,-1,Dayside_Nadir,2018 MAR 24 16:36:17,COMMENT_GOES_HERE
