TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,1452,1453,2,Egress,2018 APR 21 20:21:08,OBSERVATION_COMMENT
1,1,1440,1440,7,Egress,2018 APR 22 00:16:48,OBSERVATION_COMMENT
1,1,1452,1453,21,Egress,2018 APR 22 12:04:01,OBSERVATION_COMMENT
1,1,1410,1410,30,Egress,2018 APR 22 19:55:32,OBSERVATION_COMMENT
1,1,1411,1411,35,Egress,2018 APR 22 23:51:12,OBSERVATION_COMMENT
1,1,1452,1453,52,Egress,2018 APR 23 15:34:02,OBSERVATION_COMMENT
1,1,3954,3954,62,Egress,2018 APR 23 23:25:33,OBSERVATION_COMMENT
1,1,293,293,76,Egress,2018 APR 24 11:12:44,OBSERVATION_COMMENT
1,1,1452,1453,90,Egress,2018 APR 24 22:59:52,OBSERVATION_COMMENT
1,1,1175,1175,104,Egress,2018 APR 25 10:47:00,OBSERVATION_COMMENT
1,1,1452,1453,109,Egress,2018 APR 25 14:42:37,OBSERVATION_COMMENT
1,1,1440,1440,121,Egress,2018 APR 26 02:29:45,OBSERVATION_COMMENT
1,1,1427,1427,126,Egress,2018 APR 26 06:25:28,OBSERVATION_COMMENT
1,1,1452,1453,135,Egress,2018 APR 26 14:16:52,OBSERVATION_COMMENT
1,1,1410,1410,142,Egress,2018 APR 26 22:08:20,OBSERVATION_COMMENT
1,1,1446,1446,153,Egress,2018 APR 27 05:59:39,OBSERVATION_COMMENT
1,1,1444,1444,163,Egress,2018 APR 27 13:51:04,OBSERVATION_COMMENT
1,1,1452,1453,169,Egress,2018 APR 27 17:46:44,OBSERVATION_COMMENT
1,1,3948,3948,179,Egress,2018 APR 28 01:38:09,OBSERVATION_COMMENT
1,1,3954,3954,186,Egress,2018 APR 28 07:31:40,OBSERVATION_COMMENT
1,1,1439,1439,198,Egress,2018 APR 29 03:10:05,OBSERVATION_COMMENT
1,1,293,293,201,Egress,2018 APR 29 05:07:54,OBSERVATION_COMMENT
2,1,107,107,211,Egress,2018 APR 29 12:59:21,OBSERVATION_COMMENT
1,1,1452,1453,217,Egress,2018 APR 29 16:54:56,OBSERVATION_COMMENT
1,1,1177,1177,228,Egress,2018 APR 30 02:44:09,OBSERVATION_COMMENT
1,1,1175,1175,231,Egress,2018 APR 30 04:41:58,OBSERVATION_COMMENT
1,1,1452,1453,237,Egress,2018 APR 30 08:37:39,OBSERVATION_COMMENT
1,1,1452,1453,247,Egress,2018 APR 30 16:28:56,OBSERVATION_COMMENT
1,1,1440,1440,250,Egress,2018 APR 30 18:26:47,OBSERVATION_COMMENT
1,1,1427,1427,260,Egress,2018 MAY 01 02:18:09,OBSERVATION_COMMENT
1,1,1452,1453,266,Egress,2018 MAY 01 06:13:46,OBSERVATION_COMMENT
1,1,1410,1410,276,Egress,2018 MAY 01 14:05:09,OBSERVATION_COMMENT
1,1,1411,1411,279,Egress,2018 MAY 01 16:02:55,OBSERVATION_COMMENT
1,1,1446,1446,289,Egress,2018 MAY 01 23:54:16,OBSERVATION_COMMENT
1,1,1444,1444,295,Egress,2018 MAY 02 03:49:50,OBSERVATION_COMMENT
1,1,1452,1453,298,Egress,2018 MAY 02 05:47:37,OBSERVATION_COMMENT
1,1,3948,3948,308,Egress,2018 MAY 02 13:38:58,OBSERVATION_COMMENT
1,1,3954,3954,314,Egress,2018 MAY 02 17:34:28,OBSERVATION_COMMENT
1,1,1439,1439,323,Egress,2018 MAY 02 23:28:01,OBSERVATION_COMMENT
1,1,293,293,326,Egress,2018 MAY 03 01:25:48,OBSERVATION_COMMENT
2,1,107,107,332,Egress,2018 MAY 03 05:21:21,OBSERVATION_COMMENT
1,1,1452,1453,343,Egress,2018 MAY 03 15:10:25,OBSERVATION_COMMENT
1,1,1177,1177,346,Egress,2018 MAY 03 17:08:08,OBSERVATION_COMMENT
1,1,1175,1175,356,Egress,2018 MAY 04 00:59:22,OBSERVATION_COMMENT
1,1,1452,1453,362,Egress,2018 MAY 04 04:54:52,OBSERVATION_COMMENT
1,1,1452,1453,369,Egress,2018 MAY 04 10:48:13,OBSERVATION_COMMENT
1,1,1440,1440,375,Egress,2018 MAY 04 14:43:49,OBSERVATION_COMMENT
1,1,1427,1427,379,Egress,2018 MAY 04 18:39:15,OBSERVATION_COMMENT
1,1,1452,1453,389,Egress,2018 MAY 05 02:30:22,OBSERVATION_COMMENT
1,1,1410,1410,392,Egress,2018 MAY 05 04:28:05,OBSERVATION_COMMENT
1,1,1411,1411,401,Egress,2018 MAY 05 10:21:19,OBSERVATION_COMMENT
1,1,1446,1446,420,Egress,2018 MAY 06 04:00:44,OBSERVATION_COMMENT
1,1,1444,1444,427,Egress,2018 MAY 06 09:53:45,OBSERVATION_COMMENT
1,1,1452,1453,436,Egress,2018 MAY 06 15:46:47,OBSERVATION_COMMENT
1,1,3948,3948,447,Egress,2018 MAY 07 01:34:37,OBSERVATION_COMMENT
