TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,2639,2639,1,Dayside_Nadir,2018 APR 21 18:31:07,OBSERVATION_COMMENT
1,1,2626,2626,3,Dayside_Nadir,2018 APR 21 20:39:01,OBSERVATION_COMMENT
-1,-1,-1,-1,4,Dayside_Nadir,2018 APR 21 22:36:51, 
-1,-1,-1,-1,5,Dayside_Nadir,2018 APR 21 22:36:51, 
-1,-1,-1,-1,6,Dayside_Nadir,2018 APR 21 22:36:51, 
1,1,1029,1029,8,Dayside_Nadir,2018 APR 22 00:34:41,OBSERVATION_COMMENT
-1,-1,-1,-1,9,Dayside_Nadir,2018 APR 22 02:32:33, 
-1,-1,-1,-1,10,Dayside_Nadir,2018 APR 22 02:32:33, 
-1,-1,-1,-1,11,Dayside_Nadir,2018 APR 22 02:32:33, 
1,1,1090,1090,12,Dayside_Nadir,2018 APR 22 04:20:27,OBSERVATION_COMMENT
-1,-1,-1,-1,13,Dayside_Nadir,2018 APR 22 06:28:21, 
-1,-1,-1,-1,14,Dayside_Nadir,2018 APR 22 06:28:21, 
-1,-1,-1,-1,15,Dayside_Nadir,2018 APR 22 06:28:21, 
-1,-1,-1,-1,16,Dayside_Nadir,2018 APR 22 08:26:15, 
-1,-1,-1,-1,17,Dayside_Nadir,2018 APR 22 08:26:15, 
-1,-1,-1,-1,18,Dayside_Nadir,2018 APR 22 08:26:15, 
1,1,1779,1779,20,Dayside_Nadir,2018 APR 22 10:24:07,OBSERVATION_COMMENT
1,1,2318,2318,22,Dayside_Nadir,2018 APR 22 12:21:59,OBSERVATION_COMMENT
-1,-1,-1,-1,23,Dayside_Nadir,2018 APR 22 14:19:49, 
-1,-1,-1,-1,24,Dayside_Nadir,2018 APR 22 14:19:49, 
-1,-1,-1,-1,25,Dayside_Nadir,2018 APR 22 14:19:49, 
1,1,1860,1860,26,Dayside_Nadir,2018 APR 22 16:07:43,OBSERVATION_COMMENT
-1,-1,-1,-1,27,Dayside_Nadir,2018 APR 22 18:15:39, 
