TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,2639,2639,1,Dayside_Nadir,2018 MAY 19 17:03:45,OBSERVATION_COMMENT
-1,-1,-1,-1,2,Dayside_Nadir,2018 MAY 19 19:11:49, 
-1,-1,-1,-1,3,Dayside_Nadir,2018 MAY 19 19:11:49, 
-1,-1,-1,-1,4,Dayside_Nadir,2018 MAY 19 19:11:49, 
1,1,2626,2626,6,Dayside_Nadir,2018 MAY 19 21:09:49,OBSERVATION_COMMENT
1,1,1029,1029,7,Dayside_Nadir,2018 MAY 19 22:57:47,OBSERVATION_COMMENT
1,1,2318,2318,9,Dayside_Nadir,2018 MAY 20 01:05:41,OBSERVATION_COMMENT
-1,-1,-1,-1,10,Dayside_Nadir,2018 MAY 20 03:03:39, 
-1,-1,-1,-1,11,Dayside_Nadir,2018 MAY 20 03:03:39, 
-1,-1,-1,-1,12,Dayside_Nadir,2018 MAY 20 03:03:39, 
1,1,1090,1090,13,Dayside_Nadir,2018 MAY 20 04:51:39,OBSERVATION_COMMENT
-1,-1,-1,-1,14,Dayside_Nadir,2018 MAY 20 06:59:41, 
-1,-1,-1,-1,15,Dayside_Nadir,2018 MAY 20 06:59:41, 
-1,-1,-1,-1,16,Dayside_Nadir,2018 MAY 20 06:59:41, 
1,1,1779,1779,17,Dayside_Nadir,2018 MAY 20 08:47:41,OBSERVATION_COMMENT
1,1,2318,2318,19,Dayside_Nadir,2018 MAY 20 10:55:37,OBSERVATION_COMMENT
1,1,1860,1860,21,Dayside_Nadir,2018 MAY 20 12:53:31,OBSERVATION_COMMENT
-1,-1,-1,-1,22,Dayside_Nadir,2018 MAY 20 14:51:27, 
-1,-1,-1,-1,23,Dayside_Nadir,2018 MAY 20 14:51:27, 
-1,-1,-1,-1,24,Dayside_Nadir,2018 MAY 20 14:51:27, 
1,1,2364,2364,25,Dayside_Nadir,2018 MAY 20 16:49:27,OBSERVATION_COMMENT
-1,-1,-1,-1,26,Dayside_Nadir,2018 MAY 20 18:47:29, 
-1,-1,-1,-1,27,Dayside_Nadir,2018 MAY 20 18:47:29, 
-1,-1,-1,-1,28,Dayside_Nadir,2018 MAY 20 18:47:29, 
1,1,2318,2318,29,Dayside_Nadir,2018 MAY 20 20:45:29,OBSERVATION_COMMENT
1,1,144,144,31,Dayside_Nadir,2018 MAY 20 22:43:25,OBSERVATION_COMMENT
-1,-1,-1,-1,32,Dayside_Nadir,2018 MAY 21 00:41:19, 
-1,-1,-1,-1,33,Dayside_Nadir,2018 MAY 21 00:41:19, 
-1,-1,-1,-1,34,Dayside_Nadir,2018 MAY 21 00:41:19, 
1,1,124,124,35,Dayside_Nadir,2018 MAY 21 02:29:15,OBSERVATION_COMMENT
1,1,2318,2318,37,Dayside_Nadir,2018 MAY 21 04:37:13,OBSERVATION_COMMENT
-1,-1,-1,-1,38,Dayside_Nadir,2018 MAY 21 06:35:13, 
-1,-1,-1,-1,39,Dayside_Nadir,2018 MAY 21 06:35:13, 
-1,-1,-1,-1,40,Dayside_Nadir,2018 MAY 21 06:35:13, 
1,1,116,116,41,Dayside_Nadir,2018 MAY 21 08:23:11,OBSERVATION_COMMENT
1,1,2318,2318,43,Dayside_Nadir,2018 MAY 21 10:31:09,OBSERVATION_COMMENT
-1,-1,-1,-1,44,Dayside_Nadir,2018 MAY 21 12:29:03, 
-1,-1,-1,-1,45,Dayside_Nadir,2018 MAY 21 12:29:03, 
-1,-1,-1,-1,46,Dayside_Nadir,2018 MAY 21 12:29:03, 
1,1,1934,1934,47,Dayside_Nadir,2018 MAY 21 14:26:55,OBSERVATION_COMMENT
1,1,2318,2318,48,Dayside_Nadir,2018 MAY 21 16:24:53,OBSERVATION_COMMENT
-1,-1,-1,-1,49,Dayside_Nadir,2018 MAY 21 18:22:53, 
-1,-1,-1,-1,50,Dayside_Nadir,2018 MAY 21 18:22:53, 
-1,-1,-1,-1,51,Dayside_Nadir,2018 MAY 21 18:22:53, 
1,1,1107,1107,54,Dayside_Nadir,2018 MAY 21 20:20:53,OBSERVATION_COMMENT
1,1,1837,1837,57,Dayside_Nadir,2018 MAY 21 22:18:51,OBSERVATION_COMMENT
1,1,2318,2318,60,Dayside_Nadir,2018 MAY 22 00:16:43,OBSERVATION_COMMENT
-1,-1,-1,-1,61,Dayside_Nadir,2018 MAY 22 02:14:35, 
-1,-1,-1,-1,62,Dayside_Nadir,2018 MAY 22 02:14:35, 
-1,-1,-1,-1,63,Dayside_Nadir,2018 MAY 22 02:14:35, 
1,1,1033,1033,66,Dayside_Nadir,2018 MAY 22 04:12:31,OBSERVATION_COMMENT
1,1,2318,2318,69,Dayside_Nadir,2018 MAY 22 06:10:29,OBSERVATION_COMMENT
-1,-1,-1,-1,70,Dayside_Nadir,2018 MAY 22 08:08:29, 
-1,-1,-1,-1,71,Dayside_Nadir,2018 MAY 22 08:08:29, 
-1,-1,-1,-1,72,Dayside_Nadir,2018 MAY 22 08:08:29, 
1,1,140,140,73,Dayside_Nadir,2018 MAY 22 10:06:25,OBSERVATION_COMMENT
1,1,104,104,76,Dayside_Nadir,2018 MAY 22 12:04:19,OBSERVATION_COMMENT
-1,-1,-1,-1,77,Dayside_Nadir,2018 MAY 22 14:02:11, 
-1,-1,-1,-1,78,Dayside_Nadir,2018 MAY 22 14:02:11, 
-1,-1,-1,-1,79,Dayside_Nadir,2018 MAY 22 14:02:11, 
1,1,2639,2639,80,Dayside_Nadir,2018 MAY 22 16:00:05,OBSERVATION_COMMENT
-1,-1,-1,-1,81,Dayside_Nadir,2018 MAY 22 17:58:03, 
-1,-1,-1,-1,82,Dayside_Nadir,2018 MAY 22 17:58:03, 
-1,-1,-1,-1,83,Dayside_Nadir,2018 MAY 22 17:58:03, 
1,1,2626,2626,86,Dayside_Nadir,2018 MAY 22 19:56:03,OBSERVATION_COMMENT
-1,-1,-1,-1,87,Dayside_Nadir,2018 MAY 22 21:54:01, 
-1,-1,-1,-1,88,Dayside_Nadir,2018 MAY 22 21:54:01, 
-1,-1,-1,-1,89,Dayside_Nadir,2018 MAY 22 21:54:01, 
1,1,1029,1029,90,Dayside_Nadir,2018 MAY 22 23:41:57,OBSERVATION_COMMENT
-1,-1,-1,-1,91,Dayside_Nadir,2018 MAY 23 01:49:47, 
-1,-1,-1,-1,92,Dayside_Nadir,2018 MAY 23 01:49:47, 
-1,-1,-1,-1,93,Dayside_Nadir,2018 MAY 23 01:49:47, 
1,1,2318,2318,96,Dayside_Nadir,2018 MAY 23 03:47:41,OBSERVATION_COMMENT
-1,-1,-1,-1,97,Dayside_Nadir,2018 MAY 23 05:45:39, 
-1,-1,-1,-1,98,Dayside_Nadir,2018 MAY 23 05:45:39, 
-1,-1,-1,-1,99,Dayside_Nadir,2018 MAY 23 05:45:39, 
1,1,1090,1090,100,Dayside_Nadir,2018 MAY 23 07:33:35,OBSERVATION_COMMENT
-1,-1,-1,-1,101,Dayside_Nadir,2018 MAY 23 09:41:33, 
-1,-1,-1,-1,102,Dayside_Nadir,2018 MAY 23 09:41:33, 
-1,-1,-1,-1,103,Dayside_Nadir,2018 MAY 23 09:41:33, 
1,1,1779,1779,106,Dayside_Nadir,2018 MAY 23 11:39:27,OBSERVATION_COMMENT
-1,-1,-1,-1,107,Dayside_Nadir,2018 MAY 23 13:37:19, 
-1,-1,-1,-1,108,Dayside_Nadir,2018 MAY 23 13:37:19, 
-1,-1,-1,-1,109,Dayside_Nadir,2018 MAY 23 13:37:19, 
1,1,2318,2318,110,Dayside_Nadir,2018 MAY 23 15:25:11,OBSERVATION_COMMENT
-1,-1,-1,-1,111,Dayside_Nadir,2018 MAY 23 17:33:07, 
-1,-1,-1,-1,112,Dayside_Nadir,2018 MAY 23 17:33:07, 
-1,-1,-1,-1,113,Dayside_Nadir,2018 MAY 23 17:33:07, 
1,1,1860,1860,114,Dayside_Nadir,2018 MAY 23 19:21:05,OBSERVATION_COMMENT
1,1,2364,2364,117,Dayside_Nadir,2018 MAY 23 21:29:03,OBSERVATION_COMMENT
-1,-1,-1,-1,118,Dayside_Nadir,2018 MAY 23 23:26:59, 
-1,-1,-1,-1,119,Dayside_Nadir,2018 MAY 23 23:26:59, 
-1,-1,-1,-1,120,Dayside_Nadir,2018 MAY 23 23:26:59, 
1,1,2318,2318,121,Dayside_Nadir,2018 MAY 24 01:14:51,OBSERVATION_COMMENT
1,1,144,144,124,Dayside_Nadir,2018 MAY 24 03:22:41,OBSERVATION_COMMENT
1,1,124,124,127,Dayside_Nadir,2018 MAY 24 05:20:37,OBSERVATION_COMMENT
-1,-1,-1,-1,128,Dayside_Nadir,2018 MAY 24 07:18:33, 
-1,-1,-1,-1,129,Dayside_Nadir,2018 MAY 24 07:18:33, 
-1,-1,-1,-1,130,Dayside_Nadir,2018 MAY 24 07:18:33, 
1,1,2318,2318,131,Dayside_Nadir,2018 MAY 24 09:06:29,OBSERVATION_COMMENT
1,1,116,116,134,Dayside_Nadir,2018 MAY 24 11:14:25,OBSERVATION_COMMENT
-1,-1,-1,-1,135,Dayside_Nadir,2018 MAY 24 13:12:17, 
-1,-1,-1,-1,136,Dayside_Nadir,2018 MAY 24 13:12:17, 
-1,-1,-1,-1,137,Dayside_Nadir,2018 MAY 24 13:12:17, 
1,1,2318,2318,138,Dayside_Nadir,2018 MAY 24 15:00:09,OBSERVATION_COMMENT
1,1,1934,1934,141,Dayside_Nadir,2018 MAY 24 17:08:01,OBSERVATION_COMMENT
-1,-1,-1,-1,142,Dayside_Nadir,2018 MAY 24 19:05:59, 
-1,-1,-1,-1,143,Dayside_Nadir,2018 MAY 24 19:05:59, 
-1,-1,-1,-1,144,Dayside_Nadir,2018 MAY 24 19:05:59, 
1,1,2318,2318,147,Dayside_Nadir,2018 MAY 24 21:03:57,OBSERVATION_COMMENT
1,1,1107,1107,148,Dayside_Nadir,2018 MAY 24 22:51:53,OBSERVATION_COMMENT
-1,-1,-1,-1,149,Dayside_Nadir,2018 MAY 25 00:59:47, 
-1,-1,-1,-1,150,Dayside_Nadir,2018 MAY 25 00:59:47, 
-1,-1,-1,-1,151,Dayside_Nadir,2018 MAY 25 00:59:47, 
1,1,1837,1837,154,Dayside_Nadir,2018 MAY 25 02:57:37,OBSERVATION_COMMENT
1,1,2318,2318,155,Dayside_Nadir,2018 MAY 25 04:45:31,OBSERVATION_COMMENT
1,1,1033,1033,158,Dayside_Nadir,2018 MAY 25 06:53:25,OBSERVATION_COMMENT
-1,-1,-1,-1,159,Dayside_Nadir,2018 MAY 25 08:51:23, 
1,1,2318,2318,160,Dayside_Nadir,2018 MAY 25 10:39:17,OBSERVATION_COMMENT
-1,-1,-1,-1,161,Dayside_Nadir,2018 MAY 25 12:47:11, 
1,1,140,140,162,Dayside_Nadir,2018 MAY 25 14:35:01,OBSERVATION_COMMENT
1,1,104,104,165,Dayside_Nadir,2018 MAY 25 16:42:53,OBSERVATION_COMMENT
-1,-1,-1,-1,166,Dayside_Nadir,2018 MAY 25 18:40:47, 
-1,-1,-1,-1,167,Dayside_Nadir,2018 MAY 25 18:40:47, 
-1,-1,-1,-1,168,Dayside_Nadir,2018 MAY 25 18:40:47, 
