TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
13,1,1453,1453,36,Merged,2018 MAY 21 03:43:15,OBSERVATION_COMMENT
13,1,293,293,42,Merged,2018 MAY 21 09:36:52,OBSERVATION_COMMENT
13,1,1453,1452,52,Ingress,2018 MAY 21 19:25:59,OBSERVATION_COMMENT
13,1,1550,1550,55,Ingress,2018 MAY 21 21:23:48,OBSERVATION_COMMENT
13,1,1453,1452,58,Ingress,2018 MAY 21 23:21:36,OBSERVATION_COMMENT
13,1,294,294,64,Ingress,2018 MAY 22 03:17:14,OBSERVATION_COMMENT
13,1,1453,1452,67,Ingress,2018 MAY 22 05:15:03,OBSERVATION_COMMENT
13,1,1453,1452,74,Ingress,2018 MAY 22 11:08:40,OBSERVATION_COMMENT
13,1,1446,1446,84,Ingress,2018 MAY 22 18:59:58,OBSERVATION_COMMENT
13,1,1444,1444,94,Ingress,2018 MAY 23 02:51:17,OBSERVATION_COMMENT
13,1,3948,3948,104,Ingress,2018 MAY 23 10:42:45,OBSERVATION_COMMENT
13,1,3954,3954,115,Ingress,2018 MAY 23 20:31:56,OBSERVATION_COMMENT
13,1,1453,1452,122,Ingress,2018 MAY 24 02:25:24,OBSERVATION_COMMENT
13,1,1453,1452,125,Ingress,2018 MAY 24 04:23:13,OBSERVATION_COMMENT
13,1,1453,1452,132,Ingress,2018 MAY 24 10:16:52,OBSERVATION_COMMENT
13,1,1453,1452,139,Ingress,2018 MAY 24 16:10:16,OBSERVATION_COMMENT
13,1,1453,1452,145,Ingress,2018 MAY 24 20:06:03,OBSERVATION_COMMENT
13,1,1440,1440,152,Ingress,2018 MAY 25 01:59:34,OBSERVATION_COMMENT
13,1,1427,1427,156,Ingress,2018 MAY 25 05:55:14,OBSERVATION_COMMENT
13,1,1410,1410,163,Ingress,2018 MAY 25 15:44:27,OBSERVATION_COMMENT
13,1,1411,1411,170,Ingress,2018 MAY 25 21:38:05,OBSERVATION_COMMENT
13,1,1453,1452,177,Ingress,2018 MAY 26 03:31:34,OBSERVATION_COMMENT
13,1,1453,1452,196,Ingress,2018 MAY 26 21:12:17,OBSERVATION_COMMENT
13,1,1453,1452,202,Ingress,2018 MAY 27 01:07:57,OBSERVATION_COMMENT
13,1,1550,1550,205,Ingress,2018 MAY 27 03:05:47,OBSERVATION_COMMENT
13,1,1439,1439,208,Ingress,2018 MAY 27 05:03:37,OBSERVATION_COMMENT
13,1,293,293,216,Ingress,2018 MAY 27 12:55:07,OBSERVATION_COMMENT
82,1,107,107,222,Ingress,2018 MAY 27 16:50:42,OBSERVATION_COMMENT
13,1,1177,1177,230,Ingress,2018 MAY 28 00:42:11,OBSERVATION_COMMENT
13,1,1175,1175,236,Ingress,2018 MAY 28 04:37:50,OBSERVATION_COMMENT
13,1,1453,1452,244,Ingress,2018 MAY 28 12:29:21,OBSERVATION_COMMENT
13,1,1453,1452,247,Ingress,2018 MAY 28 14:27:09,OBSERVATION_COMMENT
13,1,1453,1452,258,Ingress,2018 MAY 29 00:16:26,OBSERVATION_COMMENT
13,1,1453,1452,264,Ingress,2018 MAY 29 04:12:05,OBSERVATION_COMMENT
13,1,1446,1446,268,Ingress,2018 MAY 29 08:07:48,OBSERVATION_COMMENT
13,1,1444,1444,275,Ingress,2018 MAY 29 14:01:26,OBSERVATION_COMMENT
13,1,1453,1452,280,Ingress,2018 MAY 29 17:57:02,OBSERVATION_COMMENT
13,1,1453,1452,288,Ingress,2018 MAY 30 01:48:33,OBSERVATION_COMMENT
13,1,1439,1439,291,Ingress,2018 MAY 30 03:46:22,OBSERVATION_COMMENT
13,1,293,293,297,Ingress,2018 MAY 30 07:42:04,OBSERVATION_COMMENT
82,1,107,107,305,Ingress,2018 MAY 30 15:33:32,OBSERVATION_COMMENT
13,1,1177,1177,315,Ingress,2018 MAY 30 23:25:00,OBSERVATION_COMMENT
13,1,1175,1175,318,Ingress,2018 MAY 31 01:22:51,OBSERVATION_COMMENT
13,1,1453,1452,322,Ingress,2018 MAY 31 05:18:30,OBSERVATION_COMMENT
13,1,1440,1440,331,Ingress,2018 MAY 31 13:10:01,OBSERVATION_COMMENT
13,1,1453,1452,342,Ingress,2018 JUN 01 00:57:09,OBSERVATION_COMMENT
13,1,1410,1410,347,Ingress,2018 JUN 01 04:52:49,OBSERVATION_COMMENT
13,1,1453,1452,367,Ingress,2018 JUN 02 00:31:27,OBSERVATION_COMMENT
13,1,1444,1444,370,Ingress,2018 JUN 02 04:27:07,OBSERVATION_COMMENT
13,1,1453,1452,391,Ingress,2018 JUN 03 04:01:27,OBSERVATION_COMMENT
13,1,1439,1439,403,Ingress,2018 JUN 03 15:48:39,OBSERVATION_COMMENT
82,1,107,107,423,Ingress,2018 JUN 04 11:27:11,OBSERVATION_COMMENT
13,1,1453,1452,426,Ingress,2018 JUN 04 15:22:58,OBSERVATION_COMMENT
13,1,1177,1177,435,Ingress,2018 JUN 04 23:14:22,OBSERVATION_COMMENT
13,1,1453,1452,438,Ingress,2018 JUN 05 03:10:07,OBSERVATION_COMMENT
13,1,1453,1452,446,Ingress,2018 JUN 05 11:01:30,OBSERVATION_COMMENT
13,1,1440,1440,458,Ingress,2018 JUN 05 22:48:41,OBSERVATION_COMMENT
13,1,1453,1452,471,Ingress,2018 JUN 06 10:35:51,OBSERVATION_COMMENT
13,1,1410,1410,474,Ingress,2018 JUN 06 14:31:39,OBSERVATION_COMMENT
13,1,1411,1411,486,Ingress,2018 JUN 07 02:18:50,OBSERVATION_COMMENT
13,1,1453,1452,494,Ingress,2018 JUN 07 10:10:12,OBSERVATION_COMMENT
13,1,1444,1444,499,Ingress,2018 JUN 07 14:06:01,OBSERVATION_COMMENT
13,1,3948,3948,507,Ingress,2018 JUN 07 21:57:23,OBSERVATION_COMMENT
13,1,3954,3954,519,Ingress,2018 JUN 08 09:44:36,OBSERVATION_COMMENT
13,1,1439,1439,522,Ingress,2018 JUN 08 13:40:23,OBSERVATION_COMMENT
13,1,293,293,534,Ingress,2018 JUN 09 01:27:35,OBSERVATION_COMMENT
82,1,107,107,542,Ingress,2018 JUN 09 09:18:59,OBSERVATION_COMMENT
13,1,1453,1452,555,Ingress,2018 JUN 09 21:06:10,OBSERVATION_COMMENT
13,1,1453,1452,567,Ingress,2018 JUN 10 08:53:24,OBSERVATION_COMMENT
13,1,1453,1452,602,Ingress,2018 JUN 11 20:15:02,OBSERVATION_COMMENT
13,1,1446,1446,618,Ingress,2018 JUN 12 11:57:58,OBSERVATION_COMMENT
13,1,1453,1452,627,Ingress,2018 JUN 12 19:49:31,OBSERVATION_COMMENT
13,1,1444,1444,630,Ingress,2018 JUN 12 23:45:10,OBSERVATION_COMMENT
13,1,1453,1452,639,Ingress,2018 JUN 13 07:36:44,OBSERVATION_COMMENT
13,1,1439,1439,655,Ingress,2018 JUN 13 23:19:38,OBSERVATION_COMMENT
13,1,1453,1452,662,Ingress,2018 JUN 14 07:11:14,OBSERVATION_COMMENT
13,1,293,293,667,Ingress,2018 JUN 14 11:06:54,OBSERVATION_COMMENT
13,1,1453,1452,674,Ingress,2018 JUN 14 18:58:30,OBSERVATION_COMMENT
13,1,1177,1177,687,Ingress,2018 JUN 15 06:45:45,OBSERVATION_COMMENT
13,1,1440,1440,706,Ingress,2018 JUN 16 06:20:19,OBSERVATION_COMMENT
13,1,1453,1452,711,Ingress,2018 JUN 16 10:15:59,OBSERVATION_COMMENT
