TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,1029,1029,1,Dayside_Nadir,2018 JUN 16 15:02:45,OBSERVATION_COMMENT
-1,-1,-1,-1,2,Dayside_Nadir,2018 JUN 16 17:10:39, 
-1,-1,-1,-1,3,Dayside_Nadir,2018 JUN 16 17:10:39, 
-1,-1,-1,-1,4,Dayside_Nadir,2018 JUN 16 17:10:39, 
1,1,1090,1090,5,Dayside_Nadir,2018 JUN 16 18:58:33,OBSERVATION_COMMENT
-1,-1,-1,-1,7,Dayside_Nadir,2018 JUN 16 21:06:23, 
1,1,1860,1860,9,Dayside_Nadir,2018 JUN 16 23:04:13,OBSERVATION_COMMENT
-1,-1,-1,-1,11,Dayside_Nadir,2018 JUN 17 01:02:01, 
-1,-1,-1,-1,12,Dayside_Nadir,2018 JUN 17 02:59:55, 
-1,-1,-1,-1,13,Dayside_Nadir,2018 JUN 17 02:59:55, 
-1,-1,-1,-1,14,Dayside_Nadir,2018 JUN 17 02:59:55, 
-1,-1,-1,-1,16,Dayside_Nadir,2018 JUN 17 04:57:51, 
1,1,1033,1033,18,Dayside_Nadir,2018 JUN 17 06:55:45,OBSERVATION_COMMENT
-1,-1,-1,-1,20,Dayside_Nadir,2018 JUN 17 08:53:37, 
1,1,2639,2639,22,Dayside_Nadir,2018 JUN 17 10:51:27,OBSERVATION_COMMENT
1,1,1107,1107,24,Dayside_Nadir,2018 JUN 17 12:49:15,OBSERVATION_COMMENT
-1,-1,-1,-1,25,Dayside_Nadir,2018 JUN 17 14:47:09, 
-1,-1,-1,-1,26,Dayside_Nadir,2018 JUN 17 14:47:09, 
-1,-1,-1,-1,27,Dayside_Nadir,2018 JUN 17 14:47:09, 
1,1,1033,1033,29,Dayside_Nadir,2018 JUN 17 16:45:03,OBSERVATION_COMMENT
-1,-1,-1,-1,30,Dayside_Nadir,2018 JUN 17 18:42:57, 
-1,-1,-1,-1,31,Dayside_Nadir,2018 JUN 17 18:42:57, 
-1,-1,-1,-1,32,Dayside_Nadir,2018 JUN 17 18:42:57, 
1,1,1090,1090,34,Dayside_Nadir,2018 JUN 17 20:40:49,OBSERVATION_COMMENT
-1,-1,-1,-1,35,Dayside_Nadir,2018 JUN 17 22:38:37, 
-1,-1,-1,-1,36,Dayside_Nadir,2018 JUN 17 22:38:37, 
-1,-1,-1,-1,37,Dayside_Nadir,2018 JUN 17 22:38:37, 
1,1,1029,1029,39,Dayside_Nadir,2018 JUN 18 00:36:27,OBSERVATION_COMMENT
-1,-1,-1,-1,40,Dayside_Nadir,2018 JUN 18 02:34:17, 
-1,-1,-1,-1,41,Dayside_Nadir,2018 JUN 18 02:34:17, 
-1,-1,-1,-1,42,Dayside_Nadir,2018 JUN 18 02:34:17, 
1,1,1090,1090,44,Dayside_Nadir,2018 JUN 18 04:32:13,OBSERVATION_COMMENT
-1,-1,-1,-1,45,Dayside_Nadir,2018 JUN 18 06:30:07, 
-1,-1,-1,-1,46,Dayside_Nadir,2018 JUN 18 06:30:07, 
-1,-1,-1,-1,47,Dayside_Nadir,2018 JUN 18 06:30:07, 
1,1,1779,1779,49,Dayside_Nadir,2018 JUN 18 08:28:01,OBSERVATION_COMMENT
-1,-1,-1,-1,50,Dayside_Nadir,2018 JUN 18 10:25:51, 
-1,-1,-1,-1,51,Dayside_Nadir,2018 JUN 18 10:25:51, 
-1,-1,-1,-1,52,Dayside_Nadir,2018 JUN 18 10:25:51, 
1,1,1860,1860,54,Dayside_Nadir,2018 JUN 18 12:23:39,OBSERVATION_COMMENT
-1,-1,-1,-1,55,Dayside_Nadir,2018 JUN 18 14:21:31, 
-1,-1,-1,-1,56,Dayside_Nadir,2018 JUN 18 14:21:31, 
-1,-1,-1,-1,57,Dayside_Nadir,2018 JUN 18 14:21:31, 
1,1,1107,1107,58,Dayside_Nadir,2018 JUN 18 16:09:25,OBSERVATION_COMMENT
1,1,1837,1837,60,Dayside_Nadir,2018 JUN 18 18:17:19,OBSERVATION_COMMENT
-1,-1,-1,-1,61,Dayside_Nadir,2018 JUN 18 20:15:11, 
-1,-1,-1,-1,62,Dayside_Nadir,2018 JUN 18 20:15:11, 
-1,-1,-1,-1,63,Dayside_Nadir,2018 JUN 18 20:15:11, 
1,1,1033,1033,66,Dayside_Nadir,2018 JUN 18 22:13:01,OBSERVATION_COMMENT
-1,-1,-1,-1,67,Dayside_Nadir,2018 JUN 19 00:10:51, 
