TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
14,1,1453,1452,8,Ingress,2018 JUN 16 22:03:18,OBSERVATION_COMMENT
72,1,4083,4083,17,Ingress,2018 JUN 17 05:54:52,OBSERVATION_COMMENT
111,1,4084,4084,21,Ingress,2018 JUN 17 09:50:36,OBSERVATION_COMMENT
14,1,1453,1452,59,Ingress,2018 JUN 18 17:16:44,OBSERVATION_COMMENT
14,1,293,293,64,Ingress,2018 JUN 18 21:12:33,OBSERVATION_COMMENT
14,1,1453,1452,71,Ingress,2018 JUN 19 07:02:00,OBSERVATION_COMMENT
14,1,1175,1175,74,Ingress,2018 JUN 19 08:59:53,OBSERVATION_COMMENT
14,1,1453,1452,81,Ingress,2018 JUN 19 14:53:29,OBSERVATION_COMMENT
14,1,1177,1177,87,Ingress,2018 JUN 19 18:49:20,OBSERVATION_COMMENT
14,1,1453,1452,93,Ingress,2018 JUN 19 22:45:06,OBSERVATION_COMMENT
14,1,3951,3951,99,Ingress,2018 JUN 20 02:40:48,OBSERVATION_COMMENT
14,1,1453,1452,105,Ingress,2018 JUN 20 06:36:42,OBSERVATION_COMMENT
14,1,3951,3951,111,Ingress,2018 JUN 20 10:32:27,OBSERVATION_COMMENT
14,1,1453,1452,117,Ingress,2018 JUN 20 14:28:11,OBSERVATION_COMMENT
14,1,1427,1427,123,Ingress,2018 JUN 20 18:24:03,OBSERVATION_COMMENT
14,1,1453,1452,133,Ingress,2018 JUN 21 02:15:33,OBSERVATION_COMMENT
14,1,293,293,139,Ingress,2018 JUN 21 06:11:28,OBSERVATION_COMMENT
14,1,1453,1452,142,Ingress,2018 JUN 21 08:09:23,OBSERVATION_COMMENT
14,1,1175,1175,149,Ingress,2018 JUN 21 14:02:59,OBSERVATION_COMMENT
14,1,1453,1452,155,Ingress,2018 JUN 21 17:58:51,OBSERVATION_COMMENT
14,1,1177,1177,158,Ingress,2018 JUN 21 19:56:47,OBSERVATION_COMMENT
14,1,1453,1452,165,Ingress,2018 JUN 22 01:50:23,OBSERVATION_COMMENT
14,1,3951,3951,171,Ingress,2018 JUN 22 05:46:17,OBSERVATION_COMMENT
14,1,1453,1452,177,Ingress,2018 JUN 22 09:42:09,OBSERVATION_COMMENT
14,1,3951,3951,183,Ingress,2018 JUN 22 13:37:53,OBSERVATION_COMMENT
14,1,1453,1452,189,Ingress,2018 JUN 22 17:33:44,OBSERVATION_COMMENT
14,1,1427,1427,195,Ingress,2018 JUN 22 21:29:38,OBSERVATION_COMMENT
14,1,1453,1452,201,Ingress,2018 JUN 23 01:25:22,OBSERVATION_COMMENT
14,1,293,293,208,Ingress,2018 JUN 23 07:19:13,OBSERVATION_COMMENT
14,1,1453,1452,219,Ingress,2018 JUN 23 17:08:44,OBSERVATION_COMMENT
14,1,1175,1175,225,Ingress,2018 JUN 23 21:04:39,OBSERVATION_COMMENT
