TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
0,1,697,697,6,Egress,2018 JUN 16 20:48:33,###########LNO!!!!#########
72,1,4082,4082,10,Egress,2018 JUN 17 00:44:07,OBSERVATION_COMMENT
14,1,3951,3951,15,Egress,2018 JUN 17 04:39:53,OBSERVATION_COMMENT
14,1,1452,1453,19,Egress,2018 JUN 17 08:35:37,OBSERVATION_COMMENT
14,1,3951,3951,23,Egress,2018 JUN 17 12:31:14,OBSERVATION_COMMENT
14,1,1410,1410,28,Egress,2018 JUN 17 16:26:55,OBSERVATION_COMMENT
14,1,1452,1453,33,Egress,2018 JUN 17 20:22:39,OBSERVATION_COMMENT
14,1,1452,1453,38,Egress,2018 JUN 18 00:18:14,OBSERVATION_COMMENT
14,1,1427,1427,43,Egress,2018 JUN 18 04:13:56,OBSERVATION_COMMENT
14,1,3951,3951,48,Egress,2018 JUN 18 08:09:40,OBSERVATION_COMMENT
14,1,1452,1453,53,Egress,2018 JUN 18 12:05:17,OBSERVATION_COMMENT
14,1,1452,1453,65,Egress,2018 JUN 18 21:54:30,OBSERVATION_COMMENT
14,1,3951,3951,72,Egress,2018 JUN 19 07:43:40,OBSERVATION_COMMENT
14,1,1452,1453,75,Egress,2018 JUN 19 09:41:30,OBSERVATION_COMMENT
83,1,107,107,82,Egress,2018 JUN 19 15:34:55,OBSERVATION_COMMENT
14,1,1452,1453,88,Egress,2018 JUN 19 19:30:38,OBSERVATION_COMMENT
14,1,1176,1176,94,Egress,2018 JUN 19 23:26:17,OBSERVATION_COMMENT
14,1,1446,1446,100,Egress,2018 JUN 20 03:21:51,OBSERVATION_COMMENT
14,1,1452,1453,106,Egress,2018 JUN 20 07:17:36,OBSERVATION_COMMENT
14,1,1410,1410,112,Egress,2018 JUN 20 11:13:13,OBSERVATION_COMMENT
14,1,1452,1453,118,Egress,2018 JUN 20 15:08:49,OBSERVATION_COMMENT
14,1,3951,3951,124,Egress,2018 JUN 20 19:04:31,OBSERVATION_COMMENT
14,1,1452,1453,134,Egress,2018 JUN 21 02:55:43,OBSERVATION_COMMENT
14,1,1452,1453,140,Egress,2018 JUN 21 06:51:27,OBSERVATION_COMMENT
14,1,3951,3951,143,Egress,2018 JUN 21 08:49:17,OBSERVATION_COMMENT
14,1,1452,1453,150,Egress,2018 JUN 21 14:42:40,OBSERVATION_COMMENT
83,1,107,107,156,Egress,2018 JUN 21 18:38:19,OBSERVATION_COMMENT
14,1,1452,1453,159,Egress,2018 JUN 21 20:36:10,OBSERVATION_COMMENT
14,1,1176,1176,166,Egress,2018 JUN 22 02:29:31,OBSERVATION_COMMENT
14,1,1446,1446,172,Egress,2018 JUN 22 06:25:12,OBSERVATION_COMMENT
14,1,1452,1453,178,Egress,2018 JUN 22 10:20:51,OBSERVATION_COMMENT
