TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
14,1,1453,1452,0,5,Ingress,2018 JUL 14 18:52:42,OBSERVATION_COMMENT
14,1,1176,1176,0,11,Ingress,2018 JUL 14 22:48:12,OBSERVATION_COMMENT
14,1,1446,1446,0,14,Ingress,2018 JUL 15 00:45:59,OBSERVATION_COMMENT
14,1,1453,1452,0,21,Ingress,2018 JUL 15 06:39:31,OBSERVATION_COMMENT
14,1,1410,1410,0,27,Ingress,2018 JUL 15 10:35:05,OBSERVATION_COMMENT
14,1,1453,1452,0,34,Ingress,2018 JUL 15 16:28:31,OBSERVATION_COMMENT
14,1,3951,3951,0,40,Ingress,2018 JUL 15 20:24:14,OBSERVATION_COMMENT
14,1,1453,1452,0,47,Ingress,2018 JUL 16 06:13:20,OBSERVATION_COMMENT
14,1,1453,1452,0,50,Ingress,2018 JUL 16 08:11:07,OBSERVATION_COMMENT
14,1,3951,3951,0,56,Ingress,2018 JUL 16 12:06:43,OBSERVATION_COMMENT
14,1,1453,1452,0,63,Ingress,2018 JUL 16 18:00:12,OBSERVATION_COMMENT
83,1,107,107,0,69,Ingress,2018 JUL 16 21:55:53,OBSERVATION_COMMENT
14,1,1453,1452,0,72,Ingress,2018 JUL 16 23:53:37,OBSERVATION_COMMENT
14,1,1176,1176,0,79,Ingress,2018 JUL 17 05:47:13,OBSERVATION_COMMENT
14,1,1446,1446,0,85,Ingress,2018 JUL 17 09:42:50,OBSERVATION_COMMENT
14,1,1453,1452,0,88,Ingress,2018 JUL 17 11:40:38,OBSERVATION_COMMENT
14,1,1410,1410,0,95,Ingress,2018 JUL 17 17:34:08,OBSERVATION_COMMENT
14,1,1453,1452,0,101,Ingress,2018 JUL 17 21:29:53,OBSERVATION_COMMENT
14,1,3951,3951,0,108,Ingress,2018 JUL 18 03:23:18,OBSERVATION_COMMENT
14,1,1176,1176,0,111,Ingress,2018 JUL 18 05:21:12,OBSERVATION_COMMENT
14,1,1453,1452,0,117,Ingress,2018 JUL 18 09:16:51,OBSERVATION_COMMENT
14,1,3951,3951,0,124,Ingress,2018 JUL 18 15:10:17,OBSERVATION_COMMENT
14,1,1453,1452,0,127,Ingress,2018 JUL 18 17:08:08,OBSERVATION_COMMENT
83,1,107,107,0,133,Ingress,2018 JUL 18 21:03:53,OBSERVATION_COMMENT
