TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,1456,1453,0,2,Egress,2018 AUG 11 17:28:23,OBSERVATION_COMMENT
1,1,1452,1453,0,7,Egress,2018 AUG 11 21:24:06,OBSERVATION_COMMENT
1,1,1176,1176,0,12,Egress,2018 AUG 12 01:19:49,OBSERVATION_COMMENT
1,1,3951,3951,0,17,Egress,2018 AUG 12 05:15:38,OBSERVATION_COMMENT
1,1,1446,1446,0,22,Egress,2018 AUG 12 09:11:24,OBSERVATION_COMMENT
1,1,1452,1453,0,28,Egress,2018 AUG 12 13:07:05,OBSERVATION_COMMENT
1,1,1410,1410,0,37,Egress,2018 AUG 12 19:00:51,OBSERVATION_COMMENT
1,1,1452,1453,0,40,Egress,2018 AUG 12 20:58:42,OBSERVATION_COMMENT
1,1,3951,3951,0,46,Egress,2018 AUG 13 00:54:24,OBSERVATION_COMMENT
1,1,1452,1453,0,55,Egress,2018 AUG 13 06:48:08,OBSERVATION_COMMENT
1,1,1456,1453,0,58,Egress,2018 AUG 13 08:46:00,OBSERVATION_COMMENT
1,1,3951,3951,0,64,Egress,2018 AUG 13 12:41:41,OBSERVATION_COMMENT
1,1,1456,1453,0,71,Egress,2018 AUG 13 18:35:28,OBSERVATION_COMMENT
2,1,107,107,0,77,Egress,2018 AUG 13 22:31:10,OBSERVATION_COMMENT
1,1,1456,1453,0,80,Egress,2018 AUG 14 00:29:02,OBSERVATION_COMMENT
1,1,1176,1176,0,86,Egress,2018 AUG 14 08:20:39,OBSERVATION_COMMENT
1,1,1446,1446,0,92,Egress,2018 AUG 14 12:16:19,OBSERVATION_COMMENT
1,1,1452,1453,0,99,Egress,2018 AUG 14 18:10:06,OBSERVATION_COMMENT
1,1,1410,1410,0,105,Egress,2018 AUG 14 22:05:50,OBSERVATION_COMMENT
1,1,1452,1453,0,112,Egress,2018 AUG 15 03:59:29,OBSERVATION_COMMENT
1,1,3951,3951,0,118,Egress,2018 AUG 15 07:55:19,OBSERVATION_COMMENT
1,1,1452,1453,0,121,Egress,2018 AUG 15 09:53:12,OBSERVATION_COMMENT
1,1,1456,1453,0,130,Egress,2018 AUG 15 15:46:51,OBSERVATION_COMMENT
1,1,3951,3951,0,136,Egress,2018 AUG 15 19:42:42,OBSERVATION_COMMENT
1,1,1456,1453,0,139,Egress,2018 AUG 15 21:40:34,OBSERVATION_COMMENT
2,1,107,107,0,146,Egress,2018 AUG 16 03:34:11,OBSERVATION_COMMENT
1,1,1456,1453,0,152,Egress,2018 AUG 16 07:30:02,OBSERVATION_COMMENT
1,1,1176,1176,0,158,Egress,2018 AUG 16 11:25:47,OBSERVATION_COMMENT
1,1,1446,1446,0,164,Egress,2018 AUG 16 15:21:32,OBSERVATION_COMMENT
1,1,1452,1453,0,173,Egress,2018 AUG 16 21:15:19,OBSERVATION_COMMENT
1,1,1410,1410,0,182,Egress,2018 AUG 17 03:08:56,OBSERVATION_COMMENT
1,1,1452,1453,0,185,Egress,2018 AUG 17 05:06:51,OBSERVATION_COMMENT
1,1,3951,3951,0,191,Egress,2018 AUG 17 09:02:43,OBSERVATION_COMMENT
1,1,1452,1453,0,198,Egress,2018 AUG 17 14:56:19,OBSERVATION_COMMENT
1,1,1456,1453,0,204,Egress,2018 AUG 17 18:52:14,OBSERVATION_COMMENT
1,1,3951,3951,0,207,Egress,2018 AUG 17 20:50:08,OBSERVATION_COMMENT
1,1,1215,1215,0,214,Egress,2018 AUG 18 02:43:45,OBSERVATION_COMMENT
2,1,107,107,0,220,Egress,2018 AUG 18 06:39:36,OBSERVATION_COMMENT
1,1,1456,1453,0,226,Egress,2018 AUG 18 10:35:26,OBSERVATION_COMMENT
1,1,1176,1176,0,240,Egress,2018 AUG 18 22:22:54,OBSERVATION_COMMENT
1,1,1446,1446,0,247,Egress,2018 AUG 19 04:16:34,OBSERVATION_COMMENT
1,1,1452,1453,0,253,Egress,2018 AUG 19 08:12:27,OBSERVATION_COMMENT
1,1,1410,1410,0,256,Egress,2018 AUG 19 10:10:23,OBSERVATION_COMMENT
1,1,1452,1453,0,263,Egress,2018 AUG 19 16:04:01,OBSERVATION_COMMENT
1,1,3951,3951,0,272,Egress,2018 AUG 19 21:57:54,OBSERVATION_COMMENT
1,1,1456,1453,0,275,Egress,2018 AUG 19 23:55:47,OBSERVATION_COMMENT
1,1,1452,1453,0,284,Egress,2018 AUG 20 05:49:31,OBSERVATION_COMMENT
1,1,3951,3951,0,290,Egress,2018 AUG 20 09:45:25,OBSERVATION_COMMENT
1,1,1452,1453,0,299,Egress,2018 AUG 20 15:39:05,OBSERVATION_COMMENT
2,1,107,107,0,302,Egress,2018 AUG 20 17:37:04,OBSERVATION_COMMENT
1,1,1452,1453,0,311,Egress,2018 AUG 20 23:30:55,OBSERVATION_COMMENT
1,1,1176,1176,0,318,Egress,2018 AUG 21 05:24:40,OBSERVATION_COMMENT
1,1,1446,1446,0,321,Egress,2018 AUG 21 07:22:37,OBSERVATION_COMMENT
1,1,1456,1453,0,327,Egress,2018 AUG 21 11:18:31,OBSERVATION_COMMENT
1,1,1410,1410,0,334,Egress,2018 AUG 21 17:12:15,OBSERVATION_COMMENT
1,1,1215,1215,0,344,Egress,2018 AUG 22 01:04:06,OBSERVATION_COMMENT
1,1,3951,3951,0,347,Egress,2018 AUG 22 03:02:01,OBSERVATION_COMMENT
1,1,1456,1453,0,353,Egress,2018 AUG 22 06:57:56,OBSERVATION_COMMENT
1,1,1452,1453,0,362,Egress,2018 AUG 22 12:51:50,OBSERVATION_COMMENT
1,1,3951,3951,0,365,Egress,2018 AUG 22 14:49:44,OBSERVATION_COMMENT
1,1,1452,1453,0,371,Egress,2018 AUG 22 18:45:40,OBSERVATION_COMMENT
2,1,107,107,0,380,Egress,2018 AUG 23 00:39:36,OBSERVATION_COMMENT
1,1,1452,1453,0,386,Egress,2018 AUG 23 04:35:28,OBSERVATION_COMMENT
1,1,1176,1176,0,389,Egress,2018 AUG 23 06:33:26,OBSERVATION_COMMENT
1,1,1446,1446,0,398,Egress,2018 AUG 23 12:27:23,OBSERVATION_COMMENT
1,1,1456,1453,0,404,Egress,2018 AUG 23 16:23:13,OBSERVATION_COMMENT
1,1,1410,1410,0,407,Egress,2018 AUG 23 18:21:13,OBSERVATION_COMMENT
1,1,1456,1453,0,416,Egress,2018 AUG 24 00:15:15,OBSERVATION_COMMENT
1,1,3951,3951,0,422,Egress,2018 AUG 24 04:11:08,OBSERVATION_COMMENT
1,1,1456,1453,0,431,Egress,2018 AUG 24 10:05:08,OBSERVATION_COMMENT
1,1,1452,1453,0,434,Egress,2018 AUG 24 12:03:08,OBSERVATION_COMMENT
1,1,3951,3951,0,440,Egress,2018 AUG 24 15:59:01,OBSERVATION_COMMENT
1,1,1452,1453,0,449,Egress,2018 AUG 24 21:53:06,OBSERVATION_COMMENT
