TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,1029,1029,1,1,Dayside_Nadir,2018 SEP 08 15:58:41,OBSERVATION_COMMENT
1,1,1090,1090,1,3,Dayside_Nadir,2018 SEP 08 18:06:37,OBSERVATION_COMMENT
-1,-1,-1,-1,1,4,Dayside_Nadir,2018 SEP 08 20:04:31, 
-1,-1,-1,-1,1,5,Dayside_Nadir,2018 SEP 08 20:04:31, 
-1,-1,-1,-1,1,6,Dayside_Nadir,2018 SEP 08 20:04:31, 
1,1,1779,1779,1,8,Dayside_Nadir,2018 SEP 08 22:02:21,OBSERVATION_COMMENT
-1,-1,-1,-1,1,9,Dayside_Nadir,2018 SEP 09 00:00:13, 
-1,-1,-1,-1,1,10,Dayside_Nadir,2018 SEP 09 00:00:13, 
-1,-1,-1,-1,1,11,Dayside_Nadir,2018 SEP 09 00:00:13, 
1,1,1860,1860,1,13,Dayside_Nadir,2018 SEP 09 01:58:09,OBSERVATION_COMMENT
-1,-1,-1,-1,1,14,Dayside_Nadir,2018 SEP 09 03:56:05, 
-1,-1,-1,-1,1,15,Dayside_Nadir,2018 SEP 09 03:56:05, 
-1,-1,-1,-1,1,16,Dayside_Nadir,2018 SEP 09 03:56:05, 
1,1,1107,1107,1,18,Dayside_Nadir,2018 SEP 09 05:53:59,OBSERVATION_COMMENT
-1,-1,-1,-1,1,19,Dayside_Nadir,2018 SEP 09 07:51:53, 
-1,-1,-1,-1,1,20,Dayside_Nadir,2018 SEP 09 07:51:53, 
-1,-1,-1,-1,1,21,Dayside_Nadir,2018 SEP 09 07:51:53, 
1,1,1837,1837,1,23,Dayside_Nadir,2018 SEP 09 09:49:45,OBSERVATION_COMMENT
-1,-1,-1,-1,1,24,Dayside_Nadir,2018 SEP 09 11:47:35, 
-1,-1,-1,-1,1,25,Dayside_Nadir,2018 SEP 09 11:47:35, 
-1,-1,-1,-1,1,26,Dayside_Nadir,2018 SEP 09 11:47:35, 
1,1,1033,1033,1,28,Dayside_Nadir,2018 SEP 09 13:45:29,OBSERVATION_COMMENT
-1,-1,-1,-1,1,29,Dayside_Nadir,2018 SEP 09 15:43:27, 
-1,-1,-1,-1,1,30,Dayside_Nadir,2018 SEP 09 15:43:27, 
-1,-1,-1,-1,1,31,Dayside_Nadir,2018 SEP 09 15:43:27, 
-1,-1,-1,-1,1,32,Dayside_Nadir,2018 SEP 09 17:41:23, 
-1,-1,-1,-1,1,33,Dayside_Nadir,2018 SEP 09 17:41:23, 
-1,-1,-1,-1,1,34,Dayside_Nadir,2018 SEP 09 17:41:23, 
1,1,2639,2639,1,36,Dayside_Nadir,2018 SEP 09 19:39:19,OBSERVATION_COMMENT
1,1,1107,1107,1,38,Dayside_Nadir,2018 SEP 09 21:37:09,OBSERVATION_COMMENT
-1,-1,-1,-1,1,39,Dayside_Nadir,2018 SEP 09 23:35:01, 
-1,-1,-1,-1,1,40,Dayside_Nadir,2018 SEP 09 23:35:01, 
-1,-1,-1,-1,1,41,Dayside_Nadir,2018 SEP 09 23:35:01, 
1,1,1033,1033,1,43,Dayside_Nadir,2018 SEP 10 01:32:53,OBSERVATION_COMMENT
-1,-1,-1,-1,1,44,Dayside_Nadir,2018 SEP 10 03:30:49, 
-1,-1,-1,-1,1,45,Dayside_Nadir,2018 SEP 10 03:30:49, 
-1,-1,-1,-1,1,46,Dayside_Nadir,2018 SEP 10 03:30:49, 
-1,-1,-1,-1,1,47,Dayside_Nadir,2018 SEP 10 05:28:45, 
-1,-1,-1,-1,1,48,Dayside_Nadir,2018 SEP 10 05:28:45, 
-1,-1,-1,-1,1,49,Dayside_Nadir,2018 SEP 10 05:28:45, 
1,1,1090,1090,1,51,Dayside_Nadir,2018 SEP 10 07:26:39,OBSERVATION_COMMENT
1,1,1029,1029,1,53,Dayside_Nadir,2018 SEP 10 09:24:31,OBSERVATION_COMMENT
-1,-1,-1,-1,1,54,Dayside_Nadir,2018 SEP 10 11:22:21, 
-1,-1,-1,-1,1,55,Dayside_Nadir,2018 SEP 10 11:22:21, 
-1,-1,-1,-1,1,56,Dayside_Nadir,2018 SEP 10 11:22:21, 
1,1,1090,1090,1,58,Dayside_Nadir,2018 SEP 10 13:20:13,OBSERVATION_COMMENT
-1,-1,-1,-1,1,59,Dayside_Nadir,2018 SEP 10 15:18:09, 
-1,-1,-1,-1,1,60,Dayside_Nadir,2018 SEP 10 15:18:09, 
-1,-1,-1,-1,1,61,Dayside_Nadir,2018 SEP 10 15:18:09, 
1,1,1779,1779,1,62,Dayside_Nadir,2018 SEP 10 17:06:05,OBSERVATION_COMMENT
1,1,1860,1860,1,64,Dayside_Nadir,2018 SEP 10 19:14:01,OBSERVATION_COMMENT
-1,-1,-1,-1,1,65,Dayside_Nadir,2018 SEP 10 21:11:53, 
-1,-1,-1,-1,1,66,Dayside_Nadir,2018 SEP 10 21:11:53, 
-1,-1,-1,-1,1,67,Dayside_Nadir,2018 SEP 10 21:11:53, 
-1,-1,-1,-1,1,68,Dayside_Nadir,2018 SEP 10 23:09:43, 
-1,-1,-1,-1,1,69,Dayside_Nadir,2018 SEP 10 23:09:43, 
-1,-1,-1,-1,1,70,Dayside_Nadir,2018 SEP 10 23:09:43, 
-1,-1,-1,-1,1,71,Dayside_Nadir,2018 SEP 11 01:07:35, 
-1,-1,-1,-1,1,72,Dayside_Nadir,2018 SEP 11 01:07:35, 
-1,-1,-1,-1,1,73,Dayside_Nadir,2018 SEP 11 01:07:35, 
-1,-1,-1,-1,1,74,Dayside_Nadir,2018 SEP 11 03:05:29, 
-1,-1,-1,-1,1,75,Dayside_Nadir,2018 SEP 11 03:05:29, 
-1,-1,-1,-1,1,76,Dayside_Nadir,2018 SEP 11 03:05:29, 
-1,-1,-1,-1,1,77,Dayside_Nadir,2018 SEP 11 05:03:25, 
-1,-1,-1,-1,1,78,Dayside_Nadir,2018 SEP 11 05:03:25, 
-1,-1,-1,-1,1,79,Dayside_Nadir,2018 SEP 11 05:03:25, 
-1,-1,-1,-1,1,80,Dayside_Nadir,2018 SEP 11 07:01:19, 
-1,-1,-1,-1,1,81,Dayside_Nadir,2018 SEP 11 07:01:19, 
-1,-1,-1,-1,1,82,Dayside_Nadir,2018 SEP 11 07:01:19, 
-1,-1,-1,-1,1,83,Dayside_Nadir,2018 SEP 11 08:59:13, 
-1,-1,-1,-1,1,84,Dayside_Nadir,2018 SEP 11 08:59:13, 
