TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,1452,1453,0,2,Egress,2018 SEP 08 17:48:28,OBSERVATION_COMMENT
1,1,1215,1215,0,7,Egress,2018 SEP 08 21:44:16,OBSERVATION_COMMENT
1,1,1176,1176,0,12,Egress,2018 SEP 09 01:40:04,OBSERVATION_COMMENT
1,1,3951,3951,0,17,Egress,2018 SEP 09 05:35:59,OBSERVATION_COMMENT
1,1,1446,1446,0,22,Egress,2018 SEP 09 09:31:48,OBSERVATION_COMMENT
1,1,1452,1453,0,27,Egress,2018 SEP 09 13:27:34,OBSERVATION_COMMENT
1,1,3951,3951,0,37,Egress,2018 SEP 09 21:19:19,OBSERVATION_COMMENT
1,1,1410,1410,0,42,Egress,2018 SEP 10 01:15:05,OBSERVATION_COMMENT
1,1,1452,1453,0,52,Egress,2018 SEP 10 09:06:49,OBSERVATION_COMMENT
1,1,1427,1427,0,57,Egress,2018 SEP 10 13:02:32,OBSERVATION_COMMENT
1,1,1452,1453,0,93,Egress,2018 SEP 11 16:33:16,OBSERVATION_COMMENT
1,1,1452,1453,0,108,Egress,2018 SEP 12 04:20:39,OBSERVATION_COMMENT
1,1,1454,1455,0,128,Egress,2018 SEP 12 23:59:38,OBSERVATION_COMMENT
1,1,1215,1215,0,143,Egress,2018 SEP 13 11:47:01,OBSERVATION_COMMENT
1,1,1446,1446,0,158,Egress,2018 SEP 13 23:34:22,OBSERVATION_COMMENT
1,1,1452,1453,0,163,Egress,2018 SEP 14 03:30:06,OBSERVATION_COMMENT
1,1,1452,1453,0,181,Egress,2018 SEP 14 19:13:17,OBSERVATION_COMMENT
1,1,3951,3951,0,200,Egress,2018 SEP 15 10:56:23,OBSERVATION_COMMENT
1,1,1215,1215,0,211,Egress,2018 SEP 15 18:47:53,OBSERVATION_COMMENT
1,1,1452,1453,0,216,Egress,2018 SEP 15 22:43:40,OBSERVATION_COMMENT
1,1,1456,1457,0,226,Egress,2018 SEP 16 06:35:08,OBSERVATION_COMMENT
1,1,1452,1453,0,231,Egress,2018 SEP 16 10:30:57,OBSERVATION_COMMENT
1,1,1454,1455,0,244,Egress,2018 SEP 16 22:18:13,OBSERVATION_COMMENT
1,1,1452,1453,0,259,Egress,2018 SEP 17 10:05:29,OBSERVATION_COMMENT
1,1,3951,3951,0,296,Egress,2018 SEP 18 17:31:18,OBSERVATION_COMMENT
1,1,1410,1410,0,301,Egress,2018 SEP 18 21:27:07,OBSERVATION_COMMENT
1,1,1215,1215,0,325,Egress,2018 SEP 19 17:05:40,OBSERVATION_COMMENT
1,1,1452,1453,0,330,Egress,2018 SEP 19 21:01:29,OBSERVATION_COMMENT
1,1,1456,1457,0,338,Egress,2018 SEP 20 04:52:52,OBSERVATION_COMMENT
1,1,1452,1453,0,343,Egress,2018 SEP 20 08:48:38,OBSERVATION_COMMENT
1,1,1175,1175,0,353,Egress,2018 SEP 20 16:40:01,OBSERVATION_COMMENT
1,1,1458,1459,0,358,Egress,2018 SEP 20 20:35:48,OBSERVATION_COMMENT
1,1,1177,1177,0,368,Egress,2018 SEP 21 04:27:11,OBSERVATION_COMMENT
1,1,1452,1453,0,373,Egress,2018 SEP 21 08:22:56,OBSERVATION_COMMENT
1,1,3951,3951,0,388,Egress,2018 SEP 21 20:10:04,OBSERVATION_COMMENT
1,1,1458,1459,0,403,Egress,2018 SEP 22 11:52:58,OBSERVATION_COMMENT
1,1,3951,3951,0,414,Egress,2018 SEP 22 19:44:18,OBSERVATION_COMMENT
1,1,1410,1410,0,419,Egress,2018 SEP 22 23:40:04,OBSERVATION_COMMENT
1,1,1452,1453,0,429,Egress,2018 SEP 23 07:31:23,OBSERVATION_COMMENT
1,1,3951,3951,0,443,Egress,2018 SEP 23 19:18:27,OBSERVATION_COMMENT
1,1,3951,3951,0,458,Egress,2018 SEP 24 07:05:33,OBSERVATION_COMMENT
1,1,1456,1457,0,463,Egress,2018 SEP 24 11:01:17,OBSERVATION_COMMENT
1,1,1175,1175,0,473,Egress,2018 SEP 24 18:52:34,OBSERVATION_COMMENT
1,1,1458,1459,0,478,Egress,2018 SEP 24 22:48:20,OBSERVATION_COMMENT
2,1,107,107,0,488,Egress,2018 SEP 25 06:39:37,OBSERVATION_COMMENT
1,1,1177,1177,0,493,Egress,2018 SEP 25 10:35:19,OBSERVATION_COMMENT
1,1,1215,1215,0,503,Egress,2018 SEP 25 18:26:36,OBSERVATION_COMMENT
1,1,1176,1176,0,508,Egress,2018 SEP 25 22:22:21,OBSERVATION_COMMENT
1,1,1446,1446,0,518,Egress,2018 SEP 26 06:13:39,OBSERVATION_COMMENT
1,1,1452,1453,0,523,Egress,2018 SEP 26 10:09:19,OBSERVATION_COMMENT
1,1,1410,1410,0,542,Egress,2018 SEP 27 01:51:59,OBSERVATION_COMMENT
1,1,1452,1453,0,547,Egress,2018 SEP 27 05:47:35,OBSERVATION_COMMENT
1,1,1452,1453,0,552,Egress,2018 SEP 27 09:43:13,OBSERVATION_COMMENT
1,1,1452,1453,0,566,Egress,2018 SEP 27 19:32:18,OBSERVATION_COMMENT
1,1,1456,1457,0,575,Egress,2018 SEP 28 01:25:52,OBSERVATION_COMMENT
1,1,3951,3951,0,581,Egress,2018 SEP 28 05:21:28,OBSERVATION_COMMENT
1,1,1458,1459,0,584,Egress,2018 SEP 28 07:19:15,OBSERVATION_COMMENT
1,1,1177,1177,0,594,Egress,2018 SEP 28 15:10:36,OBSERVATION_COMMENT
1,1,1215,1215,0,600,Egress,2018 SEP 28 19:06:08,OBSERVATION_COMMENT
1,1,3951,3951,0,603,Egress,2018 SEP 28 21:03:56,OBSERVATION_COMMENT
1,1,1452,1453,0,612,Egress,2018 SEP 29 02:57:27,OBSERVATION_COMMENT
1,1,3951,3951,0,618,Egress,2018 SEP 29 06:53:02,OBSERVATION_COMMENT
1,1,1452,1453,0,634,Egress,2018 SEP 29 18:39:52,OBSERVATION_COMMENT
1,1,1427,1427,0,637,Egress,2018 SEP 29 20:37:38,OBSERVATION_COMMENT
1,1,1215,1215,0,643,Egress,2018 SEP 30 00:33:19,OBSERVATION_COMMENT
