TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,1029,1029,1,1,Dayside_Nadir,2018 OCT 06 15:47:23,OBSERVATION_COMMENT
-1,-1,-1,-1,1,2,Dayside_Nadir,2018 OCT 06 17:55:13, 
-1,-1,-1,-1,1,3,Dayside_Nadir,2018 OCT 06 17:55:13, 
-1,-1,-1,-1,1,4,Dayside_Nadir,2018 OCT 06 17:55:13, 
1,1,1090,1090,1,7,Dayside_Nadir,2018 OCT 06 19:52:59,OBSERVATION_COMMENT
-1,-1,-1,-1,1,8,Dayside_Nadir,2018 OCT 06 21:50:43, 
-1,-1,-1,-1,1,9,Dayside_Nadir,2018 OCT 06 21:50:43, 
-1,-1,-1,-1,1,10,Dayside_Nadir,2018 OCT 06 21:50:43, 
1,1,1779,1779,1,13,Dayside_Nadir,2018 OCT 06 23:48:31,OBSERVATION_COMMENT
-1,-1,-1,-1,1,14,Dayside_Nadir,2018 OCT 07 01:46:23, 
-1,-1,-1,-1,1,15,Dayside_Nadir,2018 OCT 07 01:46:23, 
-1,-1,-1,-1,1,16,Dayside_Nadir,2018 OCT 07 01:46:23, 
1,1,1860,1860,1,17,Dayside_Nadir,2018 OCT 07 03:34:15,OBSERVATION_COMMENT
-1,-1,-1,-1,1,18,Dayside_Nadir,2018 OCT 07 05:42:05, 
-1,-1,-1,-1,1,19,Dayside_Nadir,2018 OCT 07 05:42:05, 
-1,-1,-1,-1,1,20,Dayside_Nadir,2018 OCT 07 05:42:05, 
1,1,1107,1107,1,22,Dayside_Nadir,2018 OCT 07 07:39:51,OBSERVATION_COMMENT
1,1,1837,1837,1,24,Dayside_Nadir,2018 OCT 07 09:37:35,OBSERVATION_COMMENT
-1,-1,-1,-1,1,25,Dayside_Nadir,2018 OCT 07 11:35:23, 
-1,-1,-1,-1,1,26,Dayside_Nadir,2018 OCT 07 11:35:23, 
-1,-1,-1,-1,1,27,Dayside_Nadir,2018 OCT 07 11:35:23, 
1,1,1033,1033,1,29,Dayside_Nadir,2018 OCT 07 13:33:13,OBSERVATION_COMMENT
-1,-1,-1,-1,1,30,Dayside_Nadir,2018 OCT 07 15:31:03, 
-1,-1,-1,-1,1,31,Dayside_Nadir,2018 OCT 07 15:31:03, 
-1,-1,-1,-1,1,32,Dayside_Nadir,2018 OCT 07 15:31:03, 
1,1,2639,2639,1,33,Dayside_Nadir,2018 OCT 07 17:18:51,OBSERVATION_COMMENT
1,1,1107,1107,1,35,Dayside_Nadir,2018 OCT 07 19:26:37,OBSERVATION_COMMENT
-1,-1,-1,-1,1,36,Dayside_Nadir,2018 OCT 07 21:24:21, 
-1,-1,-1,-1,1,37,Dayside_Nadir,2018 OCT 07 21:24:21, 
-1,-1,-1,-1,1,38,Dayside_Nadir,2018 OCT 07 21:24:21, 
1,1,1033,1033,1,40,Dayside_Nadir,2018 OCT 07 23:22:07,OBSERVATION_COMMENT
1,1,1090,1090,1,42,Dayside_Nadir,2018 OCT 08 01:19:57,OBSERVATION_COMMENT
-1,-1,-1,-1,1,43,Dayside_Nadir,2018 OCT 08 03:17:49, 
-1,-1,-1,-1,1,44,Dayside_Nadir,2018 OCT 08 03:17:49, 
-1,-1,-1,-1,1,45,Dayside_Nadir,2018 OCT 08 03:17:49, 
1,1,1029,1029,1,46,Dayside_Nadir,2018 OCT 08 05:05:39,OBSERVATION_COMMENT
1,1,1090,1090,1,48,Dayside_Nadir,2018 OCT 08 07:13:25,OBSERVATION_COMMENT
-1,-1,-1,-1,1,49,Dayside_Nadir,2018 OCT 08 09:11:09, 
