TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
1,1,4000,4000,1,215,Dayside_Nadir,2018 OCT 15 19:29:31,OBSERVATION_COMMENT
1,1,4000,4000,1,223,Dayside_Nadir,2018 OCT 16 03:18:55,OBSERVATION_COMMENT
1,1,4000,4000,1,231,Dayside_Nadir,2018 OCT 16 11:08:31,OBSERVATION_COMMENT
1,1,4000,4000,1,239,Dayside_Nadir,2018 OCT 16 18:58:07,OBSERVATION_COMMENT
1,1,4000,4000,1,247,Dayside_Nadir,2018 OCT 17 02:48:05,OBSERVATION_COMMENT
1,1,4000,4000,1,255,Dayside_Nadir,2018 OCT 17 10:38:11,OBSERVATION_COMMENT
1,1,4000,4000,1,263,Dayside_Nadir,2018 OCT 17 18:28:19,OBSERVATION_COMMENT
1,1,4000,4000,1,271,Dayside_Nadir,2018 OCT 18 02:18:47,OBSERVATION_COMMENT
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
-1,-1,-1,-1,1,-1,Nightside_Nadir,NONE,NONE
