TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,1859,1859,1,1,Dayside_Nadir,2018 NOV 03 14:46:01,OBSERVATION_COMMENT
1,1,1090,1090,1,3,Dayside_Nadir,2018 NOV 03 16:53:55,OBSERVATION_COMMENT
-1,-1,-1,-1,1,4,Dayside_Nadir,2018 NOV 03 18:51:47, 
-1,-1,-1,-1,1,5,Dayside_Nadir,2018 NOV 03 18:51:47, 
-1,-1,-1,-1,1,6,Dayside_Nadir,2018 NOV 03 18:51:47, 
1,1,1779,1779,1,8,Dayside_Nadir,2018 NOV 03 20:49:35,OBSERVATION_COMMENT
-1,-1,-1,-1,1,9,Dayside_Nadir,2018 NOV 03 22:47:25, 
-1,-1,-1,-1,1,10,Dayside_Nadir,2018 NOV 03 22:47:25, 
-1,-1,-1,-1,1,11,Dayside_Nadir,2018 NOV 03 22:47:25, 
1,1,1860,1860,1,13,Dayside_Nadir,2018 NOV 04 00:45:17,OBSERVATION_COMMENT
-1,-1,-1,-1,1,14,Dayside_Nadir,2018 NOV 04 02:43:11, 
-1,-1,-1,-1,1,15,Dayside_Nadir,2018 NOV 04 02:43:11, 
-1,-1,-1,-1,1,16,Dayside_Nadir,2018 NOV 04 02:43:11, 
1,1,1107,1107,1,18,Dayside_Nadir,2018 NOV 04 04:41:05,OBSERVATION_COMMENT
-1,-1,-1,-1,1,19,Dayside_Nadir,2018 NOV 04 06:38:57, 
-1,-1,-1,-1,1,20,Dayside_Nadir,2018 NOV 04 06:38:57, 
-1,-1,-1,-1,1,21,Dayside_Nadir,2018 NOV 04 06:38:57, 
1,1,1837,1837,1,23,Dayside_Nadir,2018 NOV 04 08:36:45,OBSERVATION_COMMENT
-1,-1,-1,-1,1,24,Dayside_Nadir,2018 NOV 04 10:34:35, 
-1,-1,-1,-1,1,25,Dayside_Nadir,2018 NOV 04 10:34:35, 
-1,-1,-1,-1,1,26,Dayside_Nadir,2018 NOV 04 10:34:35, 
1,1,1033,1033,1,28,Dayside_Nadir,2018 NOV 04 12:32:25,OBSERVATION_COMMENT
-1,-1,-1,-1,1,29,Dayside_Nadir,2018 NOV 04 14:30:19, 
-1,-1,-1,-1,1,30,Dayside_Nadir,2018 NOV 04 16:28:13, 
1,1,2639,2639,1,32,Dayside_Nadir,2018 NOV 04 18:26:05,OBSERVATION_COMMENT
1,1,1107,1107,1,34,Dayside_Nadir,2018 NOV 04 20:23:55,OBSERVATION_COMMENT
-1,-1,-1,-1,1,35,Dayside_Nadir,2018 NOV 04 22:21:43, 
-1,-1,-1,-1,1,36,Dayside_Nadir,2018 NOV 04 22:21:43, 
-1,-1,-1,-1,1,37,Dayside_Nadir,2018 NOV 04 22:21:43, 
1,1,1033,1033,1,39,Dayside_Nadir,2018 NOV 05 00:19:35,OBSERVATION_COMMENT
-1,-1,-1,-1,1,40,Dayside_Nadir,2018 NOV 05 02:17:27, 
-1,-1,-1,-1,1,41,Dayside_Nadir,2018 NOV 05 02:17:27, 
-1,-1,-1,-1,1,42,Dayside_Nadir,2018 NOV 05 02:17:27, 
-1,-1,-1,-1,1,43,Dayside_Nadir,2018 NOV 05 04:15:23, 
-1,-1,-1,-1,1,44,Dayside_Nadir,2018 NOV 05 04:15:23, 
-1,-1,-1,-1,1,45,Dayside_Nadir,2018 NOV 05 04:15:23, 
1,1,1090,1090,1,47,Dayside_Nadir,2018 NOV 05 06:13:15,OBSERVATION_COMMENT
1,1,1859,1859,1,49,Dayside_Nadir,2018 NOV 05 08:11:07,OBSERVATION_COMMENT
-1,-1,-1,-1,1,50,Dayside_Nadir,2018 NOV 05 10:08:55, 
-1,-1,-1,-1,1,51,Dayside_Nadir,2018 NOV 05 10:08:55, 
-1,-1,-1,-1,1,52,Dayside_Nadir,2018 NOV 05 10:08:55, 
1,1,1090,1090,1,54,Dayside_Nadir,2018 NOV 05 12:06:45,OBSERVATION_COMMENT
-1,-1,-1,-1,1,55,Dayside_Nadir,2018 NOV 05 14:04:37, 
-1,-1,-1,-1,1,56,Dayside_Nadir,2018 NOV 05 14:04:37, 
-1,-1,-1,-1,1,57,Dayside_Nadir,2018 NOV 05 14:04:37, 
1,1,1779,1779,1,58,Dayside_Nadir,2018 NOV 05 15:52:31,OBSERVATION_COMMENT
1,1,1860,1860,1,60,Dayside_Nadir,2018 NOV 05 18:00:25,OBSERVATION_COMMENT
-1,-1,-1,-1,1,61,Dayside_Nadir,2018 NOV 05 19:58:15, 
-1,-1,-1,-1,1,62,Dayside_Nadir,2018 NOV 05 19:58:15, 
-1,-1,-1,-1,1,63,Dayside_Nadir,2018 NOV 05 19:58:15, 
1,1,1107,1107,1,65,Dayside_Nadir,2018 NOV 05 21:56:05,OBSERVATION_COMMENT
1,1,1837,1837,1,67,Dayside_Nadir,2018 NOV 05 23:53:55,OBSERVATION_COMMENT
-1,-1,-1,-1,1,68,Dayside_Nadir,2018 NOV 06 01:51:47, 
-1,-1,-1,-1,1,69,Dayside_Nadir,2018 NOV 06 01:51:47, 
-1,-1,-1,-1,1,70,Dayside_Nadir,2018 NOV 06 01:51:47, 
-1,-1,-1,-1,1,71,Dayside_Nadir,2018 NOV 06 03:49:41, 
-1,-1,-1,-1,1,72,Dayside_Nadir,2018 NOV 06 03:49:41, 
-1,-1,-1,-1,1,73,Dayside_Nadir,2018 NOV 06 03:49:41, 
1,1,1033,1033,1,75,Dayside_Nadir,2018 NOV 06 05:47:35,OBSERVATION_COMMENT
-1,-1,-1,-1,1,76,Dayside_Nadir,2018 NOV 06 07:45:27, 
-1,-1,-1,-1,1,77,Dayside_Nadir,2018 NOV 06 07:45:27, 
-1,-1,-1,-1,1,78,Dayside_Nadir,2018 NOV 06 07:45:27, 
1,1,2639,2639,1,80,Dayside_Nadir,2018 NOV 06 09:43:17,OBSERVATION_COMMENT
-1,-1,-1,-1,1,82,Dayside_Nadir,2018 NOV 06 11:41:07, 
-1,-1,-1,-1,1,83,Dayside_Nadir,2018 NOV 06 13:38:59, 
-1,-1,-1,-1,1,84,Dayside_Nadir,2018 NOV 06 15:36:51, 
-1,-1,-1,-1,1,85,Dayside_Nadir,2018 NOV 06 15:36:51, 
-1,-1,-1,-1,1,86,Dayside_Nadir,2018 NOV 06 15:36:51, 
1,1,1107,1107,1,88,Dayside_Nadir,2018 NOV 06 17:34:45,OBSERVATION_COMMENT
-1,-1,-1,-1,1,89,Dayside_Nadir,2018 NOV 06 19:32:37, 
-1,-1,-1,-1,1,90,Dayside_Nadir,2018 NOV 06 19:32:37, 
-1,-1,-1,-1,1,91,Dayside_Nadir,2018 NOV 06 19:32:37, 
1,1,1033,1033,1,92,Dayside_Nadir,2018 NOV 06 21:20:27,OBSERVATION_COMMENT
-1,-1,-1,-1,1,93,Dayside_Nadir,2018 NOV 06 23:28:17, 
-1,-1,-1,-1,1,94,Dayside_Nadir,2018 NOV 06 23:28:17, 
-1,-1,-1,-1,1,95,Dayside_Nadir,2018 NOV 06 23:28:17, 
1,1,1090,1090,1,97,Dayside_Nadir,2018 NOV 07 01:26:09,OBSERVATION_COMMENT
-1,-1,-1,-1,1,98,Dayside_Nadir,2018 NOV 07 03:24:01, 
-1,-1,-1,-1,1,99,Dayside_Nadir,2018 NOV 07 03:24:01, 
-1,-1,-1,-1,1,100,Dayside_Nadir,2018 NOV 07 03:24:01, 
1,1,1107,1107,1,102,Dayside_Nadir,2018 NOV 07 05:21:57,OBSERVATION_COMMENT
-1,-1,-1,-1,1,104,Dayside_Nadir,2018 NOV 07 07:19:49, 
-1,-1,-1,-1,1,105,Dayside_Nadir,2018 NOV 07 09:17:41, 
-1,-1,-1,-1,1,106,Dayside_Nadir,2018 NOV 07 11:15:29, 
