TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,1029,1029,1,1,Dayside_Nadir,2018 DEC 01 14:47:53,OBSERVATION_COMMENT
1,1,1090,1090,1,4,Dayside_Nadir,2018 DEC 01 16:55:53,OBSERVATION_COMMENT
-1,-1,-1,-1,1,5,Dayside_Nadir,2018 DEC 01 18:53:51, 
-1,-1,-1,-1,1,6,Dayside_Nadir,2018 DEC 01 18:53:51, 
-1,-1,-1,-1,1,7,Dayside_Nadir,2018 DEC 01 18:53:51, 
1,1,1779,1779,1,10,Dayside_Nadir,2018 DEC 01 20:51:45,OBSERVATION_COMMENT
-1,-1,-1,-1,1,11,Dayside_Nadir,2018 DEC 01 22:49:41, 
-1,-1,-1,-1,1,12,Dayside_Nadir,2018 DEC 01 22:49:41, 
-1,-1,-1,-1,1,13,Dayside_Nadir,2018 DEC 01 22:49:41, 
1,1,1860,1860,1,16,Dayside_Nadir,2018 DEC 02 00:47:43,OBSERVATION_COMMENT
-1,-1,-1,-1,1,17,Dayside_Nadir,2018 DEC 02 02:45:45, 
-1,-1,-1,-1,1,18,Dayside_Nadir,2018 DEC 02 02:45:45, 
-1,-1,-1,-1,1,19,Dayside_Nadir,2018 DEC 02 02:45:45, 
1,1,1107,1107,1,20,Dayside_Nadir,2018 DEC 02 04:33:45,OBSERVATION_COMMENT
1,1,1837,1837,1,23,Dayside_Nadir,2018 DEC 02 06:41:43,OBSERVATION_COMMENT
-1,-1,-1,-1,1,24,Dayside_Nadir,2018 DEC 02 08:39:39, 
-1,-1,-1,-1,1,25,Dayside_Nadir,2018 DEC 02 08:39:39, 
-1,-1,-1,-1,1,26,Dayside_Nadir,2018 DEC 02 08:39:39, 
1,1,1033,1033,1,29,Dayside_Nadir,2018 DEC 02 10:37:35,OBSERVATION_COMMENT
-1,-1,-1,-1,1,30,Dayside_Nadir,2018 DEC 02 12:35:35, 
-1,-1,-1,-1,1,31,Dayside_Nadir,2018 DEC 02 12:35:35, 
-1,-1,-1,-1,1,32,Dayside_Nadir,2018 DEC 02 12:35:35, 
1,1,2639,2639,1,33,Dayside_Nadir,2018 DEC 02 14:23:37,OBSERVATION_COMMENT
-1,-1,-1,-1,1,34,Dayside_Nadir,2018 DEC 02 16:31:37, 
-1,-1,-1,-1,1,35,Dayside_Nadir,2018 DEC 02 16:31:37, 
-1,-1,-1,-1,1,36,Dayside_Nadir,2018 DEC 02 16:31:37, 
1,1,1107,1107,1,39,Dayside_Nadir,2018 DEC 02 18:29:37,OBSERVATION_COMMENT
-1,-1,-1,-1,1,40,Dayside_Nadir,2018 DEC 02 20:27:33, 
-1,-1,-1,-1,1,41,Dayside_Nadir,2018 DEC 02 20:27:33, 
-1,-1,-1,-1,1,42,Dayside_Nadir,2018 DEC 02 20:27:33, 
1,1,1033,1033,1,45,Dayside_Nadir,2018 DEC 02 22:25:29,OBSERVATION_COMMENT
1,1,1090,1090,1,48,Dayside_Nadir,2018 DEC 03 00:23:29,OBSERVATION_COMMENT
-1,-1,-1,-1,1,49,Dayside_Nadir,2018 DEC 03 02:21:31, 
-1,-1,-1,-1,1,50,Dayside_Nadir,2018 DEC 03 02:21:31, 
-1,-1,-1,-1,1,51,Dayside_Nadir,2018 DEC 03 02:21:31, 
1,1,1029,1029,1,52,Dayside_Nadir,2018 DEC 03 04:09:33,OBSERVATION_COMMENT
-1,-1,-1,-1,1,53,Dayside_Nadir,2018 DEC 03 06:17:31, 
-1,-1,-1,-1,1,54,Dayside_Nadir,2018 DEC 03 06:17:31, 
-1,-1,-1,-1,1,55,Dayside_Nadir,2018 DEC 03 06:17:31, 
1,1,1090,1090,1,58,Dayside_Nadir,2018 DEC 03 08:15:29,OBSERVATION_COMMENT
-1,-1,-1,-1,1,59,Dayside_Nadir,2018 DEC 03 10:13:25, 
-1,-1,-1,-1,1,60,Dayside_Nadir,2018 DEC 03 10:13:25, 
-1,-1,-1,-1,1,61,Dayside_Nadir,2018 DEC 03 10:13:25, 
1,1,1779,1779,1,64,Dayside_Nadir,2018 DEC 03 12:11:23,OBSERVATION_COMMENT
-1,-1,-1,-1,1,65,Dayside_Nadir,2018 DEC 03 14:09:25, 
-1,-1,-1,-1,1,66,Dayside_Nadir,2018 DEC 03 16:07:27, 
1,1,1860,1860,1,69,Dayside_Nadir,2018 DEC 03 18:05:27,OBSERVATION_COMMENT
-1,-1,-1,-1,1,70,Dayside_Nadir,2018 DEC 03 20:03:25, 
-1,-1,-1,-1,1,71,Dayside_Nadir,2018 DEC 03 20:03:25, 
-1,-1,-1,-1,1,72,Dayside_Nadir,2018 DEC 03 20:03:25, 
1,1,1107,1107,1,75,Dayside_Nadir,2018 DEC 03 22:01:19,OBSERVATION_COMMENT
-1,-1,-1,-1,1,76,Dayside_Nadir,2018 DEC 03 23:59:17, 
-1,-1,-1,-1,1,77,Dayside_Nadir,2018 DEC 03 23:59:17, 
-1,-1,-1,-1,1,78,Dayside_Nadir,2018 DEC 03 23:59:17, 
1,1,1837,1837,1,79,Dayside_Nadir,2018 DEC 04 01:47:19,OBSERVATION_COMMENT
1,1,1033,1033,1,82,Dayside_Nadir,2018 DEC 04 03:55:21,OBSERVATION_COMMENT
-1,-1,-1,-1,1,83,Dayside_Nadir,2018 DEC 04 05:53:23, 
-1,-1,-1,-1,1,84,Dayside_Nadir,2018 DEC 04 05:53:23, 
-1,-1,-1,-1,1,85,Dayside_Nadir,2018 DEC 04 05:53:23, 
1,1,2639,2639,1,86,Dayside_Nadir,2018 DEC 04 07:41:21,OBSERVATION_COMMENT
1,1,1107,1107,1,89,Dayside_Nadir,2018 DEC 04 09:49:17,OBSERVATION_COMMENT
1,1,1033,1033,1,92,Dayside_Nadir,2018 DEC 04 11:47:13,OBSERVATION_COMMENT
-1,-1,-1,-1,1,93,Dayside_Nadir,2018 DEC 04 13:45:15, 
-1,-1,-1,-1,1,94,Dayside_Nadir,2018 DEC 04 13:45:15, 
-1,-1,-1,-1,1,95,Dayside_Nadir,2018 DEC 04 13:45:15, 
1,1,1090,1090,1,96,Dayside_Nadir,2018 DEC 04 15:33:15,OBSERVATION_COMMENT
-1,-1,-1,-1,1,97,Dayside_Nadir,2018 DEC 04 17:41:17, 
-1,-1,-1,-1,1,98,Dayside_Nadir,2018 DEC 04 17:41:17, 
-1,-1,-1,-1,1,99,Dayside_Nadir,2018 DEC 04 17:41:17, 
1,1,1029,1029,1,100,Dayside_Nadir,2018 DEC 04 19:29:17,OBSERVATION_COMMENT
1,1,1090,1090,1,103,Dayside_Nadir,2018 DEC 04 21:37:13,OBSERVATION_COMMENT
-1,-1,-1,-1,1,104,Dayside_Nadir,2018 DEC 04 23:35:09, 
-1,-1,-1,-1,1,105,Dayside_Nadir,2018 DEC 04 23:35:09, 
-1,-1,-1,-1,1,106,Dayside_Nadir,2018 DEC 04 23:35:09, 
1,1,1779,1779,1,107,Dayside_Nadir,2018 DEC 05 01:23:09,OBSERVATION_COMMENT
1,1,1860,1860,1,110,Dayside_Nadir,2018 DEC 05 03:31:11,OBSERVATION_COMMENT
-1,-1,-1,-1,1,111,Dayside_Nadir,2018 DEC 05 05:29:13, 
-1,-1,-1,-1,1,112,Dayside_Nadir,2018 DEC 05 05:29:13, 
-1,-1,-1,-1,1,113,Dayside_Nadir,2018 DEC 05 05:29:13, 
1,1,1107,1107,1,116,Dayside_Nadir,2018 DEC 05 07:27:13,OBSERVATION_COMMENT
-1,-1,-1,-1,1,117,Dayside_Nadir,2018 DEC 05 09:25:09, 
-1,-1,-1,-1,1,118,Dayside_Nadir,2018 DEC 05 09:25:09, 
-1,-1,-1,-1,1,119,Dayside_Nadir,2018 DEC 05 09:25:09, 
1,1,1837,1837,1,122,Dayside_Nadir,2018 DEC 05 11:23:07,OBSERVATION_COMMENT
-1,-1,-1,-1,1,123,Dayside_Nadir,2018 DEC 05 13:21:05, 
-1,-1,-1,-1,1,124,Dayside_Nadir,2018 DEC 05 13:21:05, 
-1,-1,-1,-1,1,125,Dayside_Nadir,2018 DEC 05 13:21:05, 
1,1,1033,1033,1,126,Dayside_Nadir,2018 DEC 05 15:09:07,OBSERVATION_COMMENT
-1,-1,-1,-1,1,127,Dayside_Nadir,2018 DEC 05 17:17:09, 
-1,-1,-1,-1,1,128,Dayside_Nadir,2018 DEC 05 17:17:09, 
-1,-1,-1,-1,1,129,Dayside_Nadir,2018 DEC 05 17:17:09, 
1,1,2639,2639,1,130,Dayside_Nadir,2018 DEC 05 19:05:09,OBSERVATION_COMMENT
1,1,1107,1107,1,133,Dayside_Nadir,2018 DEC 05 21:13:07,OBSERVATION_COMMENT
-1,-1,-1,-1,1,134,Dayside_Nadir,2018 DEC 05 23:11:01, 
-1,-1,-1,-1,1,135,Dayside_Nadir,2018 DEC 05 23:11:01, 
-1,-1,-1,-1,1,136,Dayside_Nadir,2018 DEC 05 23:11:01, 
1,1,1033,1033,1,137,Dayside_Nadir,2018 DEC 06 00:58:59,OBSERVATION_COMMENT
1,1,1090,1090,1,140,Dayside_Nadir,2018 DEC 06 03:07:01,OBSERVATION_COMMENT
1,1,1029,1029,1,143,Dayside_Nadir,2018 DEC 06 05:05:03,OBSERVATION_COMMENT
-1,-1,-1,-1,1,144,Dayside_Nadir,2018 DEC 06 07:03:05, 
-1,-1,-1,-1,1,145,Dayside_Nadir,2018 DEC 06 07:03:05, 
-1,-1,-1,-1,1,146,Dayside_Nadir,2018 DEC 06 07:03:05, 
1,1,1090,1090,1,147,Dayside_Nadir,2018 DEC 06 08:51:03,OBSERVATION_COMMENT
1,1,1779,1779,1,150,Dayside_Nadir,2018 DEC 06 10:58:59,OBSERVATION_COMMENT
-1,-1,-1,-1,1,151,Dayside_Nadir,2018 DEC 06 12:56:57, 
-1,-1,-1,-1,1,152,Dayside_Nadir,2018 DEC 06 12:56:57, 
-1,-1,-1,-1,1,153,Dayside_Nadir,2018 DEC 06 12:56:57, 
1,1,1860,1860,1,154,Dayside_Nadir,2018 DEC 06 14:44:57,OBSERVATION_COMMENT
-1,-1,-1,-1,1,155,Dayside_Nadir,2018 DEC 06 16:52:59, 
-1,-1,-1,-1,1,156,Dayside_Nadir,2018 DEC 06 16:52:59, 
-1,-1,-1,-1,1,157,Dayside_Nadir,2018 DEC 06 16:52:59, 
1,1,1107,1107,1,158,Dayside_Nadir,2018 DEC 06 18:40:59,OBSERVATION_COMMENT
1,1,1837,1837,1,161,Dayside_Nadir,2018 DEC 06 20:48:59,OBSERVATION_COMMENT
1,1,1033,1033,1,164,Dayside_Nadir,2018 DEC 06 22:46:53,OBSERVATION_COMMENT
-1,-1,-1,-1,1,165,Dayside_Nadir,2018 DEC 07 00:44:49, 
-1,-1,-1,-1,1,166,Dayside_Nadir,2018 DEC 07 00:44:49, 
-1,-1,-1,-1,1,167,Dayside_Nadir,2018 DEC 07 00:44:49, 
1,1,2639,2639,1,170,Dayside_Nadir,2018 DEC 07 02:42:51,OBSERVATION_COMMENT
-1,-1,-1,-1,1,171,Dayside_Nadir,2018 DEC 07 04:40:53, 
-1,-1,-1,-1,1,172,Dayside_Nadir,2018 DEC 07 04:40:53, 
-1,-1,-1,-1,1,173,Dayside_Nadir,2018 DEC 07 04:40:53, 
1,1,1107,1107,1,174,Dayside_Nadir,2018 DEC 07 06:28:53,OBSERVATION_COMMENT
1,1,1033,1033,1,177,Dayside_Nadir,2018 DEC 07 08:36:53,OBSERVATION_COMMENT
-1,-1,-1,-1,1,178,Dayside_Nadir,2018 DEC 07 10:34:49, 
-1,-1,-1,-1,1,179,Dayside_Nadir,2018 DEC 07 10:34:49, 
-1,-1,-1,-1,1,180,Dayside_Nadir,2018 DEC 07 10:34:49, 
1,1,1090,1090,1,183,Dayside_Nadir,2018 DEC 07 12:32:45,OBSERVATION_COMMENT
1,1,1029,1029,1,186,Dayside_Nadir,2018 DEC 07 14:30:43,OBSERVATION_COMMENT
-1,-1,-1,-1,1,187,Dayside_Nadir,2018 DEC 07 16:28:45, 
-1,-1,-1,-1,1,188,Dayside_Nadir,2018 DEC 07 16:28:45, 
-1,-1,-1,-1,1,189,Dayside_Nadir,2018 DEC 07 16:28:45, 
1,1,1090,1090,1,190,Dayside_Nadir,2018 DEC 07 18:16:45,OBSERVATION_COMMENT
-1,-1,-1,-1,1,191,Dayside_Nadir,2018 DEC 07 20:24:45, 
