TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,1465,1465,0,2,Ingress,2018 DEC 01 15:56:13,OBSERVATION_COMMENT
1,1,1176,1176,0,8,Ingress,2018 DEC 01 19:52:09,OBSERVATION_COMMENT
1,1,1446,1446,0,14,Ingress,2018 DEC 01 23:48:08,OBSERVATION_COMMENT
1,1,1459,1458,0,21,Ingress,2018 DEC 02 05:42:09,OBSERVATION_COMMENT
1,1,1466,1466,0,27,Ingress,2018 DEC 02 09:38:05,OBSERVATION_COMMENT
1,1,1453,1452,0,37,Ingress,2018 DEC 02 17:30:14,OBSERVATION_COMMENT
1,1,1427,1427,0,43,Ingress,2018 DEC 02 21:26:09,OBSERVATION_COMMENT
1,1,1175,1175,0,46,Ingress,2018 DEC 02 23:24:09,OBSERVATION_COMMENT
1,1,1457,1456,0,56,Ingress,2018 DEC 03 07:16:11,OBSERVATION_COMMENT
1,1,3951,3951,0,62,Ingress,2018 DEC 03 11:12:08,OBSERVATION_COMMENT
1,1,1455,1454,0,67,Ingress,2018 DEC 03 17:06:17,OBSERVATION_COMMENT
1,1,1177,1177,0,73,Ingress,2018 DEC 03 21:02:13,OBSERVATION_COMMENT
1,1,1215,1215,0,80,Ingress,2018 DEC 04 02:56:14,OBSERVATION_COMMENT
1,1,254,254,0,87,Ingress,2018 DEC 04 08:50:11,OBSERVATION_COMMENT
1,1,3951,3951,0,90,Ingress,2018 DEC 04 10:48:09,OBSERVATION_COMMENT
1,1,1453,1452,0,101,Ingress,2018 DEC 04 20:38:15,OBSERVATION_COMMENT
1,1,3951,3951,0,108,Ingress,2018 DEC 05 02:32:12,OBSERVATION_COMMENT
1,1,1410,1410,0,114,Ingress,2018 DEC 05 06:28:13,OBSERVATION_COMMENT
1,1,1453,1452,0,120,Ingress,2018 DEC 05 10:24:08,OBSERVATION_COMMENT
1,1,3951,3951,0,131,Ingress,2018 DEC 05 20:14:14,OBSERVATION_COMMENT
1,1,1175,1175,0,138,Ingress,2018 DEC 06 02:08:07,OBSERVATION_COMMENT
1,1,3951,3951,0,141,Ingress,2018 DEC 06 04:06:08,OBSERVATION_COMMENT
1,1,1453,1452,0,148,Ingress,2018 DEC 06 10:00:04,OBSERVATION_COMMENT
1,1,1459,1458,0,159,Ingress,2018 DEC 06 19:50:06,OBSERVATION_COMMENT
1,1,1177,1177,0,162,Ingress,2018 DEC 06 21:48:02,OBSERVATION_COMMENT
1,1,1465,1465,0,168,Ingress,2018 DEC 07 01:43:57,OBSERVATION_COMMENT
1,1,1176,1176,0,175,Ingress,2018 DEC 07 07:37:55,OBSERVATION_COMMENT
1,1,1446,1446,0,181,Ingress,2018 DEC 07 11:33:49,OBSERVATION_COMMENT
1,1,1459,1458,0,184,Ingress,2018 DEC 07 13:31:47,OBSERVATION_COMMENT
1,1,1466,1466,0,194,Ingress,2018 DEC 07 21:23:48,OBSERVATION_COMMENT
1,1,1453,1452,0,200,Ingress,2018 DEC 08 01:19:39,OBSERVATION_COMMENT
1,1,1427,1427,0,203,Ingress,2018 DEC 08 03:17:38,OBSERVATION_COMMENT
1,1,1175,1175,0,221,Ingress,2018 DEC 08 19:01:27,OBSERVATION_COMMENT
1,1,1457,1456,0,227,Ingress,2018 DEC 08 22:57:20,OBSERVATION_COMMENT
1,1,3951,3951,0,232,Ingress,2018 DEC 09 04:51:12,OBSERVATION_COMMENT
1,1,1455,1454,0,238,Ingress,2018 DEC 09 08:47:07,OBSERVATION_COMMENT
1,1,1177,1177,0,245,Ingress,2018 DEC 09 14:40:54,OBSERVATION_COMMENT
1,1,1215,1215,0,255,Ingress,2018 DEC 09 22:32:48,OBSERVATION_COMMENT
1,1,254,254,0,258,Ingress,2018 DEC 10 00:30:41,OBSERVATION_COMMENT
1,1,3951,3951,0,264,Ingress,2018 DEC 10 04:26:36,OBSERVATION_COMMENT
1,1,1453,1452,0,274,Ingress,2018 DEC 10 12:18:22,OBSERVATION_COMMENT
1,1,3951,3951,0,280,Ingress,2018 DEC 10 16:14:14,OBSERVATION_COMMENT
1,1,1410,1410,0,286,Ingress,2018 DEC 10 20:10:13,OBSERVATION_COMMENT
1,1,1453,1452,0,292,Ingress,2018 DEC 11 00:06:02,OBSERVATION_COMMENT
1,1,3951,3951,0,298,Ingress,2018 DEC 11 04:01:53,OBSERVATION_COMMENT
1,1,1175,1175,0,303,Ingress,2018 DEC 11 09:55:43,OBSERVATION_COMMENT
1,1,3951,3951,0,309,Ingress,2018 DEC 11 13:51:32,OBSERVATION_COMMENT
1,1,1453,1452,0,319,Ingress,2018 DEC 11 21:43:22,OBSERVATION_COMMENT
1,1,1459,1458,0,325,Ingress,2018 DEC 12 01:39:07,OBSERVATION_COMMENT
1,1,1177,1177,0,328,Ingress,2018 DEC 12 03:37:03,OBSERVATION_COMMENT
1,1,1465,1465,0,338,Ingress,2018 DEC 12 11:28:47,OBSERVATION_COMMENT
1,1,1176,1176,0,344,Ingress,2018 DEC 12 15:24:36,OBSERVATION_COMMENT
1,1,1446,1446,0,351,Ingress,2018 DEC 12 21:18:28,OBSERVATION_COMMENT
1,1,1459,1458,0,357,Ingress,2018 DEC 13 01:14:14,OBSERVATION_COMMENT
1,1,1466,1466,0,364,Ingress,2018 DEC 13 07:08:01,OBSERVATION_COMMENT
1,1,1453,1452,0,371,Ingress,2018 DEC 13 13:01:45,OBSERVATION_COMMENT
1,1,1427,1427,0,374,Ingress,2018 DEC 13 14:59:38,OBSERVATION_COMMENT
1,1,1175,1175,0,384,Ingress,2018 DEC 13 22:51:25,OBSERVATION_COMMENT
1,1,1457,1456,0,390,Ingress,2018 DEC 14 02:47:08,OBSERVATION_COMMENT
1,1,3951,3951,0,396,Ingress,2018 DEC 14 06:43:00,OBSERVATION_COMMENT
1,1,1455,1454,0,402,Ingress,2018 DEC 14 10:38:51,OBSERVATION_COMMENT
1,1,1177,1177,0,408,Ingress,2018 DEC 14 14:34:37,OBSERVATION_COMMENT
1,1,1215,1215,0,416,Ingress,2018 DEC 14 22:26:21,OBSERVATION_COMMENT
1,1,254,254,0,419,Ingress,2018 DEC 15 00:24:14,OBSERVATION_COMMENT
1,1,3951,3951,0,426,Ingress,2018 DEC 15 06:17:54,OBSERVATION_COMMENT
1,1,1453,1452,0,432,Ingress,2018 DEC 15 10:13:46,OBSERVATION_COMMENT
1,1,3951,3951,0,439,Ingress,2018 DEC 15 16:07:25,OBSERVATION_COMMENT
1,1,1410,1410,0,446,Ingress,2018 DEC 15 22:01:14,OBSERVATION_COMMENT
1,1,1453,1452,0,453,Ingress,2018 DEC 16 03:54:50,OBSERVATION_COMMENT
1,1,3951,3951,0,459,Ingress,2018 DEC 16 07:50:42,OBSERVATION_COMMENT
1,1,1175,1175,0,462,Ingress,2018 DEC 16 09:48:37,OBSERVATION_COMMENT
1,1,3951,3951,0,469,Ingress,2018 DEC 16 15:42:14,OBSERVATION_COMMENT
1,1,1453,1452,0,475,Ingress,2018 DEC 16 19:38:03,OBSERVATION_COMMENT
1,1,1459,1458,0,481,Ingress,2018 DEC 16 23:33:56,OBSERVATION_COMMENT
1,1,1177,1177,0,488,Ingress,2018 DEC 17 05:27:31,OBSERVATION_COMMENT
