TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,1469,1469,0,2,ingress,2019 MAY 18 17:43:35,SO ON
1,1,1176,1176,0,4,ingress,2019 MAY 18 21:39:23,SO ON
1,1,1446,1446,0,6,ingress,2019 MAY 19 01:35:21,SO ON
1,1,1459,1458,0,8,ingress,2019 MAY 19 05:31:08,SO ON
1,1,3954,3954,0,10,ingress,2019 MAY 19 09:26:55,SO ON
1,1,1453,1452,0,12,ingress,2019 MAY 19 13:22:47,SO ON
1,1,1427,1427,0,16,ingress,2019 MAY 19 21:14:17,SO ON
1,1,1175,1175,0,17,ingress,2019 MAY 19 23:12:12,SO ON
1,1,1457,1456,0,19,ingress,2019 MAY 20 03:08:09,SO ON
1,1,3951,3951,0,22,ingress,2019 MAY 20 09:01:43,SO ON
1,1,1459,1458,0,23,ingress,2019 MAY 20 10:59:40,SO ON
1,1,1467,1467,0,25,ingress,2019 MAY 20 14:55:29,SO ON
1,1,1453,1452,0,28,ingress,2019 MAY 20 20:49:05,SO ON
1,1,1215,1215,0,30,ingress,2019 MAY 21 00:44:57,SO ON
1,1,1175,1175,0,31,ingress,2019 MAY 21 02:42:54,SO ON
1,1,1176,1176,0,34,ingress,2019 MAY 21 08:36:27,SO ON
1,1,1446,1446,0,36,ingress,2019 MAY 21 12:32:20,SO ON
1,1,1453,1452,0,37,ingress,2019 MAY 21 14:30:15,SO ON
1,1,3951,3951,0,40,ingress,2019 MAY 21 20:23:49,SO ON
1,1,1453,1452,0,42,ingress,2019 MAY 22 00:19:37,SO ON
1,1,1427,1427,0,46,ingress,2019 MAY 22 08:11:10,SO ON
1,1,3951,3951,0,47,ingress,2019 MAY 22 10:09:05,SO ON
1,1,1215,1215,0,49,ingress,2019 MAY 22 14:04:57,SO ON
1,1,1453,1452,0,52,ingress,2019 MAY 22 19:58:31,SO ON
1,1,3951,3951,0,53,ingress,2019 MAY 22 21:56:22,SO ON
1,1,1453,1452,0,57,ingress,2019 MAY 23 05:48:03,SO ON
1,1,1455,1454,0,59,ingress,2019 MAY 23 09:43:41,SO ON
1,1,1177,1177,0,61,ingress,2019 MAY 23 13:39:33,SO ON
1,1,1469,1469,0,63,ingress,2019 MAY 23 17:35:17,SO ON
1,1,1176,1176,0,65,ingress,2019 MAY 23 21:31:00,SO ON
1,1,1446,1446,0,67,ingress,2019 MAY 24 01:26:49,SO ON
1,1,1459,1458,0,69,ingress,2019 MAY 24 05:22:40,SO ON
1,1,3954,3954,0,71,ingress,2019 MAY 24 09:18:19,SO ON
1,1,1453,1452,0,75,ingress,2019 MAY 24 17:09:55,SO ON
1,1,1427,1427,0,77,ingress,2019 MAY 24 21:05:37,SO ON
1,1,1175,1175,0,78,ingress,2019 MAY 24 23:03:28,SO ON
1,1,1457,1456,0,82,ingress,2019 MAY 25 06:55:06,SO ON
1,1,3951,3951,0,84,ingress,2019 MAY 25 10:50:45,SO ON
1,1,1459,1458,0,88,ingress,2019 MAY 25 18:42:20,SO ON
1,1,1467,1467,0,90,ingress,2019 MAY 25 22:38:01,SO ON
1,1,1453,1452,0,95,ingress,2019 MAY 26 08:27:30,SO ON
1,1,3954,3954,0,98,ingress,2019 MAY 26 14:21:09,SO ON
1,1,254,254,0,99,ingress,2019 MAY 26 16:19:02,SO ON
1,1,3951,3951,0,101,ingress,2019 MAY 26 20:14:43,SO ON
1,1,3954,3954,0,104,ingress,2019 MAY 27 02:08:19,SO ON
1,1,1459,1458,0,106,ingress,2019 MAY 27 06:04:10,SO ON
1,1,1453,1452,0,111,ingress,2019 MAY 27 15:53:31,SO ON
1,1,1453,1452,0,113,ingress,2019 MAY 27 19:49:13,SO ON
1,1,3951,3951,0,117,ingress,2019 MAY 28 03:40:43,SO ON
1,1,239,239,0,129,ingress,2019 MAY 29 03:15:08,SO ON
1,1,3951,3951,0,131,ingress,2019 MAY 29 07:10:59,SO ON
1,1,1457,1456,0,135,ingress,2019 MAY 29 15:02:26,SO ON
1,1,1453,1452,0,137,ingress,2019 MAY 29 18:58:11,SO ON
1,1,1455,1454,0,141,ingress,2019 MAY 30 02:49:35,SO ON
0,1,93,93,1,147,ingress,2019 MAY 30 14:36:50,LNO ON
1,1,1176,1176,0,153,ingress,2019 MAY 31 02:24:00,SO ON
1,1,1453,1452,0,159,ingress,2019 MAY 31 14:11:16,SO ON
1,1,1459,1458,0,161,ingress,2019 MAY 31 18:07:05,SO ON
1,1,3954,3954,0,165,ingress,2019 JUN 01 01:58:27,SO ON
1,1,1410,1410,0,167,ingress,2019 JUN 01 05:54:17,SO ON
1,1,1453,1452,0,173,ingress,2019 JUN 01 17:41:30,SO ON
1,1,1427,1427,0,175,ingress,2019 JUN 01 21:37:12,SO ON
1,1,1215,1215,0,179,ingress,2019 JUN 02 05:28:41,SO ON
1,1,1175,1175,0,181,ingress,2019 JUN 02 09:24:30,SO ON
1,1,1453,1452,0,183,ingress,2019 JUN 02 13:20:07,SO ON
1,1,1453,1452,0,187,ingress,2019 JUN 02 21:11:40,SO ON
1,1,3951,3951,0,189,ingress,2019 JUN 03 01:07:19,SO ON
1,1,3954,3954,0,193,ingress,2019 JUN 03 08:58:54,SO ON
1,1,1459,1458,0,195,ingress,2019 JUN 03 12:54:32,SO ON
1,1,1455,1454,0,197,ingress,2019 JUN 03 16:50:20,SO ON
1,1,1467,1467,0,199,ingress,2019 JUN 03 20:46:05,SO ON
1,1,1177,1177,0,201,ingress,2019 JUN 04 00:41:44,SO ON
1,1,1453,1452,0,203,ingress,2019 JUN 04 04:37:29,SO ON
1,1,1215,1215,0,205,ingress,2019 JUN 04 08:33:20,SO ON
1,1,3954,3954,0,207,ingress,2019 JUN 04 12:28:59,SO ON
1,1,254,254,0,211,ingress,2019 JUN 04 20:20:30,SO ON
1,1,1176,1176,0,213,ingress,2019 JUN 05 00:16:09,SO ON
1,1,1446,1446,0,217,ingress,2019 JUN 05 08:07:41,SO ON
1,1,3954,3954,0,219,ingress,2019 JUN 05 12:03:24,SO ON
1,1,3951,3951,0,227,ingress,2019 JUN 06 03:46:16,SO ON
1,1,1410,1410,0,229,ingress,2019 JUN 06 07:42:04,SO ON
1,1,1453,1452,0,231,ingress,2019 JUN 06 11:37:51,SO ON
1,1,1453,1452,0,233,ingress,2019 JUN 06 15:33:27,SO ON
1,1,1427,1427,0,235,ingress,2019 JUN 06 19:29:17,SO ON
1,1,3951,3951,0,237,ingress,2019 JUN 06 23:25:00,SO ON
1,1,1215,1215,0,241,ingress,2019 JUN 07 07:16:27,SO ON
1,1,1175,1175,0,245,ingress,2019 JUN 07 15:07:53,SO ON
1,1,1453,1452,0,247,ingress,2019 JUN 07 19:03:43,SO ON
1,1,3951,3951,0,251,ingress,2019 JUN 08 02:55:05,SO ON
1,1,1457,1456,0,253,ingress,2019 JUN 08 06:50:52,SO ON
1,1,1453,1452,0,259,ingress,2019 JUN 08 18:38:05,SO ON
0,1,93,93,1,267,ingress,2019 JUN 09 10:21:07,LNO ON
1,1,1410,1410,0,289,ingress,2019 JUN 11 05:34:06,SO ON
1,1,1215,1215,0,297,ingress,2019 JUN 11 21:17:10,SO ON
1,1,1175,1175,0,301,ingress,2019 JUN 12 05:08:31,SO ON
1,1,1453,1452,0,303,ingress,2019 JUN 12 09:04:19,SO ON
1,1,1457,1456,0,307,ingress,2019 JUN 12 16:55:44,SO ON
1,1,3954,3954,0,313,ingress,2019 JUN 13 04:42:58,SO ON
1,1,1455,1454,0,317,ingress,2019 JUN 13 12:34:34,SO ON
1,1,1453,1452,0,323,ingress,2019 JUN 14 00:21:47,SO ON
1,1,1175,1175,0,329,ingress,2019 JUN 14 12:09:00,SO ON
1,1,3951,3951,0,337,ingress,2019 JUN 15 03:51:56,SO ON
