TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,2153,2153,0,2,ingress,2019 NOV 30 17:16:47,SO ON
1,1,929,929,0,4,ingress,2019 NOV 30 21:12:41,SO ON
1,1,2153,2153,0,7,ingress,2019 DEC 01 03:06:35,SO ON
1,1,755,755,0,15,ingress,2019 DEC 01 18:50:05,SO ON
1,1,2153,2153,0,19,ingress,2019 DEC 02 02:41:58,SO ON
1,1,761,761,0,21,ingress,2019 DEC 02 06:37:45,SO ON
1,1,2159,2159,0,23,ingress,2019 DEC 02 10:33:44,SO ON
1,1,2747,2747,0,29,ingress,2019 DEC 02 22:21:28,SO ON
1,1,1763,1763,0,32,ingress,2019 DEC 03 04:15:21,SO ON
1,1,2183,2183,0,34,ingress,2019 DEC 03 08:11:10,SO ON
1,1,41,41,0,42,ingress,2019 DEC 03 23:54:53,SO ON
1,1,1763,1763,0,44,ingress,2019 DEC 04 03:50:51,SO ON
1,1,773,773,0,46,ingress,2019 DEC 04 07:46:38,SO ON
1,1,2159,2159,0,48,ingress,2019 DEC 04 11:42:39,SO ON
1,1,785,785,0,54,ingress,2019 DEC 04 23:30:25,SO ON
1,1,1193,1193,0,56,ingress,2019 DEC 05 03:26:24,SO ON
3,1,31,31,0,58,ingress,2019 DEC 05 07:22:12,SO ON
1,1,2069,2069,0,66,ingress,2019 DEC 05 23:05:58,SO ON
1,1,2183,2183,0,69,ingress,2019 DEC 06 04:59:56,SO ON
1,1,2165,2165,0,71,ingress,2019 DEC 06 08:55:45,SO ON
1,1,749,749,0,73,ingress,2019 DEC 06 12:51:48,SO ON
1,1,1193,1193,0,74,ingress,2019 DEC 06 14:49:49,SO ON
1,1,779,779,0,76,ingress,2019 DEC 06 18:45:41,SO ON
1,1,2177,2177,0,79,ingress,2019 DEC 07 00:39:37,SO ON
1,1,749,749,0,83,ingress,2019 DEC 07 08:31:26,SO ON
1,1,773,773,0,88,ingress,2019 DEC 07 18:21:26,SO ON
1,1,2171,2171,0,90,ingress,2019 DEC 07 22:17:20,SO ON
1,1,1295,1295,0,91,ingress,2019 DEC 08 00:15:20,SO ON
1,1,1193,1193,0,94,ingress,2019 DEC 08 06:09:19,SO ON
1,1,2735,2735,0,96,ingress,2019 DEC 08 10:05:10,SO ON
1,1,56,56,1,99,ingress,2019 DEC 08 15:59:17,LNO ON
1,1,2735,2735,0,100,ingress,2019 DEC 08 17:57:14,SO ON
1,1,2159,2159,0,102,ingress,2019 DEC 08 21:53:07,SO ON
1,1,1691,1691,0,104,ingress,2019 DEC 09 01:49:08,SO ON
1,1,1295,1295,0,107,ingress,2019 DEC 09 07:43:04,SO ON
1,1,2183,2183,0,108,ingress,2019 DEC 09 09:40:59,SO ON
1,1,1193,1193,0,110,ingress,2019 DEC 09 13:37:04,SO ON
1,1,2735,2735,0,112,ingress,2019 DEC 09 17:33:07,SO ON
1,1,755,755,0,113,ingress,2019 DEC 09 19:31:04,SO ON
1,1,755,755,0,115,ingress,2019 DEC 09 23:26:59,SO ON
1,1,767,767,0,117,ingress,2019 DEC 10 03:23:03,SO ON
1,1,929,929,0,118,ingress,2019 DEC 10 05:21:03,SO ON
1,1,929,929,0,120,ingress,2019 DEC 10 09:16:55,SO ON
