TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
0,1,1324,1324,1,1,dayside,2019 NOV 30 16:11:40,LNO ON
0,1,872,872,1,2,dayside,2019 NOV 30 18:09:33,LNO ON
-1,-1,-1,-1,-1,3,dayside,2019 NOV 30 20:07:30,LNO OFF
0,1,1893,1893,1,4,dayside,2019 NOV 30 22:05:29,LNO ON
-1,-1,-1,-1,-1,5,dayside,2019 DEC 01 00:03:27,LNO OFF
0,1,3558,3558,1,6,dayside,2019 DEC 01 02:01:24,LNO ON
-1,-1,-1,-1,-1,7,dayside,2019 DEC 01 03:59:18,LNO OFF
0,1,3558,3558,1,8,dayside,2019 DEC 01 05:57:11,LNO ON
-1,-1,-1,-1,-1,9,dayside,2019 DEC 01 07:55:07,LNO OFF
0,1,2022,2022,1,10,dayside,2019 DEC 01 09:53:06,LNO ON
0,1,1532,1532,1,11,dayside,2019 DEC 01 11:51:05,LNO ON
-1,-1,-1,-1,-1,12,dayside,2019 DEC 01 13:49:04,LNO OFF
-1,-1,-1,-1,-1,13,dayside,2019 DEC 01 15:46:59,LNO OFF
0,1,1324,1324,1,14,dayside,2019 DEC 01 17:44:51,LNO ON
-1,-1,-1,-1,-1,15,dayside,2019 DEC 01 19:42:47,LNO OFF
0,1,1644,1644,1,16,limb,2019 DEC 01 21:40:45,LNO ON
-1,-1,-1,-1,-1,17,dayside,2019 DEC 01 23:38:44,LNO OFF
0,1,1028,1028,1,18,limb,2019 DEC 02 01:36:42,LNO ON
-1,-1,-1,-1,-1,19,dayside,2019 DEC 02 03:34:37,LNO OFF
-1,-1,-1,-1,-1,20,dayside,2019 DEC 02 05:32:31,LNO OFF
0,1,1316,1316,1,21,dayside,2019 DEC 02 07:30:25,LNO ON
-1,-1,-1,-1,-1,22,dayside,2019 DEC 02 09:28:23,LNO OFF
0,1,1340,1340,1,23,dayside,2019 DEC 02 11:26:23,LNO ON
-1,-1,-1,-1,-1,24,dayside,2019 DEC 02 13:24:23,LNO OFF
