TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,1781,1781,0,2,egress,2020 JUL 11 18:18:16,SO ON
1,1,821,821,0,4,egress,2020 JUL 11 22:14:02,SO ON
1,1,1193,1193,0,7,egress,2020 JUL 12 04:07:38,SO ON
1,1,767,767,0,8,egress,2020 JUL 12 06:05:26,SO ON
1,1,2693,2693,0,10,egress,2020 JUL 12 10:01:13,SO ON
1,1,1709,1709,0,12,egress,2020 JUL 12 13:56:58,SO ON
1,1,821,821,0,14,egress,2020 JUL 12 17:52:38,SO ON
1,1,2153,2153,0,15,egress,2020 JUL 12 19:50:29,SO ON
1,1,821,821,0,18,egress,2020 JUL 13 01:44:08,SO ON
1,1,2105,2105,0,21,egress,2020 JUL 13 07:37:34,SO ON
1,1,1691,1691,0,23,egress,2020 JUL 13 11:33:21,SO ON
1,1,2693,2693,0,26,egress,2020 JUL 13 17:26:50,SO ON
1,1,1193,1193,0,28,egress,2020 JUL 13 21:22:30,SO ON
1,1,755,755,0,32,egress,2020 JUL 14 05:13:54,SO ON
1,1,2723,2723,0,33,egress,2020 JUL 14 07:11:41,SO ON
1,1,755,755,0,35,egress,2020 JUL 14 11:07:25,SO ON
1,1,1781,1781,0,38,egress,2020 JUL 14 17:00:54,SO ON
1,1,2729,2729,0,39,egress,2020 JUL 14 18:58:42,SO ON
1,1,755,755,0,41,egress,2020 JUL 14 22:54:22,SO ON
1,1,1709,1709,0,45,egress,2020 JUL 15 06:45:38,SO ON
1,1,809,809,0,47,egress,2020 JUL 15 10:41:17,SO ON
1,1,1775,1775,0,48,egress,2020 JUL 15 12:39:08,SO ON
1,1,1709,1709,0,52,egress,2020 JUL 15 20:30:19,SO ON
1,1,755,755,0,55,egress,2020 JUL 16 02:23:48,SO ON
1,1,821,821,0,58,egress,2020 JUL 16 08:17:06,SO ON
1,1,3101,3101,0,59,egress,2020 JUL 16 10:14:55,SO ON
1,1,755,755,0,61,egress,2020 JUL 16 14:10:32,SO ON
1,1,929,929,0,64,egress,2020 JUL 16 20:03:49,SO ON
1,1,1103,1103,0,65,egress,2020 JUL 16 22:01:34,SO ON
1,1,3110,3110,0,69,egress,2020 JUL 17 05:52:42,SO ON
1,1,2069,2069,0,71,egress,2020 JUL 17 09:48:09,SO ON
1,1,755,755,0,72,egress,2020 JUL 17 11:45:56,SO ON
1,1,1193,1193,0,75,egress,2020 JUL 17 17:39:09,SO ON
1,1,2705,2705,0,77,egress,2020 JUL 17 21:34:34,SO ON
1,1,1511,1511,0,81,egress,2020 JUL 18 05:25:31,SO ON
1,1,755,755,0,82,egress,2020 JUL 18 07:23:10,SO ON
1,1,749,749,0,84,egress,2020 JUL 18 11:18:31,SO ON
1,1,755,755,0,89,egress,2020 JUL 18 21:06:46,SO ON
1,1,2153,2153,0,91,egress,2020 JUL 19 01:02:00,SO ON
1,1,1691,1691,0,93,egress,2020 JUL 19 04:57:18,SO ON
1,1,1781,1781,0,95,egress,2020 JUL 19 08:52:22,SO ON
1,1,821,821,0,97,egress,2020 JUL 19 12:47:21,SO ON
1,1,2735,2735,0,98,egress,2020 JUL 19 14:44:48,SO ON
1,1,2165,2165,0,305,egress,2020 AUG 05 12:43:56,SO ON
1,1,929,929,0,307,egress,2020 AUG 05 16:40:25,SO ON
1,1,755,755,0,308,egress,2020 AUG 05 18:38:37,SO ON
1,1,755,755,0,311,egress,2020 AUG 06 00:33:32,SO ON
1,1,2147,2147,0,313,egress,2020 AUG 06 04:29:44,SO ON
1,1,2735,2735,0,315,egress,2020 AUG 06 08:26:03,SO ON
1,1,1889,1889,0,316,egress,2020 AUG 06 10:24:15,SO ON
1,1,1763,1763,0,318,egress,2020 AUG 06 14:20:32,SO ON
1,1,749,749,0,320,egress,2020 AUG 06 18:16:36,SO ON
1,1,749,749,0,321,egress,2020 AUG 06 20:14:42,SO ON
1,1,2183,2183,0,324,egress,2020 AUG 07 02:09:09,SO ON
1,1,2141,2141,0,326,egress,2020 AUG 07 06:05:06,SO ON
1,1,2705,2705,0,327,egress,2020 AUG 07 08:03:12,SO ON
1,1,2645,2645,0,329,egress,2020 AUG 07 11:59:25,SO ON
1,1,34,34,0,332,egress,2020 AUG 07 17:53:28,SO ON
1,1,821,821,0,334,egress,2020 AUG 07 21:49:34,SO ON
1,1,2069,2069,0,337,egress,2020 AUG 08 03:43:46,SO ON
1,1,1691,1691,0,339,egress,2020 AUG 08 07:39:43,SO ON
1,1,1781,1781,0,341,egress,2020 AUG 08 11:35:52,SO ON
