TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
0,1,944,944,1,1,dayside,2022 OCT 01 16:33:16,LNO ON
-1,-1,-1,-1,-1,2,dayside,2022 OCT 01 18:30:56,LNO OFF
-1,-1,-1,-1,-1,3,dayside,2022 OCT 01 20:28:36,LNO OFF
0,1,872,872,1,4,dayside,2022 OCT 01 22:26:25,LNO ON
-1,-1,-1,-1,-1,5,dayside,2022 OCT 02 00:24:15,LNO OFF
-1,-1,-1,-1,-1,6,dayside,2022 OCT 02 02:22:00,LNO OFF
-1,-1,-1,-1,-1,7,dayside,2022 OCT 02 04:19:38,LNO OFF
0,1,3548,3548,1,8,dayside,2022 OCT 02 06:17:12,LNO ON
-1,-1,-1,-1,-1,9,dayside,2022 OCT 02 08:14:51,LNO OFF
-1,-1,-1,-1,-1,10,dayside,2022 OCT 02 10:12:36,LNO OFF
-1,-1,-1,-1,-1,11,dayside,2022 OCT 02 12:10:19,LNO OFF
-1,-1,-1,-1,-1,12,dayside,2022 OCT 02 14:07:58,ALL OFF
0,1,3782,3782,1,13,dayside,2022 OCT 02 16:05:32,LNO ON
-1,-1,-1,-1,-1,14,dayside,2022 OCT 02 18:03:02,LNO OFF
-1,-1,-1,-1,-1,15,dayside,2022 OCT 02 20:00:30,LNO OFF
0,1,944,944,1,16,dayside,2022 OCT 02 21:58:06,LNO ON
-1,-1,-1,-1,-1,17,dayside,2022 OCT 02 23:55:46,LNO OFF
-1,-1,-1,-1,-1,18,dayside,2022 OCT 03 01:53:20,LNO OFF
-1,-1,-1,-1,-1,19,dayside,2022 OCT 03 03:50:44,LNO OFF
0,1,2370,2370,1,20,dayside,2022 OCT 03 05:48:01,LNO ON
-1,-1,-1,-1,-1,21,dayside,2022 OCT 03 07:45:19,LNO OFF
-1,-1,-1,-1,-1,22,dayside,2022 OCT 03 09:42:45,LNO OFF
-1,-1,-1,-1,-1,23,dayside,2022 OCT 03 11:40:09,LNO OFF
0,1,3548,3548,1,24,dayside,2022 OCT 03 13:37:26,LNO ON
-1,-1,-1,-1,-1,25,dayside,2022 OCT 03 15:34:35,LNO OFF
-1,-1,-1,-1,-1,26,dayside,2022 OCT 03 17:31:38,LNO OFF
-1,-1,-1,-1,-1,27,dayside,2022 OCT 03 19:28:38,LNO OFF
-1,-1,-1,-1,-1,28,dayside,2022 OCT 03 21:25:39,LNO OFF
0,1,3558,3558,1,29,dayside,2022 OCT 03 23:22:43,LNO ON
-1,-1,-1,-1,-1,30,dayside,2022 OCT 04 01:19:42,LNO OFF
-1,-1,-1,-1,-1,31,dayside,2022 OCT 04 03:16:31,LNO OFF
-1,-1,-1,-1,-1,32,dayside,2022 OCT 04 05:13:09,LNO OFF
0,1,944,944,1,33,dayside,2022 OCT 04 07:09:47,LNO ON
-1,-1,-1,-1,-1,34,dayside,2022 OCT 04 09:06:29,LNO OFF
-1,-1,-1,-1,-1,35,dayside,2022 OCT 04 11:03:09,LNO OFF
-1,-1,-1,-1,-1,36,dayside,2022 OCT 04 12:59:39,LNO OFF
0,1,2370,2370,1,37,dayside,2022 OCT 04 14:56:05,LNO ON
-1,-1,-1,-1,-1,38,dayside,2022 OCT 04 16:52:36,LNO OFF
-1,-1,-1,-1,-1,39,dayside,2022 OCT 04 18:49:13,LNO OFF
-1,-1,-1,-1,-1,40,dayside,2022 OCT 04 20:45:51,LNO OFF
0,1,3548,3548,1,41,dayside,2022 OCT 04 22:42:22,LNO ON
-1,-1,-1,-1,-1,42,dayside,2022 OCT 05 00:38:52,LNO OFF
-1,-1,-1,-1,-1,43,dayside,2022 OCT 05 02:35:31,LNO OFF
-1,-1,-1,-1,-1,44,dayside,2022 OCT 05 04:32:18,LNO OFF
0,1,3118,3118,1,45,dayside,2022 OCT 05 06:29:14,LNO ON
-1,-1,-1,-1,-1,46,dayside,2022 OCT 05 08:26:13,LNO OFF
-1,-1,-1,-1,-1,47,dayside,2022 OCT 05 10:23:09,LNO OFF
-1,-1,-1,-1,-1,48,dayside,2022 OCT 05 12:19:58,LNO OFF
