TC20 UVIS COP ROW,CHANNEL,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
-1,-1,1,dayside,2024 JUN 08 15:24:44,UVIS OFF
85,UVIS Nadir,2,dayside,2024 JUN 08 17:22:35,UVIS ON
85,UVIS Nadir,3,dayside,2024 JUN 08 19:20:30,UVIS ON
-1,-1,4,dayside,2024 JUN 08 21:18:26,UVIS OFF
85,UVIS Nadir,5,dayside,2024 JUN 08 23:16:23,UVIS ON
85,UVIS Nadir,6,dayside,2024 JUN 09 01:14:17,UVIS ON
85,UVIS Nadir,7,dayside,2024 JUN 09 03:12:08,UVIS ON
-1,-1,8,dayside,2024 JUN 09 05:09:59,UVIS OFF
-1,-1,9,dayside,2024 JUN 09 07:07:53,UVIS OFF
-1,-1,10,dayside,2024 JUN 09 09:05:48,UVIS OFF
-1,-1,11,dayside,2024 JUN 09 11:03:44,UVIS OFF
-1,-1,12,dayside,2024 JUN 09 13:01:38,UVIS OFF
85,UVIS Nadir,13,dayside,2024 JUN 09 14:59:31,UVIS ON
-1,-1,14,dayside,2024 JUN 09 16:57:22,UVIS OFF
-1,-1,15,dayside,2024 JUN 09 18:55:15,UVIS OFF
-1,-1,16,dayside,2024 JUN 09 20:53:11,UVIS OFF
-1,-1,17,dayside,2024 JUN 09 22:51:08,UVIS OFF
-1,-1,18,dayside,2024 JUN 10 00:49:03,UVIS OFF
-1,-1,19,dayside,2024 JUN 10 02:46:56,UVIS OFF
85,UVIS Nadir,20,dayside,2024 JUN 10 04:44:46,UVIS ON
-1,-1,21,dayside,2024 JUN 10 06:42:39,UVIS OFF
-1,-1,22,dayside,2024 JUN 10 08:40:35,UVIS OFF
-1,-1,23,dayside,2024 JUN 10 10:38:31,UVIS OFF
-1,-1,24,dayside,2024 JUN 10 12:36:27,UVIS OFF
-1,-1,25,dayside,2024 JUN 10 14:34:20,UVIS OFF
-1,-1,26,dayside,2024 JUN 10 16:32:12,UVIS OFF
-1,-1,27,dayside,2024 JUN 10 18:30:04,UVIS OFF
-1,-1,28,dayside,2024 JUN 10 20:27:59,UVIS OFF
-1,-1,29,dayside,2024 JUN 10 22:25:56,UVIS OFF
-1,-1,30,dayside,2024 JUN 11 00:23:52,UVIS OFF
-1,-1,31,dayside,2024 JUN 11 02:21:46,UVIS OFF
89,UVIS Nadir,32,dayside,2024 JUN 11 04:19:37,UVIS ON
81,UVIS Nadir,33,dayside,2024 JUN 11 06:17:28,UVIS ON
-1,-1,34,dayside,2024 JUN 11 08:15:23,UVIS OFF
-1,-1,35,dayside,2024 JUN 11 10:13:20,UVIS OFF
-1,-1,36,dayside,2024 JUN 11 12:11:15,UVIS OFF
-1,-1,37,dayside,2024 JUN 11 14:09:10,UVIS OFF
-1,-1,38,dayside,2024 JUN 11 16:07:02,UVIS OFF
-1,-1,39,dayside,2024 JUN 11 18:04:54,UVIS OFF
-1,-1,40,dayside,2024 JUN 11 20:02:48,UVIS OFF
85,UVIS Nadir,41,dayside,2024 JUN 11 22:00:45,UVIS ON
-1,-1,42,dayside,2024 JUN 11 23:58:42,UVIS OFF
-1,-1,43,dayside,2024 JUN 12 01:56:37,UVIS OFF
85,UVIS Nadir,44,dayside,2024 JUN 12 03:54:29,UVIS ON
-1,-1,45,dayside,2024 JUN 12 05:52:20,UVIS OFF
-1,-1,46,dayside,2024 JUN 12 07:50:14,UVIS OFF
-1,-1,47,dayside,2024 JUN 12 09:48:10,UVIS OFF
-1,-1,48,dayside,2024 JUN 12 11:46:07,UVIS OFF
-1,-1,49,dayside,2024 JUN 12 13:44:02,UVIS OFF
-1,-1,50,dayside,2024 JUN 12 15:41:56,UVIS OFF
-1,-1,51,dayside,2024 JUN 12 17:39:47,UVIS OFF
-1,-1,52,dayside,2024 JUN 12 19:37:40,UVIS OFF
-1,-1,53,dayside,2024 JUN 12 21:35:36,UVIS OFF
-1,-1,54,dayside,2024 JUN 12 23:33:33,UVIS OFF
-1,-1,55,dayside,2024 JUN 13 01:31:30,UVIS OFF
-1,-1,56,dayside,2024 JUN 13 03:29:24,UVIS OFF
-1,-1,57,dayside,2024 JUN 13 05:27:14,UVIS OFF
-1,-1,58,dayside,2024 JUN 13 07:25:07,UVIS OFF
-1,-1,59,dayside,2024 JUN 13 09:23:02,UVIS OFF
-1,-1,60,dayside,2024 JUN 13 11:20:59,UVIS OFF
-1,-1,61,dayside,2024 JUN 13 13:18:55,UVIS OFF
-1,-1,62,dayside,2024 JUN 13 15:16:50,UVIS OFF
-1,-1,63,dayside,2024 JUN 13 17:14:42,UVIS OFF
-1,-1,64,dayside,2024 JUN 13 19:12:35,UVIS OFF
-1,-1,65,dayside,2024 JUN 13 21:10:30,UVIS OFF
-1,-1,66,dayside,2024 JUN 13 23:08:27,UVIS OFF
-1,-1,67,dayside,2024 JUN 14 01:06:24,UVIS OFF
-1,-1,68,dayside,2024 JUN 14 03:04:19,UVIS OFF
-1,-1,69,dayside,2024 JUN 14 05:02:11,UVIS OFF
-1,-1,70,dayside,2024 JUN 14 07:00:03,UVIS OFF
-1,-1,71,dayside,2024 JUN 14 08:57:58,UVIS OFF
-1,-1,72,dayside,2024 JUN 14 10:55:54,UVIS OFF
-1,-1,73,dayside,2024 JUN 14 12:53:51,UVIS OFF
-1,-1,74,dayside,2024 JUN 14 14:51:46,UVIS OFF
-1,-1,75,dayside,2024 JUN 14 16:49:39,UVIS OFF
-1,-1,76,dayside,2024 JUN 14 18:47:31,UVIS OFF
-1,-1,77,dayside,2024 JUN 14 20:45:25,UVIS OFF
-1,-1,78,dayside,2024 JUN 14 22:43:21,UVIS OFF
-1,-1,79,dayside,2024 JUN 15 00:41:19,UVIS OFF
-1,-1,80,dayside,2024 JUN 15 02:39:15,UVIS OFF
-1,-1,81,dayside,2024 JUN 15 04:37:09,UVIS OFF
-1,-1,82,dayside,2024 JUN 15 06:35:00,UVIS OFF
-1,-1,83,dayside,2024 JUN 15 08:32:54,UVIS OFF
-1,-1,84,dayside,2024 JUN 15 10:30:50,UVIS OFF
-1,-1,85,dayside,2024 JUN 15 12:28:47,UVIS OFF
-1,-1,86,dayside,2024 JUN 15 14:26:43,UVIS OFF
-1,-1,87,dayside,2024 JUN 15 16:24:38,UVIS OFF
-1,-1,88,dayside,2024 JUN 15 18:22:30,UVIS OFF
-1,-1,89,dayside,2024 JUN 15 20:20:23,UVIS OFF
-1,-1,90,dayside,2024 JUN 15 22:18:19,UVIS OFF
-1,-1,91,dayside,2024 JUN 16 00:16:16,UVIS OFF
-1,-1,92,dayside,2024 JUN 16 02:14:14,UVIS OFF
-1,-1,93,dayside,2024 JUN 16 04:12:09,UVIS OFF
-1,-1,94,dayside,2024 JUN 16 06:10:00,UVIS OFF
-1,-1,95,dayside,2024 JUN 16 08:07:53,UVIS OFF
-1,-1,96,dayside,2024 JUN 16 10:05:48,UVIS OFF
-1,-1,97,dayside,2024 JUN 16 12:03:45,UVIS OFF
-1,-1,98,dayside,2024 JUN 16 14:01:41,UVIS OFF
-1,-1,99,dayside,2024 JUN 16 15:59:36,UVIS OFF
-1,-1,100,dayside,2024 JUN 16 17:57:29,UVIS OFF
-1,-1,101,dayside,2024 JUN 16 19:55:21,UVIS OFF
-1,-1,102,dayside,2024 JUN 16 21:53:16,UVIS OFF
-1,-1,103,dayside,2024 JUN 16 23:51:13,UVIS OFF
-1,-1,104,dayside,2024 JUN 17 01:49:11,UVIS OFF
-1,-1,105,dayside,2024 JUN 17 03:47:07,UVIS OFF
-1,-1,106,dayside,2024 JUN 17 05:45:00,UVIS OFF
-1,-1,107,dayside,2024 JUN 17 07:42:51,UVIS OFF
-1,-1,108,dayside,2024 JUN 17 09:40:46,UVIS OFF
-1,-1,109,dayside,2024 JUN 17 11:38:42,UVIS OFF
-1,-1,110,dayside,2024 JUN 17 13:36:40,UVIS OFF
-1,-1,111,dayside,2024 JUN 17 15:34:36,UVIS OFF
-1,-1,112,dayside,2024 JUN 17 17:32:30,UVIS OFF
-1,-1,113,dayside,2024 JUN 17 19:30:22,UVIS OFF
-1,-1,114,dayside,2024 JUN 17 21:28:16,UVIS OFF
-1,-1,115,dayside,2024 JUN 17 23:26:12,UVIS OFF
-1,-1,116,dayside,2024 JUN 18 01:24:10,UVIS OFF
-1,-1,117,dayside,2024 JUN 18 03:22:07,UVIS OFF
-1,-1,118,dayside,2024 JUN 18 05:20:01,UVIS OFF
-1,-1,119,dayside,2024 JUN 18 07:17:53,UVIS OFF
-1,-1,120,dayside,2024 JUN 18 09:15:46,UVIS OFF
-1,-1,121,dayside,2024 JUN 18 11:13:41,UVIS OFF
-1,-1,122,dayside,2024 JUN 18 13:11:38,UVIS OFF
-1,-1,123,dayside,2024 JUN 18 15:09:35,UVIS OFF
-1,-1,124,dayside,2024 JUN 18 17:07:30,UVIS OFF
-1,-1,125,dayside,2024 JUN 18 19:05:23,UVIS OFF
-1,-1,126,dayside,2024 JUN 18 21:03:15,UVIS OFF
-1,-1,127,dayside,2024 JUN 18 23:01:10,UVIS OFF
-1,-1,128,dayside,2024 JUN 19 00:59:08,UVIS OFF
-1,-1,129,dayside,2024 JUN 19 02:57:05,UVIS OFF
-1,-1,130,dayside,2024 JUN 19 04:55:01,UVIS OFF
-1,-1,131,dayside,2024 JUN 19 06:52:54,UVIS OFF
-1,-1,132,dayside,2024 JUN 19 08:50:46,UVIS OFF
-1,-1,133,dayside,2024 JUN 19 10:48:41,UVIS OFF
-1,-1,134,dayside,2024 JUN 19 12:46:38,UVIS OFF
-1,-1,135,dayside,2024 JUN 19 14:44:35,UVIS OFF
-1,-1,136,dayside,2024 JUN 19 16:42:31,UVIS OFF
-1,-1,137,dayside,2024 JUN 19 18:40:25,UVIS OFF
-1,-1,138,dayside,2024 JUN 19 20:38:17,UVIS OFF
-1,-1,139,dayside,2024 JUN 19 22:36:11,UVIS OFF
-1,-1,140,dayside,2024 JUN 20 00:34:08,UVIS OFF
-1,-1,141,dayside,2024 JUN 20 02:32:06,UVIS OFF
-1,-1,142,dayside,2024 JUN 20 04:30:03,UVIS OFF
-1,-1,143,dayside,2024 JUN 20 06:27:57,UVIS OFF
-1,-1,144,dayside,2024 JUN 20 08:25:49,UVIS OFF
-1,-1,145,dayside,2024 JUN 20 10:23:42,UVIS OFF
-1,-1,146,dayside,2024 JUN 20 12:21:38,UVIS OFF
-1,-1,147,dayside,2024 JUN 20 14:19:35,UVIS OFF
-1,-1,148,dayside,2024 JUN 20 16:17:32,UVIS OFF
-1,-1,149,dayside,2024 JUN 20 18:15:27,UVIS OFF
-1,-1,150,dayside,2024 JUN 20 20:13:20,UVIS OFF
-1,-1,151,dayside,2024 JUN 20 22:11:13,UVIS OFF
-1,-1,152,dayside,2024 JUN 21 00:09:09,UVIS OFF
-1,-1,153,dayside,2024 JUN 21 02:07:06,UVIS OFF
-1,-1,154,dayside,2024 JUN 21 04:05:04,UVIS OFF
-1,-1,155,dayside,2024 JUN 21 06:03:00,UVIS OFF
-1,-1,156,dayside,2024 JUN 21 08:00:53,UVIS OFF
-1,-1,157,dayside,2024 JUN 21 09:58:45,UVIS OFF
-1,-1,158,dayside,2024 JUN 21 11:56:40,UVIS OFF
-1,-1,159,dayside,2024 JUN 21 13:54:38,UVIS OFF
-1,-1,160,dayside,2024 JUN 21 15:52:35,UVIS OFF
-1,-1,161,dayside,2024 JUN 21 17:50:31,UVIS OFF
-1,-1,162,dayside,2024 JUN 21 19:48:25,UVIS OFF
-1,-1,163,dayside,2024 JUN 21 21:46:17,UVIS OFF
-1,-1,164,dayside,2024 JUN 21 23:44:12,UVIS OFF
