TC20 UVIS COP ROW,CHANNEL,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
-1,-1,2,egress,2024 JUN 08 17:22:35,UVIS OFF
-1,-1,4,egress,2024 JUN 08 21:18:26,UVIS OFF
364,2,7,egress,2024 JUN 09 03:12:08,UVIS ON
-1,-1,8,egress,2024 JUN 09 05:09:59,UVIS OFF
-1,-1,10,egress,2024 JUN 09 09:05:48,UVIS OFF
391,2,13,egress,2024 JUN 09 14:59:31,UVIS ON
364,2,15,egress,2024 JUN 09 18:55:15,UVIS ON
391,2,16,egress,2024 JUN 09 20:53:11,UVIS ON
-1,-1,19,egress,2024 JUN 10 02:46:56,UVIS OFF
391,2,21,egress,2024 JUN 10 06:42:39,UVIS ON
-1,-1,24,egress,2024 JUN 10 12:36:27,UVIS OFF
391,2,25,egress,2024 JUN 10 14:34:20,UVIS ON
-1,-1,27,egress,2024 JUN 10 18:30:04,UVIS OFF
-1,-1,29,egress,2024 JUN 10 22:25:56,UVIS OFF
-1,-1,30,egress,2024 JUN 11 00:23:52,UVIS OFF
-1,-1,32,egress,2024 JUN 11 04:19:37,UVIS OFF
-1,-1,34,egress,2024 JUN 11 08:15:23,UVIS OFF
-1,-1,35,egress,2024 JUN 11 10:13:20,UVIS OFF
-1,-1,37,egress,2024 JUN 11 14:09:10,UVIS OFF
-1,-1,39,egress,2024 JUN 11 18:04:54,UVIS OFF
-1,-1,42,egress,2024 JUN 11 23:58:42,UVIS OFF
-1,-1,43,egress,2024 JUN 12 01:56:37,UVIS OFF
-1,-1,45,egress,2024 JUN 12 05:52:20,UVIS OFF
-1,-1,47,egress,2024 JUN 12 09:48:10,UVIS OFF
-1,-1,49,egress,2024 JUN 12 13:44:02,UVIS OFF
-1,-1,50,egress,2024 JUN 12 15:41:56,UVIS OFF
-1,-1,52,egress,2024 JUN 12 19:37:40,UVIS OFF
-1,-1,54,egress,2024 JUN 12 23:33:33,UVIS OFF
-1,-1,55,egress,2024 JUN 13 01:31:30,UVIS OFF
-1,-1,57,egress,2024 JUN 13 05:27:14,UVIS OFF
-1,-1,59,egress,2024 JUN 13 09:23:02,UVIS OFF
-1,-1,60,egress,2024 JUN 13 11:20:59,UVIS OFF
-1,-1,62,egress,2024 JUN 13 15:16:50,UVIS OFF
-1,-1,65,egress,2024 JUN 13 21:10:30,UVIS OFF
-1,-1,67,egress,2024 JUN 14 01:06:24,UVIS OFF
-1,-1,68,egress,2024 JUN 14 03:04:19,UVIS OFF
-1,-1,72,egress,2024 JUN 14 10:55:54,UVIS OFF
-1,-1,74,egress,2024 JUN 14 14:51:46,UVIS OFF
-1,-1,76,egress,2024 JUN 14 18:47:31,UVIS OFF
-1,-1,78,egress,2024 JUN 14 22:43:21,UVIS OFF
-1,-1,81,egress,2024 JUN 15 04:37:09,UVIS OFF
-1,-1,84,egress,2024 JUN 15 10:30:50,UVIS OFF
-1,-1,89,egress,2024 JUN 15 20:20:23,UVIS OFF
-1,-1,92,egress,2024 JUN 16 02:14:14,UVIS OFF
-1,-1,93,egress,2024 JUN 16 04:12:09,UVIS OFF
-1,-1,95,egress,2024 JUN 16 08:07:53,UVIS OFF
-1,-1,98,egress,2024 JUN 16 14:01:41,UVIS OFF
-1,-1,101,egress,2024 JUN 16 19:55:21,UVIS OFF
-1,-1,102,egress,2024 JUN 16 21:53:16,UVIS OFF
-1,-1,104,egress,2024 JUN 17 01:49:11,UVIS OFF
-1,-1,110,egress,2024 JUN 17 13:36:40,UVIS OFF
-1,-1,113,egress,2024 JUN 17 19:30:22,UVIS OFF
-1,-1,117,egress,2024 JUN 18 03:22:07,UVIS OFF
-1,-1,123,egress,2024 JUN 18 15:09:35,UVIS OFF
-1,-1,125,egress,2024 JUN 18 19:05:23,UVIS OFF
-1,-1,127,egress,2024 JUN 18 23:01:10,UVIS OFF
-1,-1,129,egress,2024 JUN 19 02:57:05,UVIS OFF
-1,-1,138,egress,2024 JUN 19 20:38:17,UVIS OFF
-1,-1,140,egress,2024 JUN 20 00:34:08,UVIS OFF
-1,-1,142,egress,2024 JUN 20 04:30:03,UVIS OFF
-1,-1,150,egress,2024 JUN 20 20:13:20,UVIS OFF
-1,-1,152,egress,2024 JUN 21 00:09:09,UVIS OFF
-1,-1,154,egress,2024 JUN 21 04:05:04,UVIS OFF
-1,-1,156,egress,2024 JUN 21 08:00:53,UVIS OFF
-1,-1,164,egress,2024 JUN 21 23:44:12,UVIS OFF
-1,-1,166,egress,2024 JUN 22 03:40:07,UVIS OFF
-1,-1,168,egress,2024 JUN 22 07:35:58,UVIS OFF
-1,-1,178,egress,2024 JUN 23 03:15:12,UVIS OFF
-1,-1,180,egress,2024 JUN 23 07:11:05,UVIS OFF
-1,-1,182,egress,2024 JUN 23 11:06:51,UVIS OFF
-1,-1,184,egress,2024 JUN 23 15:02:44,UVIS OFF
-1,-1,196,egress,2024 JUN 24 14:37:50,UVIS OFF
-1,-1,198,egress,2024 JUN 24 18:33:45,UVIS OFF
-1,-1,200,egress,2024 JUN 24 22:29:33,UVIS OFF
-1,-1,207,egress,2024 JUN 25 12:15:01,UVIS OFF
-1,-1,209,egress,2024 JUN 25 16:10:56,UVIS OFF
-1,-1,212,egress,2024 JUN 25 22:04:42,UVIS OFF
-1,-1,214,egress,2024 JUN 26 02:00:31,UVIS OFF
-1,-1,222,egress,2024 JUN 26 17:44:02,UVIS OFF
-1,-1,225,egress,2024 JUN 26 23:37:46,UVIS OFF
-1,-1,228,egress,2024 JUN 27 05:31:37,UVIS OFF
-1,-1,234,egress,2024 JUN 27 17:19:11,UVIS OFF
-1,-1,237,egress,2024 JUN 27 23:12:57,UVIS OFF
