TC20 UVIS COP ROW,CHANNEL,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
-1,-1,2,ingress,2024 JUN 08 17:22:35,UVIS OFF
391,2,4,ingress,2024 JUN 08 21:18:26,UVIS ON
-1,-1,7,ingress,2024 JUN 09 03:12:08,UVIS OFF
364,2,8,ingress,2024 JUN 09 05:09:59,UVIS ON
-1,-1,10,ingress,2024 JUN 09 09:05:48,UVIS OFF
391,2,13,ingress,2024 JUN 09 14:59:31,UVIS ON
-1,-1,15,ingress,2024 JUN 09 18:55:15,UVIS OFF
364,2,16,ingress,2024 JUN 09 20:53:11,UVIS ON
-1,-1,19,ingress,2024 JUN 10 02:46:56,UVIS OFF
391,2,21,ingress,2024 JUN 10 06:42:39,UVIS ON
-1,-1,25,ingress,2024 JUN 10 14:34:20,UVIS OFF
391,2,27,ingress,2024 JUN 10 18:30:04,UVIS ON
-1,-1,29,ingress,2024 JUN 10 22:25:56,UVIS OFF
-1,-1,30,ingress,2024 JUN 11 00:23:52,UVIS OFF
-1,-1,32,ingress,2024 JUN 11 04:19:37,UVIS OFF
-1,-1,34,ingress,2024 JUN 11 08:15:23,UVIS OFF
-1,-1,35,ingress,2024 JUN 11 10:13:20,UVIS OFF
-1,-1,37,ingress,2024 JUN 11 14:09:10,UVIS OFF
-1,-1,39,ingress,2024 JUN 11 18:04:54,UVIS OFF
-1,-1,42,ingress,2024 JUN 11 23:58:42,UVIS OFF
-1,-1,43,ingress,2024 JUN 12 01:56:37,UVIS OFF
-1,-1,45,ingress,2024 JUN 12 05:52:20,UVIS OFF
-1,-1,47,ingress,2024 JUN 12 09:48:10,UVIS OFF
-1,-1,49,ingress,2024 JUN 12 13:44:02,UVIS OFF
-1,-1,50,ingress,2024 JUN 12 15:41:56,UVIS OFF
-1,-1,52,ingress,2024 JUN 12 19:37:40,UVIS OFF
-1,-1,54,ingress,2024 JUN 12 23:33:33,UVIS OFF
-1,-1,55,ingress,2024 JUN 13 01:31:30,UVIS OFF
-1,-1,57,ingress,2024 JUN 13 05:27:14,UVIS OFF
-1,-1,59,ingress,2024 JUN 13 09:23:02,UVIS OFF
-1,-1,60,ingress,2024 JUN 13 11:20:59,UVIS OFF
-1,-1,62,ingress,2024 JUN 13 15:16:50,UVIS OFF
-1,-1,65,ingress,2024 JUN 13 21:10:30,UVIS OFF
-1,-1,67,ingress,2024 JUN 14 01:06:24,UVIS OFF
-1,-1,68,ingress,2024 JUN 14 03:04:19,UVIS OFF
-1,-1,72,ingress,2024 JUN 14 10:55:54,UVIS OFF
-1,-1,74,ingress,2024 JUN 14 14:51:46,UVIS OFF
-1,-1,76,ingress,2024 JUN 14 18:47:31,UVIS OFF
-1,-1,78,ingress,2024 JUN 14 22:43:21,UVIS OFF
-1,-1,81,ingress,2024 JUN 15 04:37:09,UVIS OFF
-1,-1,84,ingress,2024 JUN 15 10:30:50,UVIS OFF
-1,-1,85,ingress,2024 JUN 15 12:28:47,UVIS OFF
-1,-1,89,ingress,2024 JUN 15 20:20:23,UVIS OFF
-1,-1,92,ingress,2024 JUN 16 02:14:14,UVIS OFF
-1,-1,93,ingress,2024 JUN 16 04:12:09,UVIS OFF
-1,-1,95,ingress,2024 JUN 16 08:07:53,UVIS OFF
-1,-1,101,ingress,2024 JUN 16 19:55:21,UVIS OFF
-1,-1,102,ingress,2024 JUN 16 21:53:16,UVIS OFF
-1,-1,104,ingress,2024 JUN 17 01:49:11,UVIS OFF
-1,-1,107,ingress,2024 JUN 17 07:42:51,UVIS OFF
-1,-1,109,ingress,2024 JUN 17 11:38:42,UVIS OFF
-1,-1,118,ingress,2024 JUN 18 05:20:01,UVIS OFF
-1,-1,120,ingress,2024 JUN 18 09:15:46,UVIS OFF
-1,-1,122,ingress,2024 JUN 18 13:11:38,UVIS OFF
-1,-1,130,ingress,2024 JUN 19 04:55:01,UVIS OFF
-1,-1,132,ingress,2024 JUN 19 08:50:46,UVIS OFF
-1,-1,134,ingress,2024 JUN 19 12:46:38,UVIS OFF
-1,-1,137,ingress,2024 JUN 19 18:40:25,UVIS OFF
-1,-1,143,ingress,2024 JUN 20 06:27:57,UVIS OFF
-1,-1,146,ingress,2024 JUN 20 12:21:38,UVIS OFF
-1,-1,149,ingress,2024 JUN 20 18:15:27,UVIS OFF
-1,-1,157,ingress,2024 JUN 21 09:58:45,UVIS OFF
-1,-1,159,ingress,2024 JUN 21 13:54:38,UVIS OFF
