TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,3210,3210,0,2,egress,2024 SEP 28 17:12:42,SO ON
1,1,3239,3239,0,4,egress,2024 SEP 28 21:08:51,SO ON
1,1,3215,3215,0,6,egress,2024 SEP 29 01:05:06,SO ON
1,1,3220,3220,0,8,egress,2024 SEP 29 05:01:10,SO ON
1,1,3214,3214,0,10,egress,2024 SEP 29 08:57:14,SO ON
1,1,3202,3202,0,16,egress,2024 SEP 29 20:45:34,SO ON
1,1,3241,3241,0,17,egress,2024 SEP 29 22:43:40,SO ON
1,1,3206,3206,0,20,egress,2024 SEP 30 04:37:47,SO ON
1,1,929,929,0,22,egress,2024 SEP 30 08:33:44,SO ON
1,1,3179,3179,0,27,egress,2024 SEP 30 18:23:53,SO ON
1,1,3179,3179,0,29,egress,2024 SEP 30 22:19:56,SO ON
1,1,3241,3241,0,32,egress,2024 OCT 01 04:14:01,SO ON
1,1,3237,3237,0,33,egress,2024 OCT 01 06:11:58,SO ON
1,1,3179,3179,0,35,egress,2024 OCT 01 10:07:57,SO ON
1,1,773,773,0,38,egress,2024 OCT 01 16:02:05,SO ON
1,1,3219,3219,0,42,egress,2024 OCT 01 23:54:01,SO ON
1,1,3220,3220,0,44,egress,2024 OCT 02 03:50:02,SO ON
1,1,3215,3215,0,47,egress,2024 OCT 02 09:43:53,SO ON
1,1,3241,3241,0,48,egress,2024 OCT 02 11:41:54,SO ON
1,1,3005,3005,0,54,egress,2024 OCT 02 23:29:51,SO ON
1,1,773,773,0,56,egress,2024 OCT 03 03:25:52,SO ON
1,1,3227,3227,0,57,egress,2024 OCT 03 05:23:50,SO ON
1,1,3182,3182,0,60,egress,2024 OCT 03 11:17:41,SO ON
1,1,3005,3005,0,63,egress,2024 OCT 03 17:11:43,SO ON
1,1,905,905,0,66,egress,2024 OCT 03 23:05:32,SO ON
1,1,3127,3127,0,69,egress,2024 OCT 04 04:59:31,SO ON
1,1,3205,3205,0,70,egress,2024 OCT 04 06:57:27,SO ON
1,1,3218,3218,0,73,egress,2024 OCT 04 12:51:20,SO ON
1,1,3179,3179,0,75,egress,2024 OCT 04 16:47:22,SO ON
