TC20 UVIS_COP_ROW,Egress solar occultation observation number,Orbit type,Observation Mode,Comments
-1,1,1,Egress Occultation,UVIS Switch OFF
391,2,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
391,3,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
391,4,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,5,1,Egress Occultation,UVIS Switch OFF
391,6,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,7,1,Egress Occultation,UVIS Switch OFF
391,8,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,9,1,Egress Occultation,UVIS Switch OFF
-1,10,1,Egress Occultation,UVIS Switch OFF
391,11,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
391,12,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,13,1,Egress Occultation,UVIS Switch OFF
-1,14,1,Egress Occultation,UVIS Switch OFF
391,15,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,16,1,Egress Occultation,UVIS Switch OFF
-1,17,1,Egress Occultation,UVIS Switch OFF
391,18,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,19,1,Egress Occultation,UVIS Switch OFF
-1,20,1,Egress Occultation,UVIS Switch OFF
391,21,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,22,1,Egress Occultation,UVIS Switch OFF
-1,23,1,Egress Occultation,UVIS Switch OFF
391,24,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,25,1,Egress Occultation,UVIS Switch OFF
-1,26,1,Egress Occultation,UVIS Switch OFF
391,27,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,28,1,Egress Occultation,UVIS Switch OFF
-1,29,1,Egress Occultation,UVIS Switch OFF
391,30,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,31,1,Egress Occultation,UVIS Switch OFF
-1,32,1,Egress Occultation,UVIS Switch OFF
391,33,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,34,1,Egress Occultation,UVIS Switch OFF
-1,35,1,Egress Occultation,UVIS Switch OFF
391,36,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,37,1,Egress Occultation,UVIS Switch OFF
-1,38,1,Egress Occultation,UVIS Switch OFF
391,39,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,40,1,Egress Occultation,UVIS Switch OFF
-1,41,1,Egress Occultation,UVIS Switch OFF
391,42,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,43,1,Egress Occultation,UVIS Switch OFF
-1,44,1,Egress Occultation,UVIS Switch OFF
391,45,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,46,1,Egress Occultation,UVIS Switch OFF
-1,47,1,Egress Occultation,UVIS Switch OFF
391,48,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,49,1,Egress Occultation,UVIS Switch OFF
-1,50,1,Egress Occultation,UVIS Switch OFF
391,51,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,52,1,Egress Occultation,UVIS Switch OFF
-1,53,1,Egress Occultation,UVIS Switch OFF
391,54,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,55,1,Egress Occultation,UVIS Switch OFF
-1,56,1,Egress Occultation,UVIS Switch OFF
391,57,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,58,1,Egress Occultation,UVIS Switch OFF
-1,59,1,Egress Occultation,UVIS Switch OFF
-1,60,1,Egress Occultation,UVIS Switch OFF
391,61,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,62,1,Egress Occultation,UVIS Switch OFF
-1,63,1,Egress Occultation,UVIS Switch OFF
391,64,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,65,1,Egress Occultation,UVIS Switch OFF
-1,66,1,Egress Occultation,UVIS Switch OFF
391,67,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,68,1,Egress Occultation,UVIS Switch OFF
-1,69,1,Egress Occultation,UVIS Switch OFF
391,70,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,71,1,Egress Occultation,UVIS Switch OFF
-1,72,1,Egress Occultation,UVIS Switch OFF
391,73,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,74,1,Egress Occultation,UVIS Switch OFF
-1,75,1,Egress Occultation,UVIS Switch OFF
391,76,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,77,1,Egress Occultation,UVIS Switch OFF
-1,78,1,Egress Occultation,UVIS Switch OFF
391,79,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,80,1,Egress Occultation,UVIS Switch OFF
-1,81,1,Egress Occultation,UVIS Switch OFF
391,82,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,83,1,Egress Occultation,UVIS Switch OFF
-1,84,1,Egress Occultation,UVIS Switch OFF
391,85,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,86,1,Egress Occultation,UVIS Switch OFF
-1,87,1,Egress Occultation,UVIS Switch OFF
391,88,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,89,1,Egress Occultation,UVIS Switch OFF
-1,90,1,Egress Occultation,UVIS Switch OFF
391,91,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,92,1,Egress Occultation,UVIS Switch OFF
-1,93,1,Egress Occultation,UVIS Switch OFF
391,94,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,95,1,Egress Occultation,UVIS Switch OFF
-1,96,1,Egress Occultation,UVIS Switch OFF
-1,97,1,Egress Occultation,UVIS Switch OFF
391,98,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,99,1,Egress Occultation,UVIS Switch OFF
-1,100,1,Egress Occultation,UVIS Switch OFF
391,101,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,102,1,Egress Occultation,UVIS Switch OFF
-1,103,1,Egress Occultation,UVIS Switch OFF
391,104,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,105,1,Egress Occultation,UVIS Switch OFF
-1,106,1,Egress Occultation,UVIS Switch OFF
-1,107,1,Egress Occultation,UVIS Switch OFF
391,108,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,109,1,Egress Occultation,UVIS Switch OFF
-1,110,1,Egress Occultation,UVIS Switch OFF
-1,111,1,Egress Occultation,UVIS Switch OFF
391,112,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,113,1,Egress Occultation,UVIS Switch OFF
-1,114,1,Egress Occultation,UVIS Switch OFF
-1,115,1,Egress Occultation,UVIS Switch OFF
391,116,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,117,1,Egress Occultation,UVIS Switch OFF
-1,118,1,Egress Occultation,UVIS Switch OFF
391,119,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,120,1,Egress Occultation,UVIS Switch OFF
-1,121,1,Egress Occultation,UVIS Switch OFF
-1,122,1,Egress Occultation,UVIS Switch OFF
391,123,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,124,1,Egress Occultation,UVIS Switch OFF
-1,125,1,Egress Occultation,UVIS Switch OFF
391,126,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,127,1,Egress Occultation,UVIS Switch OFF
-1,128,1,Egress Occultation,UVIS Switch OFF
391,129,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,130,1,Egress Occultation,UVIS Switch OFF
-1,131,1,Egress Occultation,UVIS Switch OFF
391,132,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,133,1,Egress Occultation,UVIS Switch OFF
-1,134,1,Egress Occultation,UVIS Switch OFF
-1,135,1,Egress Occultation,UVIS Switch OFF
391,136,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,137,1,Egress Occultation,UVIS Switch OFF
-1,138,1,Egress Occultation,UVIS Switch OFF
391,139,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,140,1,Egress Occultation,UVIS Switch OFF
391,141,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,142,1,Egress Occultation,UVIS Switch OFF
391,143,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,144,1,Egress Occultation,UVIS Switch OFF
-1,145,1,Egress Occultation,UVIS Switch OFF
391,146,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,147,1,Egress Occultation,UVIS Switch OFF
-1,148,1,Egress Occultation,UVIS Switch OFF
391,149,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,150,1,Egress Occultation,UVIS Switch OFF
-1,151,1,Egress Occultation,UVIS Switch OFF
391,152,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,153,1,Egress Occultation,UVIS Switch OFF
-1,154,1,Egress Occultation,UVIS Switch OFF
-1,155,1,Egress Occultation,UVIS Switch OFF
391,156,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,157,1,Egress Occultation,UVIS Switch OFF
-1,158,1,Egress Occultation,UVIS Switch OFF
391,159,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,160,1,Egress Occultation,UVIS Switch OFF
-1,161,1,Egress Occultation,UVIS Switch OFF
391,162,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,163,1,Egress Occultation,UVIS Switch OFF
391,164,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,165,1,Egress Occultation,UVIS Switch OFF
391,166,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,167,1,Egress Occultation,UVIS Switch OFF
-1,168,1,Egress Occultation,UVIS Switch OFF
391,169,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,170,1,Egress Occultation,UVIS Switch OFF
391,171,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,172,1,Egress Occultation,UVIS Switch OFF
-1,173,1,Egress Occultation,UVIS Switch OFF
391,174,1,Egress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
