TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,3241,3241,0,4,ingress,2025 FEB 15 20:49:28,SO ON
1,1,3244,3244,0,6,ingress,2025 FEB 16 00:45:24,SO ON
1,1,3215,3215,0,8,ingress,2025 FEB 16 04:41:13,SO ON
1,1,1889,1889,0,17,ingress,2025 FEB 16 22:22:28,SO ON
1,1,3228,3228,0,19,ingress,2025 FEB 17 02:18:25,SO ON
1,1,3202,3202,0,21,ingress,2025 FEB 17 06:14:10,SO ON
1,1,3214,3214,0,23,ingress,2025 FEB 17 10:10:01,SO ON
1,1,1511,1511,0,29,ingress,2025 FEB 17 21:57:30,SO ON
1,1,755,755,0,31,ingress,2025 FEB 18 01:53:27,SO ON
1,1,905,905,0,33,ingress,2025 FEB 18 05:49:15,SO ON
1,1,3185,3185,0,42,ingress,2025 FEB 18 23:30:30,SO ON
1,1,905,905,0,45,ingress,2025 FEB 19 05:24:21,SO ON
1,1,3152,3152,0,48,ingress,2025 FEB 19 11:18:03,SO ON
1,1,749,749,0,50,ingress,2025 FEB 19 15:13:57,SO ON
1,1,3204,3204,0,58,ingress,2025 FEB 20 06:57:18,SO ON
1,1,3179,3179,0,60,ingress,2025 FEB 20 10:53:07,SO ON
1,1,3220,3220,0,62,ingress,2025 FEB 20 14:49:03,SO ON
1,1,3227,3227,0,70,ingress,2025 FEB 21 06:32:24,SO ON
1,1,3218,3218,0,73,ingress,2025 FEB 21 12:26:08,SO ON
1,1,3220,3220,0,75,ingress,2025 FEB 21 16:22:02,SO ON
1,1,3234,3234,0,79,ingress,2025 FEB 22 00:13:38,SO ON
1,1,749,749,0,85,ingress,2025 FEB 22 12:01:13,SO ON
1,1,37,37,0,89,ingress,2025 FEB 22 19:52:55,SO ON
1,1,3179,3179,0,91,ingress,2025 FEB 22 23:48:42,SO ON
1,1,3241,3241,0,93,ingress,2025 FEB 23 03:44:39,SO ON
1,1,3239,3239,0,95,ingress,2025 FEB 23 07:40:29,SO ON
1,1,3179,3179,0,97,ingress,2025 FEB 23 11:36:16,SO ON
1,1,3206,3206,0,100,ingress,2025 FEB 23 17:30:08,SO ON
1,1,3221,3221,0,101,ingress,2025 FEB 23 19:28:00,SO ON
1,1,905,905,0,103,ingress,2025 FEB 23 23:23:47,SO ON
1,1,3219,3219,0,106,ingress,2025 FEB 24 05:17:42,SO ON
1,1,3227,3227,0,108,ingress,2025 FEB 24 09:13:28,SO ON
1,1,3234,3234,0,109,ingress,2025 FEB 24 11:11:20,SO ON
1,1,56,56,1,112,ingress,2025 FEB 24 17:05:14,LNO ON
1,1,3219,3219,0,114,ingress,2025 FEB 24 21:00:59,SO ON
1,1,34,34,0,115,ingress,2025 FEB 24 22:58:52,SO ON
1,1,3179,3179,0,118,ingress,2025 FEB 25 04:52:45,SO ON
1,1,1889,1889,0,120,ingress,2025 FEB 25 08:48:34,SO ON
1,1,3221,3221,0,121,ingress,2025 FEB 25 10:46:24,SO ON
1,1,3185,3185,0,124,ingress,2025 FEB 25 16:40:19,SO ON
1,1,3223,3223,0,126,ingress,2025 FEB 25 20:36:06,SO ON
1,1,3179,3179,0,129,ingress,2025 FEB 26 02:29:51,SO ON
1,1,3234,3234,0,130,ingress,2025 FEB 26 04:27:50,SO ON
1,1,3241,3241,0,132,ingress,2025 FEB 26 08:23:43,SO ON
1,1,42,42,0,134,ingress,2025 FEB 26 12:19:25,SO ON
1,1,3209,3209,0,136,ingress,2025 FEB 26 16:15:24,SO ON
1,1,3005,3005,0,137,ingress,2025 FEB 26 18:13:20,SO ON
1,1,3179,3179,0,139,ingress,2025 FEB 26 22:09:04,SO ON
1,1,3176,3176,0,141,ingress,2025 FEB 27 02:04:55,SO ON
1,1,3214,3214,0,142,ingress,2025 FEB 27 04:02:53,SO ON
1,1,3209,3209,0,144,ingress,2025 FEB 27 07:58:48,SO ON
1,1,1397,1397,0,146,ingress,2025 FEB 27 11:54:32,SO ON
1,1,3244,3244,0,147,ingress,2025 FEB 27 13:52:30,SO ON
1,1,3244,3244,0,150,ingress,2025 FEB 27 19:46:21,SO ON
1,1,3241,3241,0,152,ingress,2025 FEB 27 23:42:05,SO ON
1,1,3214,3214,0,154,ingress,2025 FEB 28 03:37:59,SO ON
1,1,1397,1397,0,155,ingress,2025 FEB 28 05:35:58,SO ON
1,1,3239,3239,0,157,ingress,2025 FEB 28 09:31:50,SO ON
1,1,3244,3244,0,159,ingress,2025 FEB 28 13:27:34,SO ON
1,1,3206,3206,0,162,ingress,2025 FEB 28 19:21:28,SO ON
1,1,905,905,0,163,ingress,2025 FEB 28 21:19:21,SO ON
1,1,3202,3202,0,165,ingress,2025 MAR 01 01:15:08,SO ON
3,1,31,31,0,167,ingress,2025 MAR 01 05:11:04,SO ON
1,1,3241,3241,0,168,ingress,2025 MAR 01 07:09:03,SO ON
1,1,3241,3241,0,170,ingress,2025 MAR 01 11:04:51,SO ON
1,1,3219,3219,0,174,ingress,2025 MAR 01 18:56:39,SO ON
1,1,3182,3182,0,175,ingress,2025 MAR 01 20:54:32,SO ON
1,1,755,755,0,177,ingress,2025 MAR 02 00:50:17,SO ON
1,1,3244,3244,0,180,ingress,2025 MAR 02 06:44:12,SO ON
1,1,3202,3202,0,182,ingress,2025 MAR 02 10:40:02,SO ON
1,1,3215,3215,0,183,ingress,2025 MAR 02 12:37:53,SO ON
1,1,1889,1889,0,186,ingress,2025 MAR 02 18:31:49,SO ON
1,1,3185,3185,0,188,ingress,2025 MAR 02 22:27:36,SO ON
1,1,3212,3212,0,191,ingress,2025 MAR 03 04:21:23,SO ON
1,1,3238,3238,0,192,ingress,2025 MAR 03 06:19:21,SO ON
1,1,3244,3244,0,194,ingress,2025 MAR 03 10:15:16,SO ON
1,1,3220,3220,0,197,ingress,2025 MAR 03 16:09:00,SO ON
1,1,3233,3233,0,198,ingress,2025 MAR 03 18:07:01,SO ON
1,1,755,755,0,200,ingress,2025 MAR 03 22:02:51,SO ON
1,1,41,41,0,203,ingress,2025 MAR 04 03:56:34,SO ON
1,1,3185,3185,0,204,ingress,2025 MAR 04 05:54:33,SO ON
1,1,3241,3241,0,206,ingress,2025 MAR 04 09:50:28,SO ON
1,1,3221,3221,0,209,ingress,2025 MAR 04 15:44:10,SO ON
1,1,1889,1889,0,211,ingress,2025 MAR 04 19:40:11,SO ON
1,1,3127,3127,0,212,ingress,2025 MAR 04 21:38:05,SO ON
1,1,3179,3179,0,215,ingress,2025 MAR 05 03:31:47,SO ON
1,1,41,41,0,217,ingress,2025 MAR 05 07:27:45,SO ON
1,1,3005,3005,0,219,ingress,2025 MAR 05 11:23:39,SO ON
1,1,1511,1511,0,221,ingress,2025 MAR 05 15:19:23,SO ON
1,1,3152,3152,0,224,ingress,2025 MAR 05 21:13:22,SO ON
1,1,3210,3210,0,226,ingress,2025 MAR 06 01:09:06,SO ON
1,1,3219,3219,0,227,ingress,2025 MAR 06 03:07:02,SO ON
1,1,3202,3202,0,230,ingress,2025 MAR 06 09:00:58,SO ON
1,1,3179,3179,0,232,ingress,2025 MAR 06 12:56:48,SO ON
1,1,3233,3233,0,233,ingress,2025 MAR 06 14:54:40,SO ON
1,1,3237,3237,0,236,ingress,2025 MAR 06 20:48:41,SO ON
1,1,34,34,0,238,ingress,2025 MAR 07 00:44:26,SO ON
1,1,3244,3244,0,240,ingress,2025 MAR 07 04:40:19,SO ON
