TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,3179,3179,0,11,merged,2025 NOV 23 10:24:32,SO ON
1,1,3237,3237,0,12,merged,2025 NOV 23 12:22:22,SO ON
1,1,3179,3179,0,13,merged,2025 NOV 23 14:20:11,SO ON
1,1,37,37,0,15,ingress,2025 NOV 23 18:16:01,SO ON
1,1,3244,3244,0,17,ingress,2025 NOV 23 22:11:38,SO ON
1,1,3179,3179,0,18,ingress,2025 NOV 24 00:09:26,SO ON
1,1,1889,1889,0,20,ingress,2025 NOV 24 04:05:16,SO ON
1,1,3215,3215,0,22,ingress,2025 NOV 24 08:00:58,SO ON
1,1,3237,3237,0,23,ingress,2025 NOV 24 09:58:49,SO ON
1,1,37,37,0,25,ingress,2025 NOV 24 13:54:30,SO ON
1,1,3205,3205,0,27,ingress,2025 NOV 24 17:50:20,SO ON
1,1,3220,3220,0,28,ingress,2025 NOV 24 19:48:15,SO ON
1,1,3152,3152,0,33,ingress,2025 NOV 25 05:37:36,SO ON
1,1,41,41,0,35,ingress,2025 NOV 25 09:33:18,SO ON
1,1,929,929,0,36,ingress,2025 NOV 25 11:31:11,SO ON
1,1,3214,3214,0,38,ingress,2025 NOV 25 15:26:54,SO ON
1,1,3210,3210,0,40,ingress,2025 NOV 25 19:22:46,SO ON
1,1,3237,3237,0,43,ingress,2025 NOV 26 01:16:16,SO ON
1,1,3219,3219,0,44,ingress,2025 NOV 26 03:14:12,SO ON
1,1,41,41,0,46,ingress,2025 NOV 26 07:10:02,SO ON
1,1,3218,3218,0,48,ingress,2025 NOV 26 11:05:46,SO ON
1,1,749,749,0,50,ingress,2025 NOV 26 15:01:30,SO ON
1,1,905,905,0,51,ingress,2025 NOV 26 16:59:25,SO ON
1,1,3219,3219,0,54,ingress,2025 NOV 26 22:53:07,SO ON
1,1,3228,3228,0,56,ingress,2025 NOV 27 02:48:52,SO ON
1,1,3220,3220,0,57,ingress,2025 NOV 27 04:46:48,SO ON
1,1,3179,3179,0,59,ingress,2025 NOV 27 08:42:35,SO ON
1,1,3239,3239,0,61,ingress,2025 NOV 27 12:38:19,SO ON
1,1,3233,3233,0,62,ingress,2025 NOV 27 14:36:12,SO ON
1,1,3221,3221,0,64,ingress,2025 NOV 27 18:32:02,SO ON
1,1,3202,3202,0,70,ingress,2025 NOV 28 06:19:25,SO ON
1,1,3152,3152,0,72,ingress,2025 NOV 28 10:15:11,SO ON
1,1,3205,3205,0,73,ingress,2025 NOV 28 12:13:04,SO ON
1,1,3222,3222,0,76,ingress,2025 NOV 28 18:06:46,SO ON
1,1,3182,3182,0,81,ingress,2025 NOV 29 03:56:14,SO ON
1,1,3239,3239,0,82,ingress,2025 NOV 29 05:54:11,SO ON
1,1,3205,3205,0,84,ingress,2025 NOV 29 09:49:58,SO ON
1,1,56,56,1,88,ingress,2025 NOV 29 17:41:30,LNO ON
1,1,3227,3227,0,90,ingress,2025 NOV 29 21:37:24,SO ON
1,1,3233,3233,0,93,ingress,2025 NOV 30 03:30:59,SO ON
1,1,3210,3210,0,94,ingress,2025 NOV 30 05:28:56,SO ON
1,1,3215,3215,0,96,ingress,2025 NOV 30 09:24:47,SO ON
1,1,3185,3185,0,99,ingress,2025 NOV 30 15:18:26,SO ON
1,1,3206,3206,0,101,ingress,2025 NOV 30 19:14:16,SO ON
1,1,3185,3185,0,102,ingress,2025 NOV 30 21:12:13,SO ON
1,1,3204,3204,0,105,ingress,2025 DEC 01 03:05:49,SO ON
1,1,905,905,0,110,ingress,2025 DEC 01 12:55:22,SO ON
1,1,3241,3241,0,112,ingress,2025 DEC 01 16:51:08,SO ON
1,1,3223,3223,0,113,ingress,2025 DEC 01 18:49:04,SO ON
1,1,755,755,0,115,ingress,2025 DEC 01 22:44:58,SO ON
1,1,749,749,0,117,ingress,2025 DEC 02 02:40:39,SO ON
1,1,749,749,0,118,ingress,2025 DEC 02 04:38:34,SO ON
1,1,3227,3227,0,123,ingress,2025 DEC 02 14:28:08,SO ON
1,1,3241,3241,0,126,ingress,2025 DEC 02 20:21:53,SO ON
1,1,3214,3214,0,127,ingress,2025 DEC 02 22:19:49,SO ON
1,1,3214,3214,0,129,ingress,2025 DEC 03 02:15:33,SO ON
1,1,3214,3214,0,131,ingress,2025 DEC 03 06:11:22,SO ON
1,1,3221,3221,0,133,ingress,2025 DEC 03 10:07:15,SO ON
1,1,773,773,0,134,ingress,2025 DEC 03 12:05:08,SO ON
1,1,3185,3185,0,137,ingress,2025 DEC 03 17:58:48,SO ON
1,1,3179,3179,0,140,ingress,2025 DEC 03 23:52:38,SO ON
1,1,1511,1511,0,143,ingress,2025 DEC 04 05:46:16,SO ON
1,1,3219,3219,0,144,ingress,2025 DEC 04 07:44:13,SO ON
1,1,3214,3214,0,146,ingress,2025 DEC 04 11:40:04,SO ON
1,1,3234,3234,0,149,ingress,2025 DEC 04 17:33:43,SO ON
1,1,755,755,0,150,ingress,2025 DEC 04 19:31:39,SO ON
1,1,755,755,0,156,ingress,2025 DEC 05 07:19:08,SO ON
1,1,1397,1397,0,157,ingress,2025 DEC 05 09:17:04,SO ON
1,1,749,749,0,161,ingress,2025 DEC 05 17:08:40,SO ON
1,1,42,42,0,163,ingress,2025 DEC 05 21:04:32,SO ON
1,1,3215,3215,0,168,ingress,2025 DEC 06 06:54:04,SO ON
1,1,1511,1511,0,173,ingress,2025 DEC 06 16:43:36,SO ON
1,1,749,749,0,175,ingress,2025 DEC 06 20:39:27,SO ON
1,1,3176,3176,0,177,ingress,2025 DEC 07 00:35:21,SO ON
1,1,1397,1397,0,180,ingress,2025 DEC 07 06:28:59,SO ON
1,1,3205,3205,0,181,ingress,2025 DEC 07 08:26:57,SO ON
1,1,3233,3233,0,183,ingress,2025 DEC 07 12:22:49,SO ON
1,1,3152,3152,0,188,ingress,2025 DEC 07 22:12:22,SO ON
1,1,3182,3182,0,193,ingress,2025 DEC 08 08:01:53,SO ON
1,1,3179,3179,0,195,ingress,2025 DEC 08 11:57:47,SO ON
1,1,3227,3227,0,197,ingress,2025 DEC 08 15:53:33,SO ON
1,1,1889,1889,0,200,ingress,2025 DEC 08 21:47:18,SO ON
1,1,1511,1511,0,211,ingress,2025 DEC 09 19:24:19,SO ON
1,1,3241,3241,0,213,ingress,2025 DEC 09 23:20:13,SO ON
1,1,3219,3219,0,216,ingress,2025 DEC 10 05:13:54,SO ON
1,1,3176,3176,0,222,ingress,2025 DEC 10 17:01:25,SO ON
1,1,905,905,0,224,ingress,2025 DEC 10 20:57:12,SO ON
1,1,3215,3215,0,226,ingress,2025 DEC 11 00:53:08,SO ON
