TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
-1,-1,-1,-1,-1,1,dayside,2026 JUN 06 15:17:03,LNO OFF
-1,-1,-1,-1,-1,2,dayside,2026 JUN 06 17:15:00,LNO OFF
-1,-1,-1,-1,-1,3,dayside,2026 JUN 06 19:12:58,LNO OFF
-1,-1,-1,-1,-1,4,dayside,2026 JUN 06 21:10:53,LNO OFF
-1,-1,-1,-1,-1,5,dayside,2026 JUN 06 23:08:46,LNO OFF
-1,-1,-1,-1,-1,6,dayside,2026 JUN 07 01:06:39,LNO OFF
-1,-1,-1,-1,-1,7,dayside,2026 JUN 07 03:04:35,LNO OFF
-1,-1,-1,-1,-1,8,dayside,2026 JUN 07 05:02:32,LNO OFF
253,1,4091,4091,1,9,dayside,2026 JUN 07 07:00:31,LNO ON
-1,-1,-1,-1,-1,10,dayside,2026 JUN 07 08:58:27,LNO OFF
-1,-1,-1,-1,-1,11,dayside,2026 JUN 07 10:56:21,LNO OFF
-1,-1,-1,-1,-1,12,dayside,2026 JUN 07 12:54:13,ALL OFF
-1,-1,-1,-1,-1,13,dayside,2026 JUN 07 14:52:08,LNO OFF
-1,-1,-1,-1,-1,14,dayside,2026 JUN 07 16:50:05,LNO OFF
-1,-1,-1,-1,-1,15,dayside,2026 JUN 07 18:48:03,LNO OFF
-1,-1,-1,-1,-1,16,dayside,2026 JUN 07 20:46:00,LNO OFF
-1,-1,-1,-1,-1,17,dayside,2026 JUN 07 22:43:54,LNO OFF
0,1,4084,4084,1,18,dayside,2026 JUN 08 00:41:47,LNO ON
-1,-1,-1,-1,-1,19,dayside,2026 JUN 08 02:39:41,LNO OFF
-1,-1,-1,-1,-1,20,dayside,2026 JUN 08 04:37:38,LNO OFF
-1,-1,-1,-1,-1,21,dayside,2026 JUN 08 06:35:37,LNO OFF
-1,-1,-1,-1,-1,22,dayside,2026 JUN 08 08:33:34,LNO OFF
-1,-1,-1,-1,-1,23,dayside,2026 JUN 08 10:31:29,LNO OFF
-1,-1,-1,-1,-1,24,dayside,2026 JUN 08 12:29:21,LNO OFF
-1,-1,-1,-1,-1,25,dayside,2026 JUN 08 14:27:15,LNO OFF
0,1,4084,4084,1,26,dayside,2026 JUN 08 16:25:11,LNO ON
-1,-1,-1,-1,-1,27,dayside,2026 JUN 08 18:23:09,LNO OFF
-1,-1,-1,-1,-1,28,dayside,2026 JUN 08 20:21:06,LNO OFF
-1,-1,-1,-1,-1,29,dayside,2026 JUN 08 22:19:01,LNO OFF
0,1,4088,4088,1,30,dayside,2026 JUN 09 00:16:54,LNO ON
-1,-1,-1,-1,-1,31,dayside,2026 JUN 09 02:14:48,LNO OFF
-1,-1,-1,-1,-1,32,dayside,2026 JUN 09 04:12:44,LNO OFF
-1,-1,-1,-1,-1,33,dayside,2026 JUN 09 06:10:42,LNO OFF
-1,-1,-1,-1,-1,34,dayside,2026 JUN 09 08:08:40,LNO OFF
-1,-1,-1,-1,-1,35,dayside,2026 JUN 09 10:06:36,LNO OFF
-1,-1,-1,-1,-1,36,dayside,2026 JUN 09 12:04:30,LNO OFF
-1,-1,-1,-1,-1,37,dayside,2026 JUN 09 14:02:22,ALL OFF
-1,-1,-1,-1,-1,38,dayside,2026 JUN 09 16:00:18,LNO OFF
-1,-1,-1,-1,-1,39,dayside,2026 JUN 09 17:58:15,LNO OFF
0,1,1208,1208,1,40,dayside,2026 JUN 09 19:56:13,LNO ON
-1,-1,-1,-1,-1,41,dayside,2026 JUN 09 21:54:10,LNO OFF
-1,-1,-1,-1,-1,42,dayside,2026 JUN 09 23:52:04,LNO OFF
-1,-1,-1,-1,-1,43,dayside,2026 JUN 10 01:49:57,LNO OFF
-1,-1,-1,-1,-1,44,dayside,2026 JUN 10 03:47:52,ALL OFF
-1,-1,-1,-1,-1,45,dayside,2026 JUN 10 05:45:49,ALL OFF
-1,-1,-1,-1,-1,46,dayside,2026 JUN 10 07:43:48,LNO OFF
0,1,3786,3786,1,47,dayside,2026 JUN 10 09:41:45,LNO ON
-1,-1,-1,-1,-1,48,dayside,2026 JUN 10 11:39:40,LNO OFF
-1,-1,-1,-1,-1,49,dayside,2026 JUN 10 13:37:32,LNO OFF
-1,-1,-1,-1,-1,50,dayside,2026 JUN 10 15:35:26,LNO OFF
-1,-1,-1,-1,-1,51,dayside,2026 JUN 10 17:33:23,ALL OFF
-1,-1,-1,-1,-1,52,dayside,2026 JUN 10 19:31:21,LNO OFF
-1,-1,-1,-1,-1,53,dayside,2026 JUN 10 21:29:18,LNO OFF
0,1,4085,4085,1,54,dayside,2026 JUN 10 23:27:13,LNO ON
-1,-1,-1,-1,-1,55,dayside,2026 JUN 11 01:25:06,LNO OFF
-1,-1,-1,-1,-1,56,dayside,2026 JUN 11 03:23:00,LNO OFF
-1,-1,-1,-1,-1,57,dayside,2026 JUN 11 05:20:57,ALL OFF
-1,-1,-1,-1,-1,58,dayside,2026 JUN 11 07:18:55,LNO OFF
-1,-1,-1,-1,-1,59,dayside,2026 JUN 11 09:16:54,LNO OFF
-1,-1,-1,-1,-1,60,dayside,2026 JUN 11 11:14:50,LNO OFF
-1,-1,-1,-1,-1,61,dayside,2026 JUN 11 13:12:43,LNO OFF
-1,-1,-1,-1,-1,62,dayside,2026 JUN 11 15:10:36,LNO OFF
0,1,4085,4085,1,63,dayside,2026 JUN 11 17:08:32,LNO ON
-1,-1,-1,-1,-1,64,dayside,2026 JUN 11 19:06:31,LNO OFF
-1,-1,-1,-1,-1,65,dayside,2026 JUN 11 21:04:28,LNO OFF
-1,-1,-1,-1,-1,66,dayside,2026 JUN 11 23:02:25,LNO OFF
-1,-1,-1,-1,-1,67,dayside,2026 JUN 12 01:00:19,LNO OFF
