Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
0	Egress	2018 MAR 24 11:55:52	2018 MAR 24 12:08:42	2018 MAR 24 11:59:33	770.0	-78.1	-58.0	7.5	
1	Merged	2018 MAR 24 13:32:28	2018 MAR 24 14:07:31	2018 MAR 24 13:58:23	2103.0	46.1	-39.9	17.3	
2	Merged	2018 MAR 24 15:31:20	2018 MAR 24 16:06:26	2018 MAR 24 15:57:23	2106.0	16.7	-40.8	17.2	
3	Merged	2018 MAR 24 17:30:15	2018 MAR 24 18:05:26	2018 MAR 24 17:56:27	2111.0	-12.3	-41.2	17.2	
4	Merged	2018 MAR 24 19:29:12	2018 MAR 24 20:04:26	2018 MAR 24 19:55:28	2114.0	-41.6	-42.0	17.2	
5	Merged	2018 MAR 24 21:28:07	2018 MAR 24 22:03:22	2018 MAR 24 21:54:23	2115.0	-70.9	-42.8	17.2	
6	Ingress	2018 MAR 24 23:26:41	2018 MAR 24 23:39:17	2018 MAR 24 23:35:58	756.0	-99.6	-42.6	17.2	
7	Egress	2018 MAR 24 23:50:10	2018 MAR 25 00:02:19	2018 MAR 24 23:53:27	729.0	103.0	-51.2	7.1	
8	Ingress	2018 MAR 25 01:25:17	2018 MAR 25 01:37:44	2018 MAR 25 01:34:28	747.0	-128.7	-43.1	17.2	
9	Egress	2018 MAR 25 01:49:00	2018 MAR 25 02:01:00	2018 MAR 25 01:52:12	720.0	73.4	-50.1	7.1	
10	Ingress	2018 MAR 25 03:24:00	2018 MAR 25 03:36:20	2018 MAR 25 03:33:07	740.0	-157.8	-43.6	17.2	
11	Egress	2018 MAR 25 03:47:50	2018 MAR 25 03:59:45	2018 MAR 25 03:51:00	715.0	43.9	-49.3	7.0	
12	Ingress	2018 MAR 25 05:22:46	2018 MAR 25 05:34:59	2018 MAR 25 05:31:48	733.0	173.0	-44.4	17.1	
13	Egress	2018 MAR 25 05:46:42	2018 MAR 25 05:58:32	2018 MAR 25 05:49:50	710.0	14.5	-48.3	7.0	
14	Ingress	2018 MAR 25 07:21:28	2018 MAR 25 07:33:35	2018 MAR 25 07:30:27	727.0	144.0	-44.7	17.1	
15	Egress	2018 MAR 25 07:45:35	2018 MAR 25 07:57:20	2018 MAR 25 07:48:40	705.0	-15.0	-47.3	7.0	
16	Ingress	2018 MAR 25 09:20:07	2018 MAR 25 09:32:08	2018 MAR 25 09:29:03	721.0	114.9	-45.1	17.1	
17	Egress	2018 MAR 25 09:44:26	2018 MAR 25 09:56:05	2018 MAR 25 09:47:28	699.0	-44.4	-46.3	6.9	
18	Ingress	2018 MAR 25 11:18:46	2018 MAR 25 11:30:42	2018 MAR 25 11:27:38	716.0	85.8	-45.6	17.1	
19	Egress	2018 MAR 25 11:43:12	2018 MAR 25 11:54:48	2018 MAR 25 11:46:13	696.0	-73.8	-45.5	6.9	
20	Ingress	2018 MAR 25 13:17:24	2018 MAR 25 13:29:16	2018 MAR 25 13:26:14	712.0	56.7	-46.2	17.1	
21	Egress	2018 MAR 25 13:41:55	2018 MAR 25 13:53:28	2018 MAR 25 13:44:55	693.0	-103.0	-44.8	6.9	
22	Ingress	2018 MAR 25 15:16:03	2018 MAR 25 15:27:46	2018 MAR 25 15:24:48	703.0	27.6	-46.7	17.1	
23	Egress	2018 MAR 25 15:40:46	2018 MAR 25 15:52:11	2018 MAR 25 15:43:42	685.0	-132.4	-43.7	6.8	
24	Ingress	2018 MAR 25 17:14:45	2018 MAR 25 17:26:17	2018 MAR 25 17:23:23	692.0	-1.4	-47.0	17.1	
25	Egress	2018 MAR 25 17:39:45	2018 MAR 25 17:51:01	2018 MAR 25 17:42:37	676.0	-162.0	-42.4	6.8	
26	Ingress	2018 MAR 25 19:13:30	2018 MAR 25 19:24:54	2018 MAR 25 19:22:03	684.0	-30.7	-47.7	17.0	
27	Egress	2018 MAR 25 19:38:41	2018 MAR 25 19:49:52	2018 MAR 25 19:41:31	671.0	168.6	-41.3	6.8	
28	Ingress	2018 MAR 25 21:12:16	2018 MAR 25 21:23:35	2018 MAR 25 21:20:45	679.0	-60.0	-48.5	17.0	
29	Egress	2018 MAR 25 21:37:31	2018 MAR 25 21:48:41	2018 MAR 25 21:40:20	670.0	139.3	-40.4	6.7	
30	Ingress	2018 MAR 25 23:10:55	2018 MAR 25 23:22:11	2018 MAR 25 23:19:22	676.0	-89.1	-48.9	17.0	
31	Egress	2018 MAR 25 23:36:17	2018 MAR 25 23:47:24	2018 MAR 25 23:39:05	667.0	110.1	-39.6	6.7	
32	Ingress	2018 MAR 26 01:09:28	2018 MAR 26 01:20:37	2018 MAR 26 01:17:51	669.0	-118.0	-49.1	17.0	
33	Egress	2018 MAR 26 01:35:03	2018 MAR 26 01:46:03	2018 MAR 26 01:37:48	660.0	80.8	-38.7	6.7	
34	Ingress	2018 MAR 26 03:08:07	2018 MAR 26 03:19:08	2018 MAR 26 03:16:24	661.0	-147.1	-49.5	17.0	
35	Egress	2018 MAR 26 03:33:52	2018 MAR 26 03:44:46	2018 MAR 26 03:36:35	654.0	51.5	-37.7	6.7	
36	Ingress	2018 MAR 26 05:06:50	2018 MAR 26 05:17:45	2018 MAR 26 05:15:03	655.0	-176.4	-50.3	16.9	
37	Egress	2018 MAR 26 05:32:44	2018 MAR 26 05:43:33	2018 MAR 26 05:35:25	649.0	22.2	-36.8	6.6	
38	Ingress	2018 MAR 26 07:05:32	2018 MAR 26 07:16:21	2018 MAR 26 07:13:41	649.0	154.5	-50.6	16.9	
39	Egress	2018 MAR 26 07:31:37	2018 MAR 26 07:42:21	2018 MAR 26 07:34:16	644.0	-7.1	-35.7	6.6	
40	Ingress	2018 MAR 26 09:04:11	2018 MAR 26 09:14:53	2018 MAR 26 09:12:16	642.0	125.4	-51.0	16.9	
41	Egress	2018 MAR 26 09:30:28	2018 MAR 26 09:41:06	2018 MAR 26 09:33:05	638.0	-36.3	-34.7	6.6	
42	Ingress	2018 MAR 26 11:02:48	2018 MAR 26 11:13:26	2018 MAR 26 11:10:50	638.0	96.3	-51.4	16.9	
43	Egress	2018 MAR 26 11:29:16	2018 MAR 26 11:39:50	2018 MAR 26 11:31:51	634.0	-65.6	-33.8	6.6	
44	Ingress	2018 MAR 26 13:01:25	2018 MAR 26 13:11:58	2018 MAR 26 13:09:24	633.0	67.4	-51.5	16.9	
45	Egress	2018 MAR 26 13:27:59	2018 MAR 26 13:38:30	2018 MAR 26 13:30:33	631.0	-94.7	-33.1	6.6	
46	Ingress	2018 MAR 26 15:00:02	2018 MAR 26 15:10:29	2018 MAR 26 15:07:57	627.0	38.3	-52.1	16.9	
47	Egress	2018 MAR 26 15:26:46	2018 MAR 26 15:37:12	2018 MAR 26 15:29:18	626.0	-123.9	-32.2	6.5	
48	Ingress	2018 MAR 26 16:58:41	2018 MAR 26 17:08:59	2018 MAR 26 17:06:29	618.0	9.2	-52.4	16.9	
49	Egress	2018 MAR 26 17:25:41	2018 MAR 26 17:35:59	2018 MAR 26 17:28:10	618.0	-153.2	-31.0	6.5	
50	Ingress	2018 MAR 26 18:57:23	2018 MAR 26 19:07:33	2018 MAR 26 19:05:06	610.0	-20.1	-53.0	16.8	
51	Egress	2018 MAR 26 19:24:37	2018 MAR 26 19:34:49	2018 MAR 26 19:27:04	612.0	177.5	-29.8	6.5	
52	Ingress	2018 MAR 26 20:56:08	2018 MAR 26 21:06:12	2018 MAR 26 21:03:47	604.0	-49.1	-53.3	16.8	
53	Egress	2018 MAR 26 21:23:30	2018 MAR 26 21:33:40	2018 MAR 26 21:25:56	610.0	148.2	-28.9	6.5	
54	Ingress	2018 MAR 26 22:54:48	2018 MAR 26 23:04:49	2018 MAR 26 23:02:25	601.0	-78.3	-53.7	16.8	
55	Egress	2018 MAR 26 23:22:17	2018 MAR 26 23:32:25	2018 MAR 26 23:24:42	608.0	119.1	-28.1	6.5	
56	Ingress	2018 MAR 27 00:53:21	2018 MAR 27 01:03:17	2018 MAR 27 01:00:54	596.0	-107.5	-54.3	16.8	
57	Egress	2018 MAR 27 01:21:02	2018 MAR 27 01:31:04	2018 MAR 27 01:23:25	602.0	89.9	-27.1	6.4	
