Obs Index	Obs Type Index	Orbit No	Obs Type	IR Status	UVIS Status	TC Start Time	UVIS Start Time	UVIS End Time	IR Precooling Time	IR Start Time	 IR Transition Time	IR End Time	New TC Start Time	New UVIS Start Time	New UVIS End Time	New IR Precooling Time	New IR Start Time	New IR End Time	IR Duration	UVIS Duration	New IR duration	New UVIS Duration	TC20 FIXED	TC20 SCI1	TC20 SCI2	SCI1 description	SCI2 description	
0	0	0	Dayside_Nadir	LNO_L	UVIS_L	2018 APR 21 18:31:07	2018 APR 21 18:31:17	2018 APR 21 19:44:15	2018 APR 21 18:31:17	2018 APR 21 18:41:17	-	2018 APR 21 19:44:15	Same	Same	Same	Same	Same	Same	3778.0	4378.0	3778.0	4378.0	1	2639	2639	Science: orders #149, #134, #168, #119, #190, #196, with 220000us integration time (6 orders per 15 second(s) for detector lines 80 to 224)	-	
1	3	1	Egress	SO_O	UVIS_O	2018 APR 21 20:21:08	2018 APR 21 20:31:18	2018 APR 21 20:35:39	2018 APR 21 20:21:18	2018 APR 21 20:31:18	2018 APR 21 20:32:22	2018 APR 21 20:35:39	Same	Same	Same	Same	Same	Same	261.0	261.0	261.0	261.0	1	1452	1453	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	
2	1	1	Dayside_Nadir	LNO_M	UVIS_L	2018 APR 21 20:39:01	2018 APR 21 20:39:11	2018 APR 21 21:42:07	2018 APR 21 20:39:11	2018 APR 21 20:49:11	-	2018 APR 21 21:29:11	Same	Same	Same	2018 APR 21 20:32:50	2018 APR 21 20:42:50	2018 APR 21 21:38:29	2400.0	3776.0	3339.0	3776.0	1	2626	2626	Science: orders #167, #134, #168, #121, #189, #197, with 220000us integration time (6 orders per 15 second(s) for detector lines 80 to 224)	-	
3	2	2	Dayside_Nadir	OFF	UVIS_1	2018 APR 21 22:36:51	2018 APR 21 22:37:01	2018 APR 21 23:39:57	-	-	-	-	Same	Same	Same	-	-	-	-	3776.0	-	3776.0	-	-	-	-	-	
4	2	2	Dayside_Nadir	OFF	UVIS_2	2018 APR 21 22:36:51	2018 APR 21 22:37:01	2018 APR 21 23:39:57	-	-	-	-	Same	Same	Same	-	-	-	-	3776.0	-	3776.0	-	-	-	-	-	
5	2	2	Dayside_Nadir	OFF	UVIS_3	2018 APR 21 22:36:51	2018 APR 21 22:37:01	2018 APR 21 23:39:57	-	-	-	-	Same	Same	Same	-	-	-	-	3776.0	-	3776.0	-	-	-	-	-	
6	7	3	Egress	SO_O	UVIS_O	2018 APR 22 00:16:48	2018 APR 22 00:26:58	2018 APR 22 00:31:20	2018 APR 22 00:16:58	2018 APR 22 00:26:58	2018 APR 22 00:28:02	2018 APR 22 00:31:20	Same	Same	Same	Same	Same	Same	262.0	262.0	262.0	262.0	1	1440	1440	Science: orders #167, #155, #159, #164, #148, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	-	
7	3	3	Dayside_Nadir	LNO_M	UVIS_L	2018 APR 22 00:34:41	2018 APR 22 00:34:51	2018 APR 22 01:37:47	2018 APR 22 00:34:51	2018 APR 22 00:44:51	-	2018 APR 22 01:24:51	Same	Same	Same	2018 APR 22 00:28:30	2018 APR 22 00:38:30	2018 APR 22 01:34:08	2400.0	3776.0	3338.0	3776.0	1	1029	1029	Science: orders #167, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	-	
8	4	4	Dayside_Nadir	OFF	UVIS_1	2018 APR 22 02:32:33	2018 APR 22 02:32:43	2018 APR 22 03:35:39	-	-	-	-	Same	Same	Same	-	-	-	-	3776.0	-	3776.0	-	-	-	-	-	
9	4	4	Dayside_Nadir	OFF	UVIS_2	2018 APR 22 02:32:33	2018 APR 22 02:32:43	2018 APR 22 03:35:39	-	-	-	-	Same	Same	Same	-	-	-	-	3776.0	-	3776.0	-	-	-	-	-	
10	4	4	Dayside_Nadir	OFF	UVIS_3	2018 APR 22 02:32:33	2018 APR 22 02:32:43	2018 APR 22 03:35:39	-	-	-	-	Same	Same	Same	-	-	-	-	3776.0	-	3776.0	-	-	-	-	-	
11	5	5	Dayside_Nadir	LNO_L	UVIS_L	2018 APR 22 04:20:27	2018 APR 22 04:20:37	2018 APR 22 05:33:35	2018 APR 22 04:20:37	2018 APR 22 04:30:37	-	2018 APR 22 05:33:35	Same	Same	Same	Same	Same	Same	3778.0	4378.0	3778.0	4378.0	1	1090	1090	Science: orders #121, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	-	
