Instrument	Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
N/A	0	Ingress	2018 APR 21 17:48:57	2018 APR 21 17:53:34	2018 APR 21 17:52:29	277.0	-117.7	-70.4	16.6	
N/A	1	Egress	2018 APR 21 18:33:25	2018 APR 21 18:37:46	2018 APR 21 18:34:29	261.0	30.3	79.3	3.2	
N/A	2	Ingress	2018 APR 21 19:46:50	2018 APR 21 19:51:28	2018 APR 21 19:50:22	278.0	-146.4	-70.5	16.6	
NOMAD	3	Egress	2018 APR 21 20:31:18	2018 APR 21 20:35:39	2018 APR 21 20:32:22	261.0	0.9	79.4	3.2	
ACS	4	Ingress	2018 APR 21 21:44:41	2018 APR 21 21:49:20	2018 APR 21 21:48:14	279.0	-175.0	-70.5	16.6	
N/A	5	Egress	2018 APR 21 22:29:08	2018 APR 21 22:33:29	2018 APR 21 22:30:12	261.0	-28.5	79.6	3.1	
N/A	6	Ingress	2018 APR 21 23:42:31	2018 APR 21 23:47:10	2018 APR 21 23:46:04	279.0	156.4	-70.5	16.6	
NOMAD	7	Egress	2018 APR 22 00:26:58	2018 APR 22 00:31:20	2018 APR 22 00:28:02	262.0	-57.6	79.7	3.1	
N/A	8	Ingress	2018 APR 22 01:40:23	2018 APR 22 01:45:02	2018 APR 22 01:43:56	279.0	127.8	-70.4	16.6	
N/A	9	Egress	2018 APR 22 02:24:48	2018 APR 22 02:29:10	2018 APR 22 02:25:53	262.0	-86.6	79.8	3.1	
N/A	10	Ingress	2018 APR 22 03:38:17	2018 APR 22 03:42:56	2018 APR 22 03:41:50	279.0	99.4	-70.3	16.6	
ACS	11	Egress	2018 APR 22 04:22:41	2018 APR 22 04:27:03	2018 APR 22 04:23:45	262.0	-115.7	79.9	3.0	
N/A	12	Ingress	2018 APR 22 05:36:13	2018 APR 22 05:40:52	2018 APR 22 05:39:46	279.0	70.7	-70.3	16.6	
N/A	13	Egress	2018 APR 22 06:20:35	2018 APR 22 06:24:57	2018 APR 22 06:21:39	262.0	-145.0	80.0	3.0	
N/A	14	Ingress	2018 APR 22 07:34:09	2018 APR 22 07:38:49	2018 APR 22 07:37:43	280.0	42.2	-70.2	16.7	
N/A	15	Egress	2018 APR 22 08:18:29	2018 APR 22 08:22:52	2018 APR 22 08:19:34	263.0	-174.3	80.2	3.0	
NOMAD	16	Ingress	2018 APR 22 09:32:03	2018 APR 22 09:36:43	2018 APR 22 09:35:37	280.0	13.5	-70.3	16.7	
N/A	17	Egress	2018 APR 22 10:16:22	2018 APR 22 10:20:45	2018 APR 22 10:17:26	263.0	156.3	80.3	2.9	
N/A	18	Ingress	2018 APR 22 11:29:52	2018 APR 22 11:34:33	2018 APR 22 11:33:27	281.0	-15.2	-70.3	16.7	
NOMAD	19	Egress	2018 APR 22 12:14:11	2018 APR 22 12:18:34	2018 APR 22 12:15:15	263.0	126.9	80.4	2.9	
N/A	20	Ingress	2018 APR 22 13:27:41	2018 APR 22 13:32:23	2018 APR 22 13:31:17	282.0	-43.7	-70.2	16.7	
N/A	21	Egress	2018 APR 22 14:11:59	2018 APR 22 14:16:23	2018 APR 22 14:13:04	264.0	97.7	80.5	2.8	
N/A	22	Ingress	2018 APR 22 15:25:37	2018 APR 22 15:30:18	2018 APR 22 15:29:12	281.0	-72.2	-70.0	16.7	
ACS	23	Egress	2018 APR 22 16:09:53	2018 APR 22 16:14:17	2018 APR 22 16:10:58	264.0	68.6	80.6	2.8	
N/A	24	Ingress	2018 APR 22 17:23:34	2018 APR 22 17:28:15	2018 APR 22 17:27:09	281.0	-100.8	-70.0	16.7	
N/A	25	Egress	2018 APR 22 18:07:48	2018 APR 22 18:12:13	2018 APR 22 18:08:53	265.0	39.3	80.7	2.8	
N/A	26	Ingress	2018 APR 22 19:21:28	2018 APR 22 19:26:10	2018 APR 22 19:25:03	282.0	-129.3	-69.9	16.7	
NOMAD	27	Egress	2018 APR 22 20:05:42	2018 APR 22 20:10:06	2018 APR 22 20:06:46	264.0	9.8	80.9	2.7	
N/A	28	Ingress	2018 APR 22 21:19:20	2018 APR 22 21:24:02	2018 APR 22 21:22:56	282.0	-158.0	-70.0	16.7	
N/A	29	Egress	2018 APR 22 22:03:32	2018 APR 22 22:07:57	2018 APR 22 22:04:37	265.0	-19.9	81.0	2.6	
N/A	30	Ingress	2018 APR 22 23:17:10	2018 APR 22 23:21:53	2018 APR 22 23:20:47	283.0	173.4	-70.0	16.7	
NOMAD	31	Egress	2018 APR 23 00:01:22	2018 APR 23 00:05:47	2018 APR 23 00:02:27	265.0	-49.3	81.1	2.6	
N/A	32	Ingress	2018 APR 23 01:15:00	2018 APR 23 01:19:44	2018 APR 23 01:18:37	284.0	144.8	-69.9	16.7	
N/A	33	Egress	2018 APR 23 01:59:11	2018 APR 23 02:03:37	2018 APR 23 02:00:16	266.0	-78.6	81.2	2.6	
N/A	34	Ingress	2018 APR 23 03:12:54	2018 APR 23 03:17:37	2018 APR 23 03:16:30	283.0	116.3	-69.9	16.7	
ACS	35	Egress	2018 APR 23 03:57:03	2018 APR 23 04:01:29	2018 APR 23 03:58:08	266.0	-107.7	81.3	2.5	
NOMAD	36	Ingress	2018 APR 23 05:10:49	2018 APR 23 05:15:33	2018 APR 23 05:14:26	284.0	87.8	-69.7	16.7	
N/A	37	Egress	2018 APR 23 05:54:56	2018 APR 23 05:59:22	2018 APR 23 05:56:01	266.0	-137.2	81.4	2.5	
N/A	38	Ingress	2018 APR 23 07:08:45	2018 APR 23 07:13:29	2018 APR 23 07:12:22	284.0	59.1	-69.7	16.7	
N/A	39	Egress	2018 APR 23 07:52:50	2018 APR 23 07:57:16	2018 APR 23 07:53:55	266.0	-166.7	81.5	2.4	
NOMAD	40	Ingress	2018 APR 23 09:06:40	2018 APR 23 09:11:24	2018 APR 23 09:10:18	284.0	30.5	-69.7	16.7	
N/A	41	Egress	2018 APR 23 09:50:43	2018 APR 23 09:55:10	2018 APR 23 09:51:48	267.0	163.7	81.6	2.4	
N/A	42	Ingress	2018 APR 23 11:04:31	2018 APR 23 11:09:16	2018 APR 23 11:08:09	285.0	1.9	-69.7	16.7	
ACS	43	Egress	2018 APR 23 11:48:33	2018 APR 23 11:53:01	2018 APR 23 11:49:38	268.0	134.0	81.8	2.3	
N/A	44	Ingress	2018 APR 23 13:02:19	2018 APR 23 13:07:05	2018 APR 23 13:05:58	286.0	-26.7	-69.6	16.8	
N/A	45	Egress	2018 APR 23 13:46:21	2018 APR 23 13:50:48	2018 APR 23 13:47:26	267.0	104.6	81.9	2.2	
N/A	46	Ingress	2018 APR 23 15:00:12	2018 APR 23 15:04:59	2018 APR 23 15:03:51	287.0	-55.2	-69.5	16.8	
NOMAD	47	Egress	2018 APR 23 15:44:12	2018 APR 23 15:48:40	2018 APR 23 15:45:18	268.0	75.3	81.9	2.2	
N/A	48	Ingress	2018 APR 23 16:58:09	2018 APR 23 17:02:55	2018 APR 23 17:01:48	286.0	-83.7	-69.4	16.8	
N/A	49	Egress	2018 APR 23 17:42:07	2018 APR 23 17:46:36	2018 APR 23 17:43:13	269.0	46.0	82.0	2.2	
N/A	50	Ingress	2018 APR 23 18:56:05	2018 APR 23 19:00:51	2018 APR 23 18:59:44	286.0	-112.4	-69.4	16.8	
ACS	51	Egress	2018 APR 23 19:40:01	2018 APR 23 19:44:30	2018 APR 23 19:41:07	269.0	16.2	82.1	2.1	
NOMAD	52	Ingress	2018 APR 23 20:53:58	2018 APR 23 20:58:45	2018 APR 23 20:57:38	287.0	-141.0	-69.4	16.8	
N/A	53	Egress	2018 APR 23 21:37:53	2018 APR 23 21:42:22	2018 APR 23 21:38:58	269.0	-13.7	82.2	2.0	
N/A	54	Ingress	2018 APR 23 22:51:49	2018 APR 23 22:56:37	2018 APR 23 22:55:29	288.0	-169.5	-69.3	16.8	
NOMAD	55	Egress	2018 APR 23 23:35:43	2018 APR 23 23:40:13	2018 APR 23 23:36:48	270.0	-43.6	82.4	1.9	
N/A	56	Ingress	2018 APR 24 00:49:39	2018 APR 24 00:54:28	2018 APR 24 00:53:20	289.0	161.9	-69.3	16.8	
N/A	57	Egress	2018 APR 24 01:33:32	2018 APR 24 01:38:03	2018 APR 24 01:34:38	271.0	-73.0	82.4	1.9	
N/A	58	Ingress	2018 APR 24 02:47:32	2018 APR 24 02:52:20	2018 APR 24 02:51:13	288.0	133.3	-69.2	16.8	
ACS	59	Egress	2018 APR 24 03:31:22	2018 APR 24 03:35:53	2018 APR 24 03:32:28	271.0	-102.5	82.5	1.8	
NOMAD	60	Ingress	2018 APR 24 04:45:27	2018 APR 24 04:50:16	2018 APR 24 04:49:08	289.0	104.7	-69.2	16.8	
N/A	61	Egress	2018 APR 24 05:29:15	2018 APR 24 05:33:46	2018 APR 24 05:30:21	271.0	-132.0	82.6	1.8	
N/A	62	Ingress	2018 APR 24 06:43:23	2018 APR 24 06:48:12	2018 APR 24 06:47:05	289.0	76.2	-69.0	16.8	
ACS	63	Egress	2018 APR 24 07:27:09	2018 APR 24 07:31:40	2018 APR 24 07:28:15	271.0	-161.7	82.7	1.7	
N/A	64	Ingress	2018 APR 24 08:41:19	2018 APR 24 08:46:09	2018 APR 24 08:45:01	290.0	47.7	-68.9	16.8	
N/A	65	Egress	2018 APR 24 09:25:03	2018 APR 24 09:29:35	2018 APR 24 09:26:09	272.0	168.5	82.8	1.6	
N/A	66	Ingress	2018 APR 24 10:39:12	2018 APR 24 10:44:03	2018 APR 24 10:42:55	291.0	19.0	-69.0	16.8	
NOMAD	67	Egress	2018 APR 24 11:22:54	2018 APR 24 11:27:27	2018 APR 24 11:24:00	273.0	138.4	82.8	1.5	
N/A	68	Ingress	2018 APR 24 12:37:01	2018 APR 24 12:41:53	2018 APR 24 12:40:44	292.0	-9.6	-69.0	16.8	
N/A	69	Egress	2018 APR 24 13:20:42	2018 APR 24 13:25:15	2018 APR 24 13:21:48	273.0	108.4	82.9	1.4	
N/A	70	Ingress	2018 APR 24 14:34:51	2018 APR 24 14:39:44	2018 APR 24 14:38:35	293.0	-38.2	-68.9	16.8	
ACS	71	Egress	2018 APR 24 15:18:31	2018 APR 24 15:23:04	2018 APR 24 15:19:37	273.0	78.8	83.0	1.4	
N/A	72	Ingress	2018 APR 24 16:32:48	2018 APR 24 16:37:40	2018 APR 24 16:36:32	292.0	-66.8	-68.8	16.8	
N/A	73	Egress	2018 APR 24 17:16:25	2018 APR 24 17:20:59	2018 APR 24 17:17:32	274.0	49.4	83.0	1.3	
N/A	74	Ingress	2018 APR 24 18:30:45	2018 APR 24 18:35:37	2018 APR 24 18:34:29	292.0	-95.3	-68.7	16.9	
N/A	75	Egress	2018 APR 24 19:14:19	2018 APR 24 19:18:54	2018 APR 24 19:15:26	275.0	19.5	83.1	1.2	
NOMAD	76	Ingress	2018 APR 24 20:28:39	2018 APR 24 20:33:32	2018 APR 24 20:32:23	293.0	-123.9	-68.7	16.9	
N/A	77	Egress	2018 APR 24 21:12:12	2018 APR 24 21:16:47	2018 APR 24 21:13:18	275.0	-10.8	83.2	1.1	
N/A	78	Ingress	2018 APR 24 22:26:30	2018 APR 24 22:31:24	2018 APR 24 22:30:16	294.0	-152.6	-68.7	16.9	
NOMAD	79	Egress	2018 APR 24 23:10:02	2018 APR 24 23:14:37	2018 APR 24 23:11:09	275.0	-41.2	83.3	1.0	
N/A	80	Ingress	2018 APR 25 00:24:20	2018 APR 25 00:29:15	2018 APR 25 00:28:07	295.0	178.8	-68.7	16.9	
N/A	81	Egress	2018 APR 25 01:07:51	2018 APR 25 01:12:27	2018 APR 25 01:08:58	276.0	-71.1	83.3	0.9	
N/A	82	Ingress	2018 APR 25 02:22:11	2018 APR 25 02:27:07	2018 APR 25 02:25:58	296.0	150.4	-68.5	16.9	
ACS	83	Egress	2018 APR 25 03:05:40	2018 APR 25 03:10:17	2018 APR 25 03:06:47	277.0	-100.8	83.4	0.9	
NOMAD	84	Ingress	2018 APR 25 04:20:05	2018 APR 25 04:25:01	2018 APR 25 04:23:52	296.0	121.8	-68.4	16.9	
N/A	85	Egress	2018 APR 25 05:03:31	2018 APR 25 05:08:09	2018 APR 25 05:04:38	278.0	-130.6	83.4	0.8	
N/A	86	Ingress	2018 APR 25 06:18:01	2018 APR 25 06:22:57	2018 APR 25 06:21:48	296.0	93.3	-68.2	16.9	
ACS	87	Egress	2018 APR 25 07:01:24	2018 APR 25 07:06:02	2018 APR 25 07:02:31	278.0	-160.6	83.5	0.7	
N/A	88	Ingress	2018 APR 25 08:15:57	2018 APR 25 08:20:54	2018 APR 25 08:19:45	297.0	64.6	-68.3	16.9	
N/A	89	Egress	2018 APR 25 08:59:18	2018 APR 25 09:03:56	2018 APR 25 09:00:25	278.0	169.4	83.5	0.6	
N/A	90	Ingress	2018 APR 25 10:13:52	2018 APR 25 10:18:49	2018 APR 25 10:17:40	297.0	36.1	-68.1	16.9	
NOMAD	91	Egress	2018 APR 25 10:57:10	2018 APR 25 11:01:49	2018 APR 25 10:58:18	279.0	139.1	83.6	0.5	
N/A	92	Ingress	2018 APR 25 12:11:42	2018 APR 25 12:16:41	2018 APR 25 12:15:31	299.0	7.5	-68.2	16.9	
N/A	93	Egress	2018 APR 25 12:54:59	2018 APR 25 12:59:39	2018 APR 25 12:56:07	280.0	108.8	83.6	0.4	
N/A	94	Ingress	2018 APR 25 14:09:31	2018 APR 25 14:14:31	2018 APR 25 14:13:21	300.0	-21.2	-68.3	16.9	
NOMAD	95	Egress	2018 APR 25 14:52:47	2018 APR 25 14:57:27	2018 APR 25 14:53:54	280.0	78.8	83.6	0.3	
ACS	96	Ingress	2018 APR 25 16:07:26	2018 APR 25 16:12:26	2018 APR 25 16:11:16	300.0	-49.7	-68.0	16.9	
N/A	97	Egress	2018 APR 25 16:50:39	2018 APR 25 16:55:20	2018 APR 25 16:51:47	281.0	49.3	83.7	0.3	
N/A	98	Ingress	2018 APR 25 18:05:24	2018 APR 25 18:10:23	2018 APR 25 18:09:14	299.0	-78.2	-67.8	17.0	
N/A	99	Egress	2018 APR 25 18:48:33	2018 APR 25 18:53:15	2018 APR 25 18:49:41	282.0	19.4	83.7	0.2	
NOMAD	100	Ingress	2018 APR 25 20:03:19	2018 APR 25 20:08:19	2018 APR 25 20:07:10	300.0	-106.8	-67.8	17.0	
N/A	101	Egress	2018 APR 25 20:46:27	2018 APR 25 20:51:09	2018 APR 25 20:47:34	282.0	-10.9	83.7	0.1	
N/A	102	Ingress	2018 APR 25 22:01:12	2018 APR 25 22:06:13	2018 APR 25 22:05:03	301.0	-135.3	-67.6	17.0	
ACS	103	Egress	2018 APR 25 22:44:17	2018 APR 25 22:49:00	2018 APR 25 22:45:25	283.0	-41.9	83.7	23.9	
N/A	104	Ingress	2018 APR 25 23:59:02	2018 APR 26 00:04:05	2018 APR 26 00:02:55	303.0	-164.0	-67.7	17.0	
N/A	105	Egress	2018 APR 26 00:42:06	2018 APR 26 00:46:50	2018 APR 26 00:43:15	284.0	-72.4	83.7	23.8	
N/A	106	Ingress	2018 APR 26 01:56:53	2018 APR 26 02:01:56	2018 APR 26 02:00:46	303.0	167.4	-67.6	17.0	
NOMAD	107	Egress	2018 APR 26 02:39:55	2018 APR 26 02:44:40	2018 APR 26 02:41:04	285.0	-102.1	83.8	23.7	
ACS	108	Ingress	2018 APR 26 03:54:47	2018 APR 26 03:59:50	2018 APR 26 03:58:40	303.0	138.9	-67.5	17.0	
N/A	109	Egress	2018 APR 26 04:37:46	2018 APR 26 04:42:30	2018 APR 26 04:38:54	284.0	-131.7	83.8	23.7	
N/A	110	Ingress	2018 APR 26 05:52:42	2018 APR 26 05:57:46	2018 APR 26 05:56:36	304.0	110.3	-67.5	17.0	
NOMAD	111	Egress	2018 APR 26 06:35:38	2018 APR 26 06:40:23	2018 APR 26 06:36:46	285.0	-161.9	83.8	23.6	
N/A	112	Ingress	2018 APR 26 07:50:39	2018 APR 26 07:55:43	2018 APR 26 07:54:33	304.0	81.7	-67.3	17.0	
N/A	113	Egress	2018 APR 26 08:33:31	2018 APR 26 08:38:17	2018 APR 26 08:34:40	286.0	167.7	83.8	23.4	
N/A	114	Ingress	2018 APR 26 09:48:35	2018 APR 26 09:53:40	2018 APR 26 09:52:30	305.0	53.2	-67.2	17.0	
N/A	115	Egress	2018 APR 26 10:31:25	2018 APR 26 10:36:11	2018 APR 26 10:32:33	286.0	137.7	83.8	23.4	
N/A	116	Ingress	2018 APR 26 11:46:27	2018 APR 26 11:51:34	2018 APR 26 11:50:23	307.0	24.5	-67.2	17.0	
N/A	117	Egress	2018 APR 26 12:29:15	2018 APR 26 12:34:03	2018 APR 26 12:30:24	288.0	107.1	83.7	23.2	
N/A	118	Ingress	2018 APR 26 13:44:16	2018 APR 26 13:49:24	2018 APR 26 13:48:13	308.0	-4.1	-67.2	17.0	
NOMAD	119	Egress	2018 APR 26 14:27:02	2018 APR 26 14:31:50	2018 APR 26 14:28:11	288.0	76.6	83.7	23.1	
ACS	120	Ingress	2018 APR 26 15:42:07	2018 APR 26 15:47:16	2018 APR 26 15:46:05	309.0	-32.6	-67.1	17.0	
N/A	121	Egress	2018 APR 26 16:24:51	2018 APR 26 16:29:40	2018 APR 26 16:26:00	289.0	46.8	83.7	23.0	
N/A	122	Ingress	2018 APR 26 17:40:05	2018 APR 26 17:45:13	2018 APR 26 17:44:02	308.0	-61.1	-66.8	17.0	
N/A	123	Egress	2018 APR 26 18:22:45	2018 APR 26 18:27:35	2018 APR 26 18:23:54	290.0	17.2	83.7	23.0	
N/A	124	Ingress	2018 APR 26 19:38:02	2018 APR 26 19:43:11	2018 APR 26 19:42:00	309.0	-89.8	-66.9	17.0	
N/A	125	Egress	2018 APR 26 20:20:39	2018 APR 26 20:25:29	2018 APR 26 20:21:48	290.0	-13.0	83.7	22.9	
N/A	126	Ingress	2018 APR 26 21:35:56	2018 APR 26 21:41:06	2018 APR 26 21:39:55	310.0	-118.3	-66.7	17.1	
NOMAD	127	Egress	2018 APR 26 22:18:30	2018 APR 26 22:23:21	2018 APR 26 22:19:40	291.0	-43.9	83.6	22.7	
N/A	128	Ingress	2018 APR 26 23:33:47	2018 APR 26 23:38:59	2018 APR 26 23:37:47	312.0	-146.9	-66.7	17.1	
N/A	129	Egress	2018 APR 27 00:16:20	2018 APR 27 00:21:11	2018 APR 27 00:17:29	291.0	-74.3	83.6	22.6	
N/A	130	Ingress	2018 APR 27 01:31:38	2018 APR 27 01:36:50	2018 APR 27 01:35:38	312.0	-175.6	-66.7	17.1	
ACS	131	Egress	2018 APR 27 02:14:08	2018 APR 27 02:19:01	2018 APR 27 02:15:18	293.0	-104.4	83.5	22.5	
NOMAD	132	Ingress	2018 APR 27 03:29:30	2018 APR 27 03:34:43	2018 APR 27 03:33:31	313.0	155.9	-66.6	17.1	
N/A	133	Egress	2018 APR 27 04:11:58	2018 APR 27 04:16:51	2018 APR 27 04:13:08	293.0	-134.0	83.5	22.5	
NOMAD	134	Ingress	2018 APR 27 05:27:25	2018 APR 27 05:32:39	2018 APR 27 05:31:26	314.0	127.4	-66.2	17.1	
NOMAD	135	Egress	2018 APR 27 06:09:49	2018 APR 27 06:14:43	2018 APR 27 06:10:59	294.0	-163.9	83.4	22.4	
ACS	136	Ingress	2018 APR 27 07:25:21	2018 APR 27 07:30:36	2018 APR 27 07:29:24	315.0	98.8	-66.3	17.1	
ACS	137	Egress	2018 APR 27 08:07:41	2018 APR 27 08:12:36	2018 APR 27 08:08:52	295.0	165.8	83.4	22.3	
N/A	138	Ingress	2018 APR 27 09:23:18	2018 APR 27 09:28:33	2018 APR 27 09:27:21	315.0	70.2	-66.1	17.1	
N/A	139	Egress	2018 APR 27 10:05:35	2018 APR 27 10:10:30	2018 APR 27 10:06:45	295.0	136.0	83.3	22.2	
N/A	140	Ingress	2018 APR 27 11:21:12	2018 APR 27 11:26:29	2018 APR 27 11:25:16	317.0	41.5	-66.2	17.1	
N/A	141	Egress	2018 APR 27 12:03:26	2018 APR 27 12:08:23	2018 APR 27 12:04:37	297.0	105.7	83.3	22.1	
NOMAD	142	Ingress	2018 APR 27 13:19:03	2018 APR 27 13:24:20	2018 APR 27 13:23:07	317.0	12.9	-66.2	17.1	
NOMAD	143	Egress	2018 APR 27 14:01:14	2018 APR 27 14:06:12	2018 APR 27 14:02:25	298.0	75.4	83.2	22.0	
ACS	144	Ingress	2018 APR 27 15:16:53	2018 APR 27 15:22:11	2018 APR 27 15:20:58	318.0	-15.6	-66.1	17.1	
ACS	145	Egress	2018 APR 27 15:59:02	2018 APR 27 16:04:00	2018 APR 27 16:00:13	298.0	45.6	83.1	21.9	
NOMAD	146	Ingress	2018 APR 27 17:14:50	2018 APR 27 17:20:08	2018 APR 27 17:18:55	318.0	-44.1	-65.8	17.1	
NOMAD	147	Egress	2018 APR 27 17:56:54	2018 APR 27 18:01:54	2018 APR 27 17:58:06	300.0	16.0	83.1	21.8	
N/A	148	Ingress	2018 APR 27 19:12:48	2018 APR 27 19:18:07	2018 APR 27 19:16:54	319.0	-72.6	-65.5	17.1	
N/A	149	Egress	2018 APR 27 19:54:49	2018 APR 27 19:59:49	2018 APR 27 19:56:00	300.0	-13.5	83.0	21.8	
