Dayside Nadir Index	UTC Start Time	UTC End Time	UTC Minimum Incidence Angle Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Local Time (hrs)	
0	2018 JUN 16 15:12:57	2018 JUN 16 16:15:53	2018 JUN 16 15:44:09	3778.0	-82.3	-1.1	83.4	-73.5	1.3	73.5	10.5	
1	2018 JUN 16 17:10:51	2018 JUN 16 18:13:47	2018 JUN 16 17:42:03	3778.0	-111.1	-30.1	54.5	-73.5	1.3	73.5	10.4	
2	2018 JUN 16 19:08:44	2018 JUN 16 20:11:39	2018 JUN 16 19:39:55	3776.0	-139.7	-59.1	25.6	-73.5	1.4	73.6	10.4	
3	2018 JUN 16 21:06:35	2018 JUN 16 22:09:29	2018 JUN 16 21:37:45	3776.0	-168.7	-88.0	-3.1	-73.6	1.4	73.6	10.4	
4	2018 JUN 16 23:04:24	2018 JUN 17 00:07:19	2018 JUN 16 23:35:35	3776.0	162.7	-116.9	-31.7	-73.6	1.5	73.6	10.4	
5	2018 JUN 17 01:02:14	2018 JUN 17 02:05:11	2018 JUN 17 01:33:25	3780.0	133.8	-145.8	-60.3	-73.6	1.5	73.5	10.4	
6	2018 JUN 17 03:00:07	2018 JUN 17 04:03:05	2018 JUN 17 03:31:19	3780.0	105.2	-174.8	-89.0	-73.5	1.7	73.5	10.4	
7	2018 JUN 17 04:58:03	2018 JUN 17 06:00:59	2018 JUN 17 05:29:13	3778.0	76.6	156.3	-117.8	-73.5	1.7	73.5	10.3	
8	2018 JUN 17 06:55:58	2018 JUN 17 07:58:51	2018 JUN 17 07:27:07	3776.0	47.6	127.3	-146.8	-73.5	1.7	73.5	10.3	
9	2018 JUN 17 08:53:50	2018 JUN 17 09:56:43	2018 JUN 17 09:24:59	3776.0	18.7	98.3	-175.4	-73.6	1.8	73.6	10.3	
10	2018 JUN 17 10:51:39	2018 JUN 17 11:54:31	2018 JUN 17 11:22:47	3774.0	-9.8	69.4	155.7	-73.6	1.8	73.6	10.3	
11	2018 JUN 17 12:49:28	2018 JUN 17 13:52:21	2018 JUN 17 13:20:37	3776.0	-38.8	40.5	126.9	-73.5	1.9	73.5	10.3	
12	2018 JUN 17 14:47:21	2018 JUN 17 15:50:17	2018 JUN 17 15:18:31	3778.0	-67.3	11.6	98.5	-73.5	2.0	73.5	10.3	
13	2018 JUN 17 16:45:15	2018 JUN 17 17:48:11	2018 JUN 17 17:16:27	3778.0	-96.0	-17.4	69.6	-73.5	2.0	73.5	10.2	
14	2018 JUN 17 18:43:09	2018 JUN 17 19:46:05	2018 JUN 17 19:14:19	3778.0	-124.7	-46.4	40.9	-73.5	2.1	73.5	10.2	
15	2018 JUN 17 20:41:00	2018 JUN 17 21:43:55	2018 JUN 17 21:12:11	3776.0	-153.4	-75.3	11.9	-73.5	2.2	73.6	10.2	
16	2018 JUN 17 22:38:50	2018 JUN 17 23:41:43	2018 JUN 17 23:09:59	3776.0	177.5	-104.2	-16.9	-73.6	2.1	73.6	10.2	
17	2018 JUN 18 00:36:38	2018 JUN 18 01:39:35	2018 JUN 18 01:07:49	3778.0	149.0	-133.1	-45.3	-73.5	2.3	73.5	10.2	
