Instrument	Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
N/A	0	Ingress	2018 JUN 16 14:21:54	2018 JUN 16 14:26:29	2018 JUN 16 14:25:23	275.0	117.3	67.2	17.0	
N/A	1	Egress	2018 JUN 16 15:05:06	2018 JUN 16 15:10:00	2018 JUN 16 15:06:15	294.0	-124.9	-83.3	1.6	
N/A	2	Ingress	2018 JUN 16 16:19:49	2018 JUN 16 16:24:25	2018 JUN 16 16:23:18	276.0	88.7	66.9	17.0	
N/A	3	Egress	2018 JUN 16 17:02:59	2018 JUN 16 17:07:53	2018 JUN 16 17:04:08	294.0	-155.0	-83.3	1.5	
ACS	4	Ingress	2018 JUN 16 18:17:44	2018 JUN 16 18:22:21	2018 JUN 16 18:21:14	277.0	59.9	67.0	17.0	
N/A	5	Egress	2018 JUN 16 19:00:52	2018 JUN 16 19:05:47	2018 JUN 16 19:02:01	295.0	174.9	-83.4	1.4	
N/A	6	Ingress	2018 JUN 16 20:15:38	2018 JUN 16 20:20:15	2018 JUN 16 20:19:08	277.0	31.2	67.0	17.0	
NOMAD	7	Egress	2018 JUN 16 20:58:43	2018 JUN 16 21:03:40	2018 JUN 16 20:59:52	297.0	144.6	-83.4	1.3	
NOMAD	8	Ingress	2018 JUN 16 22:13:28	2018 JUN 16 22:18:05	2018 JUN 16 22:16:58	277.0	2.5	67.0	17.0	
N/A	9	Egress	2018 JUN 16 22:56:31	2018 JUN 16 23:01:28	2018 JUN 16 22:57:40	297.0	114.3	-83.5	1.2	
N/A	10	Ingress	2018 JUN 17 00:11:16	2018 JUN 17 00:15:55	2018 JUN 17 00:14:48	279.0	-26.1	66.9	17.0	
NOMAD	11	Egress	2018 JUN 17 00:54:17	2018 JUN 17 00:59:15	2018 JUN 17 00:55:27	298.0	84.1	-83.5	1.1	
N/A	12	Ingress	2018 JUN 17 02:09:10	2018 JUN 17 02:13:49	2018 JUN 17 02:12:42	279.0	-54.7	66.6	17.0	
N/A	13	Egress	2018 JUN 17 02:52:09	2018 JUN 17 02:57:07	2018 JUN 17 02:53:18	298.0	54.5	-83.5	1.0	
N/A	14	Ingress	2018 JUN 17 04:07:07	2018 JUN 17 04:11:46	2018 JUN 17 04:10:39	279.0	-83.4	66.6	17.0	
NOMAD	15	Egress	2018 JUN 17 04:50:03	2018 JUN 17 04:55:02	2018 JUN 17 04:51:12	299.0	24.4	-83.5	0.9	
NOMAD	16	Ingress	2018 JUN 17 06:05:02	2018 JUN 17 06:09:42	2018 JUN 17 06:08:35	280.0	-112.0	66.4	17.0	
N/A	17	Egress	2018 JUN 17 06:47:56	2018 JUN 17 06:52:55	2018 JUN 17 06:49:05	299.0	-6.3	-83.6	0.8	
N/A	18	Ingress	2018 JUN 17 08:02:55	2018 JUN 17 08:07:36	2018 JUN 17 08:06:28	281.0	-140.7	66.4	17.0	
NOMAD	19	Egress	2018 JUN 17 08:45:47	2018 JUN 17 08:50:47	2018 JUN 17 08:46:56	300.0	-37.0	-83.6	0.6	
NOMAD	20	Ingress	2018 JUN 17 10:00:46	2018 JUN 17 10:05:27	2018 JUN 17 10:04:19	281.0	-169.5	66.4	17.0	
N/A	21	Egress	2018 JUN 17 10:43:35	2018 JUN 17 10:48:37	2018 JUN 17 10:44:45	302.0	-67.5	-83.6	0.5	
N/A	22	Ingress	2018 JUN 17 11:58:36	2018 JUN 17 12:03:18	2018 JUN 17 12:02:11	282.0	161.9	66.3	17.0	
NOMAD	23	Egress	2018 JUN 17 12:41:24	2018 JUN 17 12:46:26	2018 JUN 17 12:42:34	302.0	-97.1	-83.6	0.5	
N/A	24	Ingress	2018 JUN 17 13:56:29	2018 JUN 17 14:01:12	2018 JUN 17 14:00:04	283.0	133.2	66.2	17.0	
N/A	25	Egress	2018 JUN 17 14:39:13	2018 JUN 17 14:44:16	2018 JUN 17 14:40:23	303.0	-127.4	-83.6	0.4	
N/A	26	Ingress	2018 JUN 17 15:54:24	2018 JUN 17 15:59:07	2018 JUN 17 15:57:59	283.0	104.7	66.0	17.0	
NOMAD	27	Egress	2018 JUN 17 16:37:05	2018 JUN 17 16:42:08	2018 JUN 17 16:38:15	303.0	-157.7	-83.6	0.2	
N/A	28	Ingress	2018 JUN 17 17:52:19	2018 JUN 17 17:57:04	2018 JUN 17 17:55:55	285.0	75.9	66.0	17.0	
N/A	29	Egress	2018 JUN 17 18:34:58	2018 JUN 17 18:40:01	2018 JUN 17 18:36:08	303.0	172.0	-83.6	0.1	
N/A	30	Ingress	2018 JUN 17 19:50:14	2018 JUN 17 19:54:59	2018 JUN 17 19:53:50	285.0	47.3	65.8	17.0	
