Orbit Index	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	2018 DEC 01 14:00:31	2018 DEC 01 14:30:16	2018 DEC 01 15:00:00	3568.8	-19.0	26.0	146.4	-14.0	68.3	13.8	129.5	21.9	3	-	-	-		
1	2018 DEC 01 15:00:00	2018 DEC 01 15:29:16	2018 DEC 01 15:58:32	3511.5	146.4	-168.9	-47.9	13.8	-68.2	-13.6	50.6	9.8	3	H2O 2SUBD 01	Science: orders #167, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
2	2018 DEC 01 15:58:32	2018 DEC 01 16:28:16	2018 DEC 01 16:58:01	3569.0	-47.9	-2.3	117.6	-13.6	68.6	13.4	129.4	21.9	1	-	-	-		
2	2018 DEC 01 16:58:01	2018 DEC 01 17:27:15	2018 DEC 01 17:56:30	3509.0	117.6	162.9	-76.7	13.4	-68.5	-13.2	50.7	9.9	1	HDO H2O 2SUBD 01	Science: orders #121, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
3	2018 DEC 01 17:56:30	2018 DEC 01 18:26:14	2018 DEC 01 18:55:58	3568.6	-76.7	-30.5	88.7	-13.2	68.9	13.1	129.2	21.9	4	-	-	-		
3	2018 DEC 01 18:55:58	2018 DEC 01 19:25:12	2018 DEC 01 19:54:26	3507.4	88.7	134.7	-105.6	13.1	-68.8	-12.9	50.8	9.9	4	-		3x COP rows 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
4	2018 DEC 01 19:54:26	2018 DEC 01 20:24:09	2018 DEC 01 20:53:53	3567.1	-105.6	-58.7	59.9	-12.9	69.1	12.7	129.1	22.0	1	-	-	-		
4	2018 DEC 01 20:53:53	2018 DEC 01 21:23:07	2018 DEC 01 21:52:22	3508.7	59.9	106.6	-134.4	12.7	-69.0	-12.5	50.9	9.9	1	HDO CO 3SUBD 01	Science: orders #167, #121, #190, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 78: NADIR: Full Frame (57:240;0:1047),Tint = 7000 ms,16 bit,Rhythm = 20148 ms, Binning=0		
5	2018 DEC 01 21:52:22	2018 DEC 01 22:22:06	2018 DEC 01 22:51:50	3568.3	-134.4	-86.8	31.0	-12.5	69.3	12.3	129.1	22.0	4	-	-	-		
5	2018 DEC 01 22:51:50	2018 DEC 01 23:21:05	2018 DEC 01 23:50:20	3510.2	31.0	78.7	-163.3	12.3	-69.3	-12.1	50.9	10.0	4	-		3x COP rows 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
