Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
NOMAD	63	Grazing	2019 JAN 31 16:57:55	-	2019 JAN 31 17:27:07	1752.0	-40.6	-	-40.6	-63.4	-	-63.4	-	5	Nominal Science 1xCO2 LA01	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 305: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1389 ms, Binning=3		
N/A	64	Grazing	2019 JAN 31 18:55:35	-	2019 JAN 31 19:25:13	1778.0	-69.8	-	-69.8	-64.0	-	-64.0	-	4	-	-	-		
NOMAD	65	Grazing	2019 JAN 31 20:53:15	-	2019 JAN 31 21:23:19	1804.0	-99.0	-	-99.0	-64.5	-	-64.5	-	5	All Fullscan Fast	Diffraction order stepping (fullscan): 115 orders from 110 to 225 in steps of 1 (6 order(s) per 1 second(s))	COP row 306: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1389 ms, Binning=3		
N/A	66	Grazing	2019 JAN 31 22:50:59	-	2019 JAN 31 23:21:17	1818.0	-127.9	-	-127.9	-64.8	-	-64.8	-	4	-	-	-		
N/A	67	Grazing	2019 FEB 01 00:48:41	-	2019 FEB 01 01:19:19	1838.0	-157.1	-	-157.1	-65.2	-	-65.2	-	3	-	-	-		
NOMAD	68	Grazing	2019 FEB 01 02:46:23	-	2019 FEB 01 03:17:25	1862.0	173.5	-	173.5	-65.9	-	-65.9	-	5	Nominal Science 1xCO2 LA01	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 305: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1389 ms, Binning=3		
N/A	69	Grazing	2019 FEB 01 04:44:08	-	2019 FEB 01 05:15:34	1886.0	144.3	-	144.3	-66.4	-	-66.4	-	4	-	-	-		
NOMAD	70	Grazing	2019 FEB 01 06:41:56	-	2019 FEB 01 07:13:44	1908.0	115.2	-	115.2	-66.7	-	-66.7	-	5	CH4 01	Science: orders #168, #133, #134, #135, #136, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 306: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1389 ms, Binning=3	grazingMatch:CURIOSITY; 	
N/A	71	Grazing	2019 FEB 01 08:39:40	-	2019 FEB 01 09:11:48	1928.0	86.2	-	86.2	-67.0	-	-67.0	-	4	-	-	-		
NOMAD	72	Grazing	2019 FEB 01 10:37:17	-	2019 FEB 01 11:09:43	1946.0	56.8	-	56.8	-67.5	-	-67.5	-	5	Nominal Science 1xCO2 LA01	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 293: SO: Full Frame (140:205;0:1047),Tint = 45 ms,16 bit,Rhythm = 3361 ms, Binning=0		
