Instrument	Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
N/A	0	Ingress	2019 FEB 23 14:51:58	2019 FEB 23 14:56:31	2019 FEB 23 14:55:26	273.0	70.7	-69.6	19.1	
N/A	1	Egress	2019 FEB 23 15:36:45	2019 FEB 23 15:41:02	2019 FEB 23 15:37:49	257.0	-112.9	75.5	7.6	
N/A	2	Ingress	2019 FEB 23 16:49:50	2019 FEB 23 16:54:24	2019 FEB 23 16:53:19	274.0	41.9	-69.6	19.1	
NOMAD	3	Egress	2019 FEB 23 17:34:37	2019 FEB 23 17:38:54	2019 FEB 23 17:35:40	257.0	-141.4	75.6	7.6	
N/A	4	Ingress	2019 FEB 23 18:47:38	2019 FEB 23 18:52:13	2019 FEB 23 18:51:08	275.0	13.2	-69.6	19.1	
N/A	5	Egress	2019 FEB 23 19:32:25	2019 FEB 23 19:36:42	2019 FEB 23 19:33:29	257.0	-169.9	75.7	7.6	
N/A	6	Ingress	2019 FEB 23 20:45:27	2019 FEB 23 20:50:02	2019 FEB 23 20:48:57	275.0	-15.7	-69.4	19.1	
NOMAD	7	Egress	2019 FEB 23 21:30:14	2019 FEB 23 21:34:31	2019 FEB 23 21:31:18	257.0	161.5	75.8	7.6	
N/A	8	Ingress	2019 FEB 23 22:43:23	2019 FEB 23 22:47:57	2019 FEB 23 22:46:52	274.0	-44.5	-69.3	19.1	
N/A	9	Egress	2019 FEB 23 23:28:08	2019 FEB 23 23:32:26	2019 FEB 23 23:29:12	258.0	132.8	75.9	7.6	
N/A	10	Ingress	2019 FEB 24 00:41:19	2019 FEB 24 00:45:53	2019 FEB 24 00:44:48	274.0	-73.4	-69.2	19.1	
NOMAD	11	Egress	2019 FEB 24 01:26:03	2019 FEB 24 01:30:21	2019 FEB 24 01:27:07	258.0	104.2	76.0	7.7	
N/A	12	Ingress	2019 FEB 24 02:39:12	2019 FEB 24 02:43:46	2019 FEB 24 02:42:41	274.0	-102.1	-69.1	19.1	
N/A	13	Egress	2019 FEB 24 03:23:56	2019 FEB 24 03:28:14	2019 FEB 24 03:25:00	258.0	75.7	76.1	7.7	
N/A	14	Ingress	2019 FEB 24 04:37:02	2019 FEB 24 04:41:38	2019 FEB 24 04:40:33	276.0	-130.9	-69.1	19.1	
NOMAD	15	Egress	2019 FEB 24 05:21:47	2019 FEB 24 05:26:05	2019 FEB 24 05:22:50	258.0	47.3	76.2	7.7	
N/A	16	Ingress	2019 FEB 24 06:34:52	2019 FEB 24 06:39:28	2019 FEB 24 06:38:22	276.0	-159.7	-69.1	19.1	
N/A	17	Egress	2019 FEB 24 07:19:36	2019 FEB 24 07:23:54	2019 FEB 24 07:20:39	258.0	18.7	76.4	7.7	
N/A	18	Ingress	2019 FEB 24 08:32:42	2019 FEB 24 08:37:18	2019 FEB 24 08:36:13	276.0	171.5	-69.0	19.0	
NOMAD	19	Egress	2019 FEB 24 09:17:25	2019 FEB 24 09:21:44	2019 FEB 24 09:18:29	259.0	-9.9	76.4	7.7	
N/A	20	Ingress	2019 FEB 24 10:30:35	2019 FEB 24 10:35:10	2019 FEB 24 10:34:05	275.0	142.6	-68.8	19.0	
N/A	21	Egress	2019 FEB 24 11:15:17	2019 FEB 24 11:19:35	2019 FEB 24 11:16:20	258.0	-38.5	76.5	7.7	
N/A	22	Ingress	2019 FEB 24 12:28:29	2019 FEB 24 12:33:05	2019 FEB 24 12:32:00	276.0	113.8	-68.7	19.0	
NOMAD	23	Egress	2019 FEB 24 13:13:10	2019 FEB 24 13:17:28	2019 FEB 24 13:14:13	258.0	-67.1	76.6	7.7	
N/A	24	Ingress	2019 FEB 24 14:26:24	2019 FEB 24 14:31:00	2019 FEB 24 14:29:55	276.0	85.0	-68.6	19.0	
N/A	25	Egress	2019 FEB 24 15:11:04	2019 FEB 24 15:15:22	2019 FEB 24 15:12:07	258.0	-95.6	76.7	7.7	
N/A	26	Ingress	2019 FEB 24 16:24:18	2019 FEB 24 16:28:54	2019 FEB 24 16:27:49	276.0	56.2	-68.5	19.0	
ACS	27	Egress	2019 FEB 24 17:08:56	2019 FEB 24 17:13:16	2019 FEB 24 17:10:00	260.0	-124.1	76.8	7.7	
