Dayside Nadir Index	UTC Start Time	UTC End Time	UTC Minimum Incidence Angle Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Local Time (hrs)	
0	2019 MAR 23 16:09:08	2019 MAR 23 17:11:47	2019 MAR 23 16:40:29	3760.0	122.6	-95.8	-71.6	-41.9	-42.9	42.2	15.9	
1	2019 MAR 23 18:07:08	2019 MAR 23 19:09:45	2019 MAR 23 18:38:29	3758.0	93.9	-124.4	-100.3	-42.4	-42.4	42.7	15.9	
2	2019 MAR 23 20:05:05	2019 MAR 23 21:07:45	2019 MAR 23 20:36:27	3760.0	65.3	-153.1	-129.0	-42.9	-41.9	43.1	15.9	
3	2019 MAR 23 22:03:04	2019 MAR 23 23:05:47	2019 MAR 23 22:34:27	3762.0	36.6	178.1	-157.7	-43.4	-41.4	43.6	15.9	
4	2019 MAR 24 00:01:08	2019 MAR 24 01:03:49	2019 MAR 24 00:32:31	3760.0	7.9	149.3	173.6	-43.8	-40.9	44.0	15.9	
5	2019 MAR 24 01:59:14	2019 MAR 24 03:01:55	2019 MAR 24 02:30:37	3762.0	-20.9	120.5	144.9	-44.3	-40.4	44.7	15.9	
6	2019 MAR 24 03:57:18	2019 MAR 24 04:59:57	2019 MAR 24 04:28:41	3760.0	-49.6	91.9	116.1	-44.9	-39.9	45.2	15.9	
7	2019 MAR 24 05:55:18	2019 MAR 24 06:57:57	2019 MAR 24 06:26:39	3760.0	-78.3	63.2	87.5	-45.4	-39.3	45.7	15.9	
8	2019 MAR 24 07:53:15	2019 MAR 24 08:55:53	2019 MAR 24 08:24:37	3758.0	-107.0	34.4	58.8	-45.9	-38.9	46.1	15.9	
9	2019 MAR 24 09:51:14	2019 MAR 24 10:53:53	2019 MAR 24 10:22:37	3760.0	-135.7	5.6	30.1	-46.2	-38.5	46.4	15.9	
10	2019 MAR 24 11:49:15	2019 MAR 24 12:51:57	2019 MAR 24 12:20:39	3762.0	-164.3	-23.2	1.4	-46.7	-38.1	46.9	15.9	
11	2019 MAR 24 13:47:18	2019 MAR 24 14:50:01	2019 MAR 24 14:18:41	3764.0	166.9	-52.0	-27.3	-47.1	-37.6	47.4	15.9	
12	2019 MAR 24 15:45:21	2019 MAR 24 16:48:03	2019 MAR 24 16:16:43	3762.0	138.3	-80.7	-56.0	-47.7	-37.0	47.9	15.9	
13	2019 MAR 24 17:43:21	2019 MAR 24 18:46:01	2019 MAR 24 18:14:41	3760.0	109.6	-109.4	-84.7	-48.2	-36.5	48.4	15.9	
14	2019 MAR 24 19:41:17	2019 MAR 24 20:43:57	2019 MAR 24 20:12:39	3760.0	80.9	-138.2	-113.4	-48.6	-36.1	48.7	15.9	
15	2019 MAR 24 21:39:13	2019 MAR 24 22:41:55	2019 MAR 24 22:10:35	3762.0	52.2	-167.0	-142.1	-48.9	-35.8	49.0	15.9	
16	2019 MAR 24 23:37:14	2019 MAR 25 00:39:57	2019 MAR 25 00:08:37	3764.0	23.5	164.1	-170.8	-49.2	-35.3	49.5	15.9	
17	2019 MAR 25 01:35:17	2019 MAR 25 02:37:59	2019 MAR 25 02:06:39	3762.0	-5.2	135.3	160.5	-49.7	-34.9	49.9	15.9	
18	2019 MAR 25 03:33:20	2019 MAR 25 04:36:01	2019 MAR 25 04:04:41	3762.0	-33.9	106.5	131.8	-50.1	-34.5	50.4	15.9	
19	2019 MAR 25 05:31:20	2019 MAR 25 06:33:59	2019 MAR 25 06:02:41	3760.0	-62.6	77.8	103.1	-50.6	-34.0	50.8	15.9	
20	2019 MAR 25 07:29:15	2019 MAR 25 08:31:55	2019 MAR 25 08:00:35	3760.0	-91.3	49.0	74.5	-51.0	-33.6	51.2	15.9	
21	2019 MAR 25 09:27:10	2019 MAR 25 10:29:51	2019 MAR 25 09:58:31	3760.0	-119.9	20.1	45.8	-51.3	-33.3	51.4	15.8	
22	2019 MAR 25 11:25:09	2019 MAR 25 12:27:53	2019 MAR 25 11:56:31	3764.0	-148.6	-8.7	17.1	-51.6	-32.9	51.8	15.8	
23	2019 MAR 25 13:23:10	2019 MAR 25 14:25:55	2019 MAR 25 13:54:33	3764.0	-177.3	-37.6	-11.6	-52.0	-32.5	52.2	15.8	
24	2019 MAR 25 15:21:12	2019 MAR 25 16:23:55	2019 MAR 25 15:52:33	3764.0	154.0	-66.4	-40.3	-52.4	-32.1	52.6	15.8	
25	2019 MAR 25 17:19:11	2019 MAR 25 18:21:55	2019 MAR 25 17:50:31	3764.0	125.3	-95.1	-68.9	-52.8	-31.6	53.0	15.8	
26	2019 MAR 25 19:17:08	2019 MAR 25 20:19:49	2019 MAR 25 19:48:29	3762.0	96.6	-124.0	-97.6	-53.2	-31.3	53.3	15.8	
27	2019 MAR 25 21:15:02	2019 MAR 25 22:17:45	2019 MAR 25 21:46:23	3764.0	68.0	-152.8	-126.3	-53.4	-31.0	53.6	15.8	
