Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	Ingress	2019 MAY 18 15:45:43	2019 MAY 18 15:51:38	2019 MAY 18 15:52:58	435.00	103.57	78.13	65.25	-59.69	-73.99	-76.57	15.07	17	-	-	-	&daysideMatch:NILI FOSSAE; 	
N/A	1	Egress	2019 MAY 18 16:19:37	2019 MAY 18 16:20:54	2019 MAY 18 16:26:27	410.00	-64.15	-65.22	-69.72	-3.24	0.59	15.97	5.99	17	-	-	-	&daysideMatch:NILI FOSSAE; 	
NOMAD	2	Ingress	2019 MAY 18 17:43:35	2019 MAY 18 17:49:28	2019 MAY 18 17:50:48	433.00	74.72	49.29	36.39	-59.85	-74.01	-76.58	15.06	1	136 with 1xDark	Science: orders #136, #136, #136, #136, #136, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
NOMAD	2	Egress	2019 MAY 18 18:17:36	2019 MAY 18 18:18:53	2019 MAY 18 18:24:24	408.00	-92.98	-94.05	-98.53	-2.65	1.17	16.42	5.98	1	Nominal Science 1xCO2 LA01; Nominal Science 1xCO2 HA01	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136); Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
ACS	3	Ingress	2019 MAY 18 19:41:29	2019 MAY 18 19:47:19	2019 MAY 18 19:48:38	429.00	45.80	20.39	7.65	-60.07	-74.05	-76.58	15.05	14	-	-	-		
ACS	3	Egress	2019 MAY 18 20:15:36	2019 MAY 18 20:16:52	2019 MAY 18 20:22:20	404.00	-121.81	-122.87	-127.31	-2.06	1.70	16.77	5.98	14	-	-	-		
NOMAD	4	Ingress	2019 MAY 18 21:39:23	2019 MAY 18 21:45:10	2019 MAY 18 21:46:28	425.00	17.02	-8.05	-20.46	-60.15	-73.97	-76.47	15.06	1	CH4 01	Science: orders #168, #133, #134, #135, #136, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
NOMAD	4	Egress	2019 MAY 18 22:13:41	2019 MAY 18 22:14:56	2019 MAY 18 22:20:21	400.00	-150.69	-151.73	-156.13	-1.36	2.34	17.22	5.97	1	BgSubTest 03	Science: orders #168, #134, #190, #121, #165, #149, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
ACS	5	Ingress	2019 MAY 18 23:37:21	2019 MAY 18 23:43:05	2019 MAY 18 23:44:22	421.00	-11.82	-36.66	-48.78	-60.26	-73.92	-76.40	15.07	14	-	-	-		
ACS	5	Egress	2019 MAY 19 00:11:47	2019 MAY 19 00:13:01	2019 MAY 19 00:18:24	397.00	-179.58	179.39	175.01	-0.63	3.01	17.76	5.96	14	-	-	-		
NOMAD	6	Ingress	2019 MAY 19 01:35:21	2019 MAY 19 01:41:02	2019 MAY 19 01:42:18	417.00	-40.80	-65.69	-77.71	-60.52	-73.99	-76.41	15.05	1	AER 01	Science: orders #119, #133, #143, #154, #169, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
NOMAD	6	Egress	2019 MAY 19 02:09:54	2019 MAY 19 02:11:08	2019 MAY 19 02:16:29	395.00	151.53	150.50	146.14	0.09	3.72	18.34	5.95	1	Nominal Science 1xCO2 LA01; Nominal Science 1xCO2 HA01	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136); Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
N/A	7	Ingress	2019 MAY 19 03:33:17	2019 MAY 19 03:38:56	2019 MAY 19 03:40:12	415.00	-69.70	-94.65	-106.73	-60.72	-74.04	-76.45	15.03	17	-	-	-		
N/A	7	Egress	2019 MAY 19 04:07:57	2019 MAY 19 04:09:10	2019 MAY 19 04:14:30	393.00	122.67	121.65	117.29	0.74	4.32	18.87	5.94	17	-	-	-		
NOMAD	8	Ingress	2019 MAY 19 05:31:08	2019 MAY 19 05:36:46	2019 MAY 19 05:38:01	413.00	-98.49	-123.41	-135.30	-60.80	-74.04	-76.41	15.03	1	Nominal Science 1xCO2 HA02; Nominal Science 1xCO2 LA02	Science: orders #168, #134, #190, #119, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136); Science: orders #168, #134, #190, #119, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
NOMAD	8	Egress	2019 MAY 19 06:05:55	2019 MAY 19 06:07:08	2019 MAY 19 06:12:25	390.00	93.84	92.83	88.50	1.32	4.89	19.27	5.93	1	BgSubTest 03	Science: orders #168, #134, #190, #121, #165, #149, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
ACS	9	Ingress	2019 MAY 19 07:28:57	2019 MAY 19 07:34:32	2019 MAY 19 07:35:47	410.00	-127.22	-151.74	-163.45	-60.84	-73.93	-76.32	15.05	14	-	-	-		
ACS	9	Egress	2019 MAY 19 08:03:53	2019 MAY 19 08:05:05	2019 MAY 19 08:10:19	386.00	65.02	64.02	59.73	1.87	5.38	19.58	5.93	14	-	-	-		
NOMAD	10	Ingress	2019 MAY 19 09:26:55	2019 MAY 19 09:32:27	2019 MAY 19 09:33:41	406.00	-156.15	179.40	167.86	-61.04	-73.96	-76.30	15.04	1	BgSubTest 04	Science: orders #168, #136, #189, #119, #166, #148, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
NOMAD	10	Egress	2019 MAY 19 10:01:56	2019 MAY 19 10:03:07	2019 MAY 19 10:08:19	383.00	36.18	35.19	30.92	2.43	5.88	19.94	5.92	1	Dust H2O 01	Science: orders #119, #130, #145, #171, #191, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
ACS	11	Ingress	2019 MAY 19 11:24:52	2019 MAY 19 11:30:22	2019 MAY 19 11:31:35	403.00	174.95	150.49	139.12	-61.22	-73.99	-76.29	15.02	14	-	-	-		
ACS	11	Egress	2019 MAY 19 12:00:00	2019 MAY 19 12:01:11	2019 MAY 19 12:06:20	380.00	7.32	6.33	2.10	3.04	6.48	20.37	5.91	14	-	-	-		
NOMAD	12	Ingress	2019 MAY 19 13:22:47	2019 MAY 19 13:28:15	2019 MAY 19 13:29:28	401.00	146.15	121.88	110.58	-61.30	-73.95	-76.25	15.03	1	Nominal Science 1xCO2 HA01; Nominal Science 1xCO2 LA01	Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136); Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
NOMAD	12	Egress	2019 MAY 19 13:58:04	2019 MAY 19 13:59:14	2019 MAY 19 14:04:21	377.00	-21.54	-22.51	-26.73	3.67	7.05	20.82	5.90	1	Nominal Science 1xCO2 LA01; Nominal Science 1xCO2 HA01	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136); Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
N/A	13	Ingress	2019 MAY 19 15:20:40	2019 MAY 19 15:26:07	2019 MAY 19 15:27:19	399.00	117.37	93.16	82.07	-61.36	-73.94	-76.20	15.03	3	-	-	-	&daysideMatch:NILI FOSSAE; 	
N/A	13	Egress	2019 MAY 19 15:56:05	2019 MAY 19 15:57:14	2019 MAY 19 16:02:20	375.00	-50.39	-51.35	-55.56	4.28	7.61	21.29	5.90	3	-	-	-	&daysideMatch:NILI FOSSAE; 	
N/A	14	Ingress	2019 MAY 19 17:18:31	2019 MAY 19 17:23:57	2019 MAY 19 17:25:09	398.00	88.59	64.44	53.38	-61.44	-73.93	-76.19	15.02	14	-	-	-		
