Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	Nightside	2021 JAN 23 14:04:40	2021 JAN 23 14:34:11	2021 JAN 23 15:03:42	3542.2	-41.7	78.5	123.9	70.0	13.3	-70.0	150.0	1.9	3	-	-	-		
1	Dayside	2021 JAN 23 15:03:42	2021 JAN 23 15:33:08	2021 JAN 23 16:02:34	3531.5	123.9	-115.6	-70.4	-70.0	-11.7	70.0	29.9	13.9	3	CH4 H2O 2SUBD 02	Science: orders #136, #168, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&daysideMatch:PAVONIS MONS; 	
2	Nightside	2021 JAN 23 16:02:34	2021 JAN 23 16:32:05	2021 JAN 23 17:01:35	3541.8	-70.4	49.6	95.3	70.0	13.1	-70.1	150.2	1.9	1	-	-	-		
2	Dayside	2021 JAN 23 17:01:35	2021 JAN 23 17:31:02	2021 JAN 23 18:00:29	3533.2	95.3	-144.5	-99.0	-70.1	-11.6	70.0	29.6	13.9	1	-		COP row -1: 		
3	Nightside	2021 JAN 23 18:00:29	2021 JAN 23 18:30:00	2021 JAN 23 18:59:32	3543.1	-99.0	20.6	66.6	70.0	13.0	-70.1	150.5	1.9	14	-	-	-		
3	Dayside	2021 JAN 23 18:59:32	2021 JAN 23 19:28:59	2021 JAN 23 19:58:26	3534.7	66.6	-173.5	-127.7	-70.1	-11.5	70.1	29.4	13.9	14	-		COP row -1: 		
4	Nightside	2021 JAN 23 19:58:26	2021 JAN 23 20:27:59	2021 JAN 23 20:57:32	3545.1	-127.7	-8.4	37.9	70.1	13.0	-70.1	150.8	1.9	1	-	-	-		
4	Dayside	2021 JAN 23 20:57:32	2021 JAN 23 21:26:59	2021 JAN 23 21:56:25	3534.0	37.9	157.6	-156.4	-70.1	-11.4	70.2	29.1	13.9	1	-		COP row -1: 	&daysideMatch:ELYSIUM CERBERUS PHLEGRA; 	
5	Nightside	2021 JAN 23 21:56:25	2021 JAN 23 22:25:59	2021 JAN 23 22:55:32	3546.5	-156.4	-37.3	9.2	70.2	12.8	-70.2	151.0	1.8	14	-	-	-		
5	Dayside	2021 JAN 23 22:55:32	2021 JAN 23 23:24:58	2021 JAN 23 23:54:24	3532.3	9.2	128.6	174.9	-70.2	-11.3	70.3	28.9	13.9	14	-		COP row -1: 	&daysideMatch:INSIGHT; 	
6	Nightside	2021 JAN 23 23:54:24	2021 JAN 24 00:23:57	2021 JAN 24 00:53:30	3546.1	174.9	-66.2	-19.5	70.3	12.7	-70.3	151.2	1.8	28	-	-	-		
6	Dayside	2021 JAN 24 00:53:30	2021 JAN 24 01:22:56	2021 JAN 24 01:52:21	3530.8	-19.5	99.7	146.2	-70.3	-11.2	70.4	28.6	13.8	28	Limb 2SUBD 07	Science: orders #164, #164, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&trueDayLimb; 	
7	Nightside	2021 JAN 24 01:52:21	2021 JAN 24 02:21:53	2021 JAN 24 02:51:25	3544.1	146.2	-95.1	-48.2	70.4	12.6	-70.5	151.5	1.8	3	-	-	-		
7	Dayside	2021 JAN 24 02:51:25	2021 JAN 24 03:20:51	2021 JAN 24 03:50:16	3530.4	-48.2	70.8	117.5	-70.5	-11.1	70.5	28.4	13.8	3	H2O 2SUBD 01	Science: orders #167, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&daysideMatch:PERSEVERANCE; 	
