Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	45	Ingress	2021 SEP 04 14:58:00	2021 SEP 04 15:01:54	2021 SEP 04 15:02:45	285.00	67.65	78.68	80.80	57.73	51.56	49.97	3.55	3	-	-	-		
N/A	1	45	Egress	2021 SEP 04 15:37:04	2021 SEP 04 15:37:57	2021 SEP 04 15:42:12	308.00	152.51	155.59	172.46	-56.48	-57.86	-62.73	9.27	3	-	-	-		
NOMAD	2	45	Ingress	2021 SEP 04 16:55:50	2021 SEP 04 16:59:43	2021 SEP 04 17:00:34	284.00	38.54	49.61	51.74	57.91	51.83	50.25	3.53	1	6SUBD Nominal #51	Science: orders #121, #136, #129, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	2	45	Egress	2021 SEP 04 17:34:58	2021 SEP 04 17:35:51	2021 SEP 04 17:40:04	306.00	123.79	126.85	143.48	-56.47	-57.84	-62.68	9.26	1	HDO 01	Science: orders #168, #134, #124, #129, #190, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
ACS	3	45	Ingress	2021 SEP 04 18:53:45	2021 SEP 04 18:57:37	2021 SEP 04 18:58:27	282.00	9.52	20.60	22.70	58.03	52.04	50.50	3.51	14	-	-	-		
ACS	3	45	Egress	2021 SEP 04 19:32:56	2021 SEP 04 19:33:49	2021 SEP 04 19:38:01	305.00	95.13	98.18	114.66	-56.49	-57.86	-62.66	9.27	14	-	-	-		
NOMAD	4	45	Ingress	2021 SEP 04 20:51:41	2021 SEP 04 20:55:31	2021 SEP 04 20:56:21	280.00	-19.47	-8.45	-6.32	58.15	52.26	50.73	3.48	1	134 only #2	Science: orders #134, #134, #134, #134, #134, #134, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:AEOLIS MENSAE MFF; &daysideMatch:CURIOSITY; 	
NOMAD	4	45	Egress	2021 SEP 04 21:30:56	2021 SEP 04 21:31:48	2021 SEP 04 21:36:00	304.00	66.56	69.54	85.97	-56.56	-57.89	-62.67	9.27	1	6SUBD Nominal #48	Science: orders #121, #134, #129, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:AEOLIS MENSAE MFF; &daysideMatch:CURIOSITY; 	
ACS	5	45	Ingress	2021 SEP 04 22:49:35	2021 SEP 04 22:53:24	2021 SEP 04 22:54:14	279.00	-48.53	-37.50	-35.36	58.29	52.49	50.98	3.46	14	-	-	-		
ACS	5	45	Egress	2021 SEP 04 23:28:56	2021 SEP 04 23:29:48	2021 SEP 04 23:33:59	303.00	38.08	41.07	57.40	-56.66	-57.98	-62.69	9.29	14	-	-	-		
NOMAD	6	45	Ingress	2021 SEP 05 00:47:26	2021 SEP 05 00:51:14	2021 SEP 05 00:52:04	278.00	-77.58	-66.54	-64.39	58.43	52.72	51.22	3.43	1	6SUBD Nominal #42	Science: orders #121, #134, #169, #129, #149, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	6	45	Egress	2021 SEP 05 01:26:53	2021 SEP 05 01:27:45	2021 SEP 05 01:31:55	302.00	9.66	12.65	28.91	-56.79	-58.10	-62.73	9.31	1	Dust H2O 01	Science: orders #119, #130, #145, #171, #191, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
N/A	7	45	Ingress	2021 SEP 05 02:45:16	2021 SEP 05 02:49:04	2021 SEP 05 02:49:53	277.00	-106.61	-95.52	-93.41	58.56	52.91	51.45	3.41	14	-	-	-		
N/A	7	45	Egress	2021 SEP 05 03:24:47	2021 SEP 05 03:25:39	2021 SEP 05 03:29:48	301.00	-18.86	-15.86	0.30	-56.86	-58.16	-62.75	9.32	14	-	-	-		
NOMAD	8	45	Ingress	2021 SEP 05 04:43:06	2021 SEP 05 04:46:53	2021 SEP 05 04:47:42	276.00	-135.66	-124.56	-122.43	58.70	53.13	51.69	3.39	1	6SUBD CO2 CO #1	Science: orders #119, #149, #164, #165, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&mroOverlap; 	
NOMAD	8	45	Egress	2021 SEP 05 05:22:40	2021 SEP 05 05:23:31	2021 SEP 05 05:27:39	299.00	-47.60	-44.68	-28.71	-56.84	-58.11	-62.69	9.31	1	6SUBD Nominal #51	Science: orders #121, #136, #129, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&mroOverlap; 	
ACS	9	45	Ingress	2021 SEP 05 06:40:59	2021 SEP 05 06:44:44	2021 SEP 05 06:45:33	274.00	-164.78	-153.70	-151.55	58.85	53.40	51.97	3.36	3	-	-	-	&daysideMatch:MERIDIANI SULPHATES; &mroOverlap; 	
