Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	88	Nightside	2024 DEC 21 15:50:42	2024 DEC 21 16:20:07	2024 DEC 21 16:49:32	3529.26	37.76	84.72	-156.57	72.31	-9.75	-72.28	170.15	23.35	3	-	-	-		
1	88	Dayside	2024 DEC 21 16:49:32	2024 DEC 21 17:19:03	2024 DEC 21 17:48:35	3543.41	-156.57	-109.32	9.03	-72.28	11.37	72.25	9.99	11.37	3	H2O CO 2SUBD #1	Science: orders #168, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&daysideMatch:CERAUNIUS FOSSAE; 	
2	88	Nightside	2024 DEC 21 17:48:35	2024 DEC 21 18:18:00	2024 DEC 21 18:47:25	3529.57	9.03	55.83	174.69	72.25	-9.87	-72.22	169.94	23.33	1	-	-	-		
2	88	Dayside	2024 DEC 21 18:47:25	2024 DEC 21 19:16:57	2024 DEC 21 19:46:30	3545.34	174.69	-138.22	-19.78	-72.22	11.43	72.15	10.19	11.35	1	-		COP row -1: 		
3	88	Nightside	2024 DEC 21 19:46:30	2024 DEC 21 20:15:55	2024 DEC 21 20:45:21	3530.86	-19.78	26.93	145.86	72.15	-9.96	-72.11	169.72	23.32	14	-	-	-		
3	88	Dayside	2024 DEC 21 20:45:21	2024 DEC 21 21:14:54	2024 DEC 21 21:44:28	3546.77	145.86	-167.14	-48.57	-72.11	11.53	72.07	10.42	11.34	14	-		COP row -1: 		
4	88	Nightside	2024 DEC 21 21:44:28	2024 DEC 21 22:13:54	2024 DEC 21 22:43:20	3532.39	-48.57	-2.02	117.07	72.07	-10.01	-72.03	169.49	23.30	1	-	-	-		
4	88	Dayside	2024 DEC 21 22:43:20	2024 DEC 21 23:12:53	2024 DEC 21 23:42:26	3545.96	117.07	163.92	-77.31	-72.03	11.64	72.02	10.66	11.32	1	-		COP row -1: 	&daysideMatch:ELYSIUM CERBERUS PHLEGRA; 	
5	88	Nightside	2024 DEC 21 23:42:26	2024 DEC 22 00:11:53	2024 DEC 22 00:41:19	3533.48	-77.31	-30.96	88.35	72.02	-10.09	-72.00	169.26	23.29	14	-	-	-		
5	88	Dayside	2024 DEC 22 00:41:19	2024 DEC 22 01:10:51	2024 DEC 22 01:40:23	3543.99	88.35	134.98	-106.01	-72.00	11.71	71.99	10.89	11.31	14	-		COP row -1: 	&daysideMatch:INSIGHT; 	
6	88	Nightside	2024 DEC 22 01:40:23	2024 DEC 22 02:09:50	2024 DEC 22 02:39:16	3533.07	-106.01	-59.90	59.69	71.99	-10.18	-72.00	169.02	23.27	1	-	-	-		
6	88	Dayside	2024 DEC 22 02:39:16	2024 DEC 22 03:08:48	2024 DEC 22 03:38:19	3542.36	59.69	106.05	-134.67	-72.00	11.77	71.98	11.11	11.29	1	-		COP row -1: 	&daysideMatch:TIANWEN1; &mroOverlap; 	
7	88	Nightside	2024 DEC 22 03:38:19	2024 DEC 22 04:07:44	2024 DEC 22 04:37:10	3531.27	-134.67	-88.82	31.04	71.98	-10.26	-71.98	168.80	23.26	1	-	-	-		
7	88	Dayside	2024 DEC 22 04:37:10	2024 DEC 22 05:06:41	2024 DEC 22 05:36:12	3542.31	31.04	77.14	-163.35	-71.98	11.85	71.96	11.33	11.28	1	H2O CO 2SUBD #1	Science: orders #168, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&daysideMatch:PERSEVERANCE; 	
8	88	Nightside	2024 DEC 22 05:36:12	2024 DEC 22 06:05:38	2024 DEC 22 06:35:03	3530.66	-163.35	-117.71	2.28	71.96	-10.32	-71.91	168.59	23.25	14	-	-	-		
8	88	Dayside	2024 DEC 22 06:35:03	2024 DEC 22 07:04:35	2024 DEC 22 07:34:07	3543.54	2.28	48.25	167.87	-71.91	11.96	71.87	11.54	11.27	14	-		COP row -1: 		
9	88	Nightside	2024 DEC 22 07:34:07	2024 DEC 22 08:03:33	2024 DEC 22 08:32:59	3532.83	167.87	-146.61	-26.53	71.87	-10.41	-71.81	168.38	23.23	1	-	-	-		
9	88	Dayside	2024 DEC 22 08:32:59	2024 DEC 22 09:02:32	2024 DEC 22 09:32:04	3544.77	-26.53	19.34	139.05	-71.81	12.01	71.77	11.75	11.25	1	-		COP row -1: 		
10	88	Nightside	2024 DEC 22 09:32:04	2024 DEC 22 10:01:31	2024 DEC 22 10:30:58	3533.57	139.05	-175.54	-55.30	71.77	-10.53	-71.74	168.15	23.22	14	-	-	-		
