UTC TIME WHEN LNO OBSERVING CLOSE TO INSIGHT, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2019 DEC 30 12:47:21, 57.8, 15.8, #167 #169
2020 JAN 01 13:55:01, 51.6, 15.4, #136 #168
2020 JAN 03 15:02:53, 45.8, 15.0, #136 #168
2020 JAN 06 15:44:27, 34.9, 14.3, #134 #136
2020 JAN 08 16:52:47, 30.1, 13.9, #136 #136
2020 JAN 10 18:00:28, 24.3, 13.4, #134 #136
2020 JAN 15 19:50:41, 12.8, 12.3, #136 #136
2020 JAN 17 20:58:33, 12.1, 11.9, #134 #136
2020 JAN 19 22:07:20, 16.6, 11.5, #167 #169
2020 JAN 22 22:48:43, 20.7, 10.8, #136 #190
2020 JAN 24 23:56:27, 26.3, 10.4, #134 #190
