UTC TIME WHEN LNO OBSERVING CLOSE TO CURIOSITY, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2020 AUG 09 11:51:56, 51.1, 15.3, #136 #189
2020 AUG 11 12:59:32, 45.0, 14.8, #136 #189
2020 AUG 14 13:40:41, 38.1, 14.1, #136 #136
2020 AUG 16 14:49:36, 31.3, 13.7, #136 #168
2020 AUG 18 15:57:06, 27.0, 13.2, #136 #168
2020 AUG 23 17:47:25, 21.0, 12.0, #136 #189
2020 AUG 25 18:55:13, 21.7, 11.6, #136 #189
2020 AUG 27 20:04:05, 21.1, 11.2, #136 #168
2020 AUG 30 20:45:22, 31.3, 10.4, #136 #168
2020 SEP 01 21:53:05, 36.5, 9.9, #136 #189
2020 SEP 03 23:00:58, 41.7, 9.5, #136 #189
