AOTF_frequency_khz	Diffraction_order
14886	108
15042	109
15197	110
15353	111
15509	112
15664	113
15820	114
15975	115
16131	116
16287	117
16442	118
16598	119
16753	120
16909	121
17064	122
17219	123
17375	124
17530	125
17685	126
17841	127
17996	128
18151	129
18306	130
18461	131
18616	132
18771	133
18927	134
19082	135
19236	136
19391	137
19547	138
19701	139
19856	140
20011	141
20166	142
20321	143
20475	144
20630	145
20784	146
20940	147
21094	148
21249	149
21403	150
21557	151
21712	152
21867	153
22021	154
22175	155
22330	156
22484	157
22639	158
22793	159
22948	160
23102	161
23256	162
23410	163
23564	164
23719	165
23873	166
24026	167
24180	168
24335	169
24489	170
24643	171
24796	172
24951	173
25105	174
25258	175
25412	176
25566	177
25720	178
25873	179
26027	180
26181	181
26335	182
26488	183
26642	184
26795	185
26949	186
27103	187
27256	188
27409	189
27562	190
27716	191
27870	192
28023	193
28176	194
28330	195
28483	196
28636	197
28789	198
28943	199
29096	200
29249	201
29402	202
29554	203
29708	204
29861	205
30014	206
30167	207
30320	208
30473	209
30625	210
30778	211
30932	212
31084	213
31237	214
31389	215
31542	216
31695	217
31848	218
32000	219
32152	220
