Diffraction_order	Wavenumber_start_cm-1	Wavenumber_end_cm-1
210	4720.40	4758.11
209	4697.93	4735.45
208	4675.45	4712.80
207	4652.97	4690.14
206	4630.49	4667.48
205	4608.01	4644.82
204	4585.54	4622.16
203	4563.06	4599.51
202	4540.58	4576.85
201	4518.10	4554.19
200	4495.62	4531.53
199	4473.14	4508.88
198	4450.67	4486.22
197	4428.19	4463.56
196	4405.71	4440.90
195	4383.23	4418.25
194	4360.75	4395.59
193	4338.28	4372.93
192	4315.80	4350.27
191	4293.32	4327.61
190	4270.84	4304.96
189	4248.36	4282.30
188	4225.89	4259.64
187	4203.41	4236.98
186	4180.93	4214.33
185	4158.45	4191.67
184	4135.97	4169.01
183	4113.49	4146.35
182	4091.02	4123.70
181	4068.54	4101.04
180	4046.06	4078.38
179	4023.58	4055.72
178	4001.10	4033.07
177	3978.63	4010.41
176	3956.15	3987.75
175	3933.67	3965.09
174	3911.19	3942.43
173	3888.71	3919.78
172	3866.24	3897.12
171	3843.76	3874.46
170	3821.28	3851.80
169	3798.80	3829.15
168	3776.32	3806.49
167	3753.84	3783.83
166	3731.37	3761.17
165	3708.89	3738.52
164	3686.41	3715.86
163	3663.93	3693.20
162	3641.45	3670.54
161	3618.98	3647.88
160	3596.50	3625.23
159	3574.02	3602.57
158	3551.54	3579.91
157	3529.06	3557.25
156	3506.59	3534.60
155	3484.11	3511.94
154	3461.63	3489.28
153	3439.15	3466.62
152	3416.67	3443.97
151	3394.20	3421.31
150	3371.72	3398.65
149	3349.24	3375.99
148	3326.76	3353.34
147	3304.28	3330.68
146	3281.80	3308.02
145	3259.33	3285.36
144	3236.85	3262.70
143	3214.37	3240.05
142	3191.89	3217.39
141	3169.41	3194.73
140	3146.94	3172.07
139	3124.46	3149.42
138	3101.98	3126.76
137	3079.50	3104.10
136	3057.02	3081.44
135	3034.55	3058.79
134	3012.07	3036.13
133	2989.59	3013.47
132	2967.11	2990.81
131	2944.63	2968.15
130	2922.15	2945.50
129	2899.68	2922.84
128	2877.20	2900.18
127	2854.72	2877.52
126	2832.24	2854.87
125	2809.76	2832.21
124	2787.29	2809.55
123	2764.81	2786.89
122	2742.33	2764.24
121	2719.85	2741.58
120	2697.37	2718.92
119	2674.90	2696.26
118	2652.42	2673.61
117	2629.94	2650.95
116	2607.46	2628.29
115	2584.98	2605.63
114	2562.50	2582.97
113	2540.03	2560.32
112	2517.55	2537.66
111	2495.07	2515.00
110	2472.59	2492.34
109	2450.11	2469.69
108	2427.64	2447.03
107	2405.16	2424.37
106	2382.68	2401.71
105	2360.20	2379.06
104	2337.72	2356.40
103	2315.25	2333.74
102	2292.77	2311.08
101	2270.29	2288.42
100	2247.81	2265.77
99	2225.33	2243.11
98	2202.86	2220.45
97	2180.38	2197.79
