UTC Time,Longitude,Latitude,Local Solar Time,Emission Angle,Phase Angle,Solar Angle,Distance (km)
2016 NOV 22 10:02:43,-124.0,46.9,02:34:46,54.3,136.7,142.3,39218.8
2016 NOV 22 10:02:53,-124.1,46.9,02:34:47,54.3,136.7,142.3,39208.0
2016 NOV 22 10:03:03,-124.1,46.9,02:34:48,54.3,136.7,142.4,39197.1
2016 NOV 22 10:03:13,-124.2,46.8,02:34:49,54.3,136.7,142.4,39186.3
2016 NOV 22 10:03:23,-124.2,46.8,02:34:50,54.2,136.7,142.4,39175.4
2016 NOV 22 10:03:33,-124.2,46.8,02:34:50,54.2,136.7,142.4,39164.6
2016 NOV 22 10:03:43,-124.3,46.8,02:34:51,54.2,136.7,142.4,39153.7
2016 NOV 22 10:03:53,-124.3,46.7,02:34:52,54.2,136.7,142.4,39142.9
2016 NOV 22 10:04:03,-124.3,46.7,02:34:53,54.2,136.7,142.4,39132.0
2016 NOV 22 10:04:13,-124.4,46.7,02:34:54,54.1,136.7,142.4,39121.1
2016 NOV 22 10:04:23,-124.4,46.7,02:34:55,54.1,136.7,142.4,39110.3
2016 NOV 22 10:04:33,-124.5,46.7,02:34:56,54.1,136.7,142.4,39099.4
2016 NOV 22 10:04:43,-124.5,46.6,02:34:56,54.1,136.7,142.4,39088.5
2016 NOV 22 10:04:53,-124.5,46.6,02:34:57,54.1,136.7,142.4,39077.6
2016 NOV 22 10:05:03,-124.6,46.6,02:34:58,54.0,136.7,142.4,39066.8
2016 NOV 22 10:05:13,-124.6,46.6,02:34:59,54.0,136.7,142.4,39055.9
2016 NOV 22 10:05:23,-124.6,46.5,02:35:00,54.0,136.7,142.4,39045.0
2016 NOV 22 10:05:33,-124.7,46.5,02:35:01,54.0,136.6,142.4,39034.1
2016 NOV 22 10:05:43,-124.7,46.5,02:35:02,53.9,136.6,142.5,39023.2
2016 NOV 22 10:05:53,-124.7,46.5,02:35:02,53.9,136.6,142.5,39012.3
2016 NOV 22 10:06:03,-124.8,46.4,02:35:03,53.9,136.6,142.5,39001.5
2016 NOV 22 10:06:13,-124.8,46.4,02:35:04,53.9,136.6,142.5,38990.6
2016 NOV 22 10:06:23,-124.9,46.4,02:35:05,53.9,136.6,142.5,38979.7
2016 NOV 22 10:06:33,-124.9,46.4,02:35:06,53.8,136.6,142.5,38968.8
2016 NOV 22 10:06:43,-124.9,46.4,02:35:07,53.8,136.6,142.5,38957.9
2016 NOV 22 10:06:53,-125.0,46.3,02:35:08,53.8,136.6,142.5,38947.0
2016 NOV 22 10:07:03,-125.0,46.3,02:35:09,53.8,136.6,142.5,38936.1
2016 NOV 22 10:07:13,-125.0,46.3,02:35:09,53.7,136.6,142.5,38925.2
2016 NOV 22 10:07:23,-125.1,46.3,02:35:10,53.7,136.6,142.5,38914.2
2016 NOV 22 10:07:33,-125.1,46.2,02:35:11,53.7,136.6,142.5,38903.3
2016 NOV 22 10:07:43,-125.2,46.2,02:35:12,53.7,136.6,142.5,38892.4
2016 NOV 22 10:07:53,-125.2,46.2,02:35:13,53.7,136.6,142.5,38881.5
2016 NOV 22 10:08:03,-125.2,46.2,02:35:14,53.6,136.6,142.5,38870.6
2016 NOV 22 10:08:13,-125.3,46.1,02:35:15,53.6,136.6,142.5,38859.7
2016 NOV 22 10:08:23,-125.3,46.1,02:35:16,53.6,136.6,142.5,38848.7
2016 NOV 22 10:08:33,-125.3,46.1,02:35:17,53.6,136.6,142.6,38837.8
2016 NOV 22 10:08:43,-125.4,46.1,02:35:17,53.5,136.6,142.6,38826.9
2016 NOV 22 10:08:53,-125.4,46.1,02:35:18,53.5,136.5,142.6,38816.0
2016 NOV 22 10:09:03,-125.4,46.0,02:35:19,53.5,136.5,142.6,38805.0
2016 NOV 22 10:09:13,-125.5,46.0,02:35:20,53.5,136.5,142.6,38794.1
2016 NOV 22 10:09:23,-125.5,46.0,02:35:21,53.5,136.5,142.6,38783.2
2016 NOV 22 10:09:33,-125.6,46.0,02:35:22,53.4,136.5,142.6,38772.2
2016 NOV 22 10:09:43,-125.6,45.9,02:35:23,53.4,136.5,142.6,38761.3
2016 NOV 22 10:09:53,-125.6,45.9,02:35:24,53.4,136.5,142.6,38750.3
2016 NOV 22 10:10:03,-125.7,45.9,02:35:25,53.4,136.5,142.6,38739.4
2016 NOV 22 10:10:13,-125.7,45.9,02:35:26,53.4,136.5,142.6,38728.4
2016 NOV 22 10:10:23,-125.7,45.9,02:35:27,53.3,136.5,142.6,38717.5
2016 NOV 22 10:10:33,-125.8,45.8,02:35:27,53.3,136.5,142.6,38706.5
2016 NOV 22 10:10:43,-125.8,45.8,02:35:28,53.3,136.5,142.6,38695.6
2016 NOV 22 10:10:53,-125.9,45.8,02:35:29,53.3,136.5,142.6,38684.6
2016 NOV 22 10:11:03,-125.9,45.8,02:35:30,53.2,136.5,142.6,38673.6
2016 NOV 22 10:11:13,-125.9,45.7,02:35:31,53.2,136.5,142.6,38662.7
2016 NOV 22 10:11:23,-126.0,45.7,02:35:32,53.2,136.5,142.6,38651.7
2016 NOV 22 10:11:33,-126.0,45.7,02:35:33,53.2,136.5,142.7,38640.8
