UTC Time,Longitude,Latitude,Local Solar Time,Emission Angle,Phase Angle,Solar Angle,Distance (km)
2016 NOV 22 13:56:43,127.0,-31.1,23:06:41,70.9,121.9,122.0,20937.3
2016 NOV 22 13:56:53,136.2,-31.4,23:43:43,62.9,122.5,123.0,20921.2
2016 NOV 22 13:57:03,143.2,-31.8,00:11:51,57.0,123.0,122.7,20905.1
2016 NOV 22 13:57:13,149.1,-32.1,00:35:34,52.3,123.6,121.8,20889.0
2016 NOV 22 13:57:23,154.3,-32.5,00:56:34,48.3,124.2,120.5,20872.8
2016 NOV 22 13:57:33,159.1,-32.8,01:15:42,45.0,124.7,119.0,20856.7
2016 NOV 22 13:57:43,163.5,-33.2,01:33:29,42.3,125.2,117.3,20840.6
2016 NOV 22 13:57:53,167.6,-33.6,01:50:16,40.2,125.8,115.4,20824.4
2016 NOV 22 13:58:03,171.6,-34.0,02:06:16,38.5,126.3,113.4,20808.3
2016 NOV 22 13:58:13,175.4,-34.4,02:21:40,37.4,126.8,111.3,20792.1
2016 NOV 22 13:58:23,179.1,-34.9,02:36:37,36.7,127.3,109.2,20775.9
2016 NOV 22 13:58:33,-177.3,-35.3,02:51:13,36.5,127.8,107.0,20759.8
2016 NOV 22 13:58:43,-173.7,-35.8,03:05:34,36.8,128.3,104.7,20743.6
2016 NOV 22 13:58:53,-170.2,-36.3,03:19:46,37.4,128.8,102.4,20727.4
2016 NOV 22 13:59:03,-166.7,-36.7,03:33:52,38.5,129.2,100.0,20711.2
2016 NOV 22 13:59:13,-163.3,-37.2,03:47:58,39.8,129.7,97.6,20695.0
2016 NOV 22 13:59:23,-159.8,-37.8,04:02:07,41.5,130.1,95.1,20678.8
2016 NOV 22 13:59:33,-156.2,-38.3,04:16:26,43.4,130.6,92.5,20662.6
2016 NOV 22 13:59:43,-152.6,-38.8,04:30:58,45.6,131.0,89.9,20646.4
2016 NOV 22 13:59:53,-149.0,-39.4,04:45:50,48.0,131.4,87.2,20630.2
2016 NOV 22 14:00:03,-145.2,-39.9,05:01:09,50.6,131.8,84.3,20613.9
2016 NOV 22 14:00:13,-141.2,-40.5,05:17:04,53.4,132.1,81.4,20597.7
2016 NOV 22 14:00:23,-137.1,-41.1,05:33:47,56.5,132.5,78.3,20581.5
2016 NOV 22 14:00:33,-132.7,-41.6,05:51:35,59.8,132.9,75.0,20565.2
2016 NOV 22 14:00:43,-127.9,-42.2,06:10:55,63.4,133.2,71.4,20549.0
2016 NOV 22 14:00:53,-122.5,-42.9,06:32:34,67.5,133.5,67.4,20532.7
2016 NOV 22 14:01:03,-116.2,-43.5,06:58:07,72.3,133.8,62.7,20516.4
2016 NOV 22 14:01:13,-107.6,-44.3,07:32:22,78.6,134.1,56.6,20500.1
2016 NOV 22 14:10:03,-99.3,-36.4,08:14:32,84.7,133.7,49.0,19627.7
2016 NOV 22 14:10:13,-104.0,-35.9,07:55:52,80.8,133.6,52.8,19611.1
2016 NOV 22 14:10:23,-107.1,-35.5,07:43:19,78.2,133.5,55.4,19594.4
2016 NOV 22 14:10:33,-109.7,-35.0,07:33:20,76.0,133.4,57.4,19577.7
2016 NOV 22 14:10:43,-111.8,-34.6,07:24:51,74.1,133.3,59.2,19561.1
2016 NOV 22 14:10:53,-113.7,-34.2,07:17:23,72.4,133.2,60.8,19544.4
2016 NOV 22 14:11:03,-115.5,-33.8,07:10:41,70.9,133.1,62.2,19527.7
2016 NOV 22 14:11:13,-117.0,-33.5,07:04:35,69.5,133.0,63.6,19511.0
2016 NOV 22 14:11:23,-118.5,-33.1,06:58:57,68.1,132.9,64.8,19494.3
2016 NOV 22 14:11:33,-119.8,-32.7,06:53:42,66.9,132.8,65.9,19477.6
2016 NOV 22 14:11:43,-121.1,-32.3,06:48:48,65.7,132.7,67.0,19460.9
2016 NOV 22 14:11:53,-122.3,-32.0,06:44:11,64.5,132.6,68.1,19444.2
2016 NOV 22 14:12:03,-123.4,-31.6,06:39:49,63.5,132.5,69.1,19427.4
2016 NOV 22 14:12:13,-124.5,-31.2,06:35:40,62.4,132.4,70.0,19410.7
2016 NOV 22 14:12:23,-125.5,-30.9,06:31:43,61.4,132.3,70.9,19393.9
2016 NOV 22 14:12:33,-126.5,-30.5,06:27:57,60.4,132.2,71.8,19377.2
2016 NOV 22 14:12:43,-127.4,-30.2,06:24:21,59.5,132.1,72.6,19360.4
2016 NOV 22 14:12:53,-128.4,-29.9,06:20:53,58.5,132.0,73.5,19343.7
2016 NOV 22 14:13:03,-129.2,-29.5,06:17:33,57.7,131.9,74.3,19326.9
2016 NOV 22 14:13:13,-130.1,-29.2,06:14:20,56.8,131.8,75.0,19310.1
2016 NOV 22 14:13:23,-130.9,-28.9,06:11:14,55.9,131.7,75.8,19293.3
2016 NOV 22 14:13:33,-131.7,-28.5,06:08:15,55.1,131.6,76.5,19276.5
2016 NOV 22 14:13:43,-132.4,-28.2,06:05:21,54.3,131.5,77.2,19259.7
2016 NOV 22 14:13:53,-133.2,-27.9,06:02:32,53.5,131.4,77.9,19242.9
2016 NOV 22 14:14:03,-133.9,-27.6,05:59:49,52.7,131.3,78.6,19226.1
2016 NOV 22 14:14:13,-134.6,-27.2,05:57:11,51.9,131.2,79.3,19209.3
2016 NOV 22 14:14:23,-135.3,-26.9,05:54:36,51.2,131.1,79.9,19192.5
2016 NOV 22 14:14:33,-136.0,-26.6,05:52:06,50.5,131.0,80.5,19175.6
2016 NOV 22 14:14:43,-136.6,-26.3,05:49:40,49.7,130.9,81.2,19158.8
2016 NOV 22 14:14:53,-137.2,-26.0,05:47:18,49.0,130.8,81.8,19141.9
2016 NOV 22 14:15:03,-137.9,-25.7,05:45:00,48.3,130.7,82.4,19125.1
2016 NOV 22 14:15:13,-138.5,-25.4,05:42:44,47.6,130.6,83.0,19108.2
2016 NOV 22 14:15:23,-139.0,-25.1,05:40:32,47.0,130.5,83.5,19091.3
2016 NOV 22 14:15:33,-139.6,-24.8,05:38:23,46.3,130.4,84.1,19074.4
2016 NOV 22 14:15:43,-140.2,-24.5,05:36:17,45.6,130.3,84.7,19057.5
2016 NOV 22 14:15:53,-140.6,-24.2,05:34:41,45.1,130.2,85.1,19040.6
2016 NOV 22 14:16:03,-140.8,-24.1,05:34:00,44.9,130.2,85.3,19023.7
2016 NOV 22 14:16:13,-140.8,-24.0,05:34:15,44.9,130.2,85.3,19006.8
2016 NOV 22 14:16:23,-140.6,-24.1,05:35:23,45.2,130.2,85.0,18989.9
2016 NOV 22 14:16:33,-140.1,-24.2,05:37:28,45.7,130.2,84.5,18973.0
2016 NOV 22 14:16:43,-139.4,-24.5,05:40:29,46.5,130.3,83.8,18956.0
2016 NOV 22 14:16:53,-138.5,-24.8,05:44:03,47.5,130.4,83.0,18939.1
2016 NOV 22 14:17:03,-137.7,-25.0,05:47:42,48.4,130.5,82.1,18922.1
2016 NOV 22 14:17:13,-136.8,-25.3,05:51:26,49.4,130.6,81.2,18905.2
2016 NOV 22 14:17:23,-135.9,-25.6,05:55:15,50.4,130.7,80.3,18888.2
2016 NOV 22 14:17:33,-134.9,-25.9,05:59:11,51.5,130.8,79.4,18871.2
2016 NOV 22 14:17:43,-133.9,-26.2,06:03:14,52.5,130.9,78.4,18854.3
2016 NOV 22 14:17:53,-132.9,-26.5,06:07:23,53.6,131.0,77.4,18837.3
2016 NOV 22 14:18:03,-131.9,-26.8,06:11:41,54.7,131.1,76.4,18820.3
2016 NOV 22 14:18:13,-130.8,-27.1,06:16:07,55.8,131.2,75.4,18803.3
2016 NOV 22 14:18:23,-129.7,-27.4,06:20:42,57.0,131.3,74.4,18786.3
2016 NOV 22 14:18:33,-128.6,-27.7,06:25:28,58.2,131.4,73.3,18769.2
2016 NOV 22 14:18:43,-127.4,-28.0,06:30:26,59.4,131.5,72.1,18752.2
2016 NOV 22 14:18:53,-126.1,-28.3,06:35:37,60.7,131.6,71.0,18735.2
2016 NOV 22 14:19:03,-124.8,-28.6,06:41:03,62.0,131.7,69.7,18718.1
2016 NOV 22 14:19:13,-123.4,-28.9,06:46:46,63.4,131.8,68.4,18701.1
2016 NOV 22 14:19:23,-122.0,-29.2,06:52:49,64.9,131.9,67.1,18684.0
2016 NOV 22 14:19:33,-120.4,-29.6,06:59:16,66.4,132.0,65.7,18667.0
2016 NOV 22 14:19:43,-118.7,-29.9,07:06:11,68.0,132.1,64.1,18649.9
2016 NOV 22 14:19:53,-116.9,-30.2,07:13:42,69.8,132.2,62.5,18632.8
2016 NOV 22 14:20:03,-114.8,-30.5,07:21:59,71.7,132.3,60.7,18615.7
2016 NOV 22 14:20:13,-112.5,-30.9,07:31:16,73.8,132.4,58.7,18598.6
2016 NOV 22 14:20:23,-109.9,-31.2,07:42:03,76.2,132.5,56.3,18581.5
2016 NOV 22 14:20:33,-106.6,-31.5,07:55:17,79.2,132.6,53.5,18564.4
2016 NOV 22 14:20:43,-102.0,-31.9,08:14:01,83.3,132.7,49.5,18547.3
2016 NOV 22 14:36:33,-99.3,-25.5,08:40:16,87.0,131.0,44.8,16884.3
2016 NOV 22 14:36:43,-103.9,-25.3,08:21:48,82.8,130.9,48.9,16866.4
2016 NOV 22 14:36:53,-106.7,-25.0,08:10:58,80.2,130.8,51.4,16848.5
2016 NOV 22 14:37:03,-108.8,-24.8,08:02:34,78.2,130.7,53.3,16830.6
2016 NOV 22 14:37:13,-110.6,-24.5,07:55:31,76.5,130.6,54.9,16812.6
2016 NOV 22 14:37:23,-112.2,-24.2,07:49:21,75.0,130.5,56.3,16794.7
2016 NOV 22 14:37:33,-113.6,-24.0,07:43:50,73.6,130.4,57.6,16776.7
2016 NOV 22 14:37:43,-114.9,-23.7,07:38:48,72.3,130.3,58.8,16758.8
2016 NOV 22 14:37:53,-115.9,-23.5,07:35:06,71.4,130.2,59.7,16740.8
2016 NOV 22 14:38:03,-116.4,-23.3,07:33:19,70.9,130.2,60.1,16722.8
2016 NOV 22 14:38:13,-116.5,-23.3,07:33:00,70.8,130.2,60.2,16704.8
2016 NOV 22 14:38:23,-116.3,-23.2,07:33:55,71.0,130.1,60.0,16686.8
2016 NOV 22 14:38:33,-115.9,-23.2,07:35:49,71.4,130.2,59.6,16668.8
2016 NOV 22 14:38:43,-115.2,-23.3,07:38:31,72.0,130.2,59.0,16650.8
2016 NOV 22 14:38:53,-114.4,-23.3,07:41:52,72.8,130.2,58.2,16632.8
2016 NOV 22 14:39:03,-113.5,-23.4,07:45:40,73.7,130.2,57.4,16614.8
