UTC Time,Longitude,Latitude,Local Solar Time,Emission Angle,Phase Angle,Solar Angle,Distance (km)
2016 NOV 22 18:28:43,26.9,5.0,20:50:42,3.4,132.5,130.4,17494.2
2016 NOV 22 18:28:53,26.9,5.0,20:50:49,3.4,132.5,130.5,17511.8
2016 NOV 22 18:29:03,26.9,5.0,20:50:57,3.4,132.5,130.5,17529.4
2016 NOV 22 18:29:13,26.9,5.0,20:51:05,3.4,132.5,130.5,17547.0
2016 NOV 22 18:29:23,26.9,5.0,20:51:13,3.4,132.6,130.5,17564.6
2016 NOV 22 18:29:33,26.8,5.0,20:51:21,3.4,132.6,130.6,17582.2
2016 NOV 22 18:29:43,26.8,5.0,20:51:28,3.4,132.6,130.6,17599.7
2016 NOV 22 18:29:53,26.8,4.9,20:51:36,3.4,132.6,130.6,17617.3
2016 NOV 22 18:30:03,26.8,4.9,20:51:44,3.4,132.7,130.6,17634.9
2016 NOV 22 18:30:13,26.8,4.9,20:51:51,3.4,132.7,130.7,17652.4
2016 NOV 22 18:30:23,26.8,4.9,20:51:59,3.4,132.7,130.7,17669.9
2016 NOV 22 18:30:33,26.8,4.9,20:52:07,3.4,132.8,130.7,17687.4
2016 NOV 22 18:30:43,26.8,4.9,20:52:14,3.4,132.8,130.7,17705.0
2016 NOV 22 18:30:53,26.8,4.9,20:52:22,3.4,132.8,130.8,17722.5
2016 NOV 22 18:31:03,26.8,4.9,20:52:30,3.4,132.8,130.8,17740.0
2016 NOV 22 18:31:13,26.8,4.9,20:52:37,3.4,132.9,130.8,17757.5
2016 NOV 22 18:31:23,26.7,4.9,20:52:45,3.4,132.9,130.8,17774.9
2016 NOV 22 18:31:33,26.7,4.9,20:52:52,3.4,132.9,130.9,17792.4
2016 NOV 22 18:31:43,26.7,4.9,20:53:00,3.5,132.9,130.9,17809.9
2016 NOV 22 18:31:53,26.7,4.9,20:53:08,3.5,133.0,130.9,17827.3
2016 NOV 22 18:32:03,26.7,4.9,20:53:15,3.5,133.0,130.9,17844.8
2016 NOV 22 18:32:13,26.7,4.9,20:53:23,3.5,133.0,131.0,17862.2
2016 NOV 22 18:32:23,26.7,4.9,20:53:30,3.5,133.0,131.0,17879.7
2016 NOV 22 18:32:33,26.7,4.9,20:53:38,3.5,133.1,131.0,17897.1
2016 NOV 22 18:32:43,26.7,4.8,20:53:45,3.5,133.1,131.0,17914.5
2016 NOV 22 18:32:53,26.7,4.8,20:53:52,3.5,133.1,131.1,17931.9
2016 NOV 22 18:33:03,26.7,4.8,20:54:00,3.5,133.2,131.1,17949.3
2016 NOV 22 18:33:13,26.6,4.8,20:54:07,3.5,133.2,131.1,17966.7
2016 NOV 22 18:33:23,26.6,4.8,20:54:15,3.5,133.2,131.1,17984.1
2016 NOV 22 18:33:33,26.6,4.8,20:54:22,3.5,133.2,131.1,18001.5
2016 NOV 22 18:33:43,26.6,4.8,20:54:30,3.5,133.3,131.2,18018.8
2016 NOV 22 18:33:53,26.6,4.8,20:54:37,3.5,133.3,131.2,18036.2
2016 NOV 22 18:34:03,26.6,4.8,20:54:44,3.5,133.3,131.2,18053.5
2016 NOV 22 18:34:13,26.6,4.8,20:54:52,3.5,133.3,131.2,18070.9
2016 NOV 22 18:34:23,26.6,4.8,20:54:59,3.5,133.4,131.3,18088.2
2016 NOV 22 18:34:33,26.6,4.8,20:55:06,3.5,133.4,131.3,18105.5
2016 NOV 22 18:34:43,26.6,4.8,20:55:14,3.5,133.4,131.3,18122.9
2016 NOV 22 18:34:53,26.5,4.8,20:55:21,3.5,133.4,131.3,18140.2
2016 NOV 22 18:35:03,26.5,4.8,20:55:28,3.5,133.5,131.4,18157.5
2016 NOV 22 18:35:13,26.5,4.8,20:55:35,3.5,133.5,131.4,18174.8
2016 NOV 22 18:35:23,26.5,4.8,20:55:43,3.5,133.5,131.4,18192.1
2016 NOV 22 18:35:33,26.5,4.7,20:55:50,3.5,133.5,131.4,18209.3
2016 NOV 22 18:35:43,26.5,4.7,20:55:57,3.5,133.6,131.5,18226.6
2016 NOV 22 18:35:53,26.5,4.7,20:56:04,3.5,133.6,131.5,18243.9
