UTC Time,Longitude,Latitude,Local Solar Time,Emission Angle,Phase Angle,Solar Angle,Distance (km)
2016 NOV 26 20:20:47,-155.6,-39.2,07:52:50,83.0,136.0,53.1,19791.8
2016 NOV 26 20:20:57,-159.8,-38.7,07:36:28,79.7,135.9,56.3,19775.2
2016 NOV 26 20:21:07,-162.8,-38.2,07:24:31,77.2,135.8,58.6,19758.6
2016 NOV 26 20:21:17,-165.3,-37.8,07:14:44,75.2,135.7,60.6,19742.0
2016 NOV 26 20:21:27,-167.4,-37.3,07:06:20,73.3,135.6,62.3,19725.4
2016 NOV 26 20:21:37,-169.3,-36.9,06:58:54,71.7,135.5,63.9,19708.8
2016 NOV 26 20:21:47,-171.0,-36.4,06:52:12,70.2,135.4,65.3,19692.2
2016 NOV 26 20:21:57,-172.6,-36.0,06:46:04,68.8,135.3,66.6,19675.6
2016 NOV 26 20:22:07,-174.1,-35.6,06:40:24,67.5,135.2,67.8,19659.0
2016 NOV 26 20:22:17,-175.4,-35.2,06:35:08,66.2,135.1,68.9,19642.3
2016 NOV 26 20:22:27,-176.7,-34.8,06:30:12,65.0,135.0,70.0,19625.7
2016 NOV 26 20:22:37,-177.9,-34.4,06:25:33,63.9,134.9,71.0,19609.0
2016 NOV 26 20:22:47,-179.0,-34.0,06:21:10,62.8,134.8,72.0,19592.4
2016 NOV 26 20:22:57,179.9,-33.6,06:16:59,61.8,134.7,73.0,19575.7
2016 NOV 26 20:23:07,178.9,-33.2,06:13:01,60.8,134.6,73.9,19559.0
2016 NOV 26 20:23:17,177.9,-32.8,06:09:14,59.8,134.5,74.8,19542.3
2016 NOV 26 20:23:27,176.9,-32.4,06:05:36,58.8,134.4,75.6,19525.6
2016 NOV 26 20:23:37,176.0,-32.1,06:02:07,57.9,134.3,76.4,19509.0
2016 NOV 26 20:23:47,175.1,-31.7,05:58:47,57.0,134.2,77.2,19492.2
2016 NOV 26 20:23:57,174.3,-31.3,05:55:33,56.2,134.1,78.0,19475.5
2016 NOV 26 20:24:07,173.5,-31.0,05:52:27,55.3,134.0,78.7,19458.8
2016 NOV 26 20:24:17,172.7,-30.6,05:49:27,54.5,133.9,79.5,19442.1
2016 NOV 26 20:24:27,171.9,-30.3,05:46:33,53.6,133.8,80.2,19425.4
2016 NOV 26 20:24:37,171.2,-29.9,05:43:44,52.9,133.7,80.9,19408.6
2016 NOV 26 20:24:47,170.5,-29.6,05:41:01,52.1,133.6,81.6,19391.9
2016 NOV 26 20:24:57,169.8,-29.2,05:38:22,51.3,133.5,82.2,19375.1
2016 NOV 26 20:25:07,169.1,-28.9,05:35:48,50.5,133.4,82.9,19358.4
2016 NOV 26 20:25:17,168.4,-28.5,05:33:18,49.8,133.3,83.5,19341.6
2016 NOV 26 20:25:27,167.8,-28.2,05:30:52,49.1,133.2,84.1,19324.8
2016 NOV 26 20:25:37,167.1,-27.9,05:28:30,48.4,133.1,84.8,19308.0
2016 NOV 26 20:25:47,166.5,-27.5,05:26:12,47.7,133.0,85.4,19291.2
2016 NOV 26 20:25:57,165.9,-27.2,05:23:57,47.0,132.9,85.9,19274.4
2016 NOV 26 20:26:07,165.3,-26.9,05:21:46,46.3,132.8,86.5,19257.6
2016 NOV 26 20:26:17,164.7,-26.6,05:19:37,45.6,132.7,87.1,19240.8
2016 NOV 26 20:26:27,164.2,-26.2,05:17:31,44.9,132.6,87.7,19224.0
2016 NOV 26 20:26:37,163.6,-25.9,05:15:28,44.3,132.5,88.2,19207.2
2016 NOV 26 20:26:47,163.1,-25.6,05:13:28,43.6,132.4,88.8,19190.4
2016 NOV 26 20:26:57,162.6,-25.3,05:11:30,43.0,132.3,89.3,19173.5
2016 NOV 26 20:27:07,162.0,-25.0,05:09:35,42.4,132.2,89.8,19156.7
2016 NOV 26 20:27:17,161.5,-24.7,05:07:42,41.7,132.1,90.4,19139.8
2016 NOV 26 20:27:27,161.0,-24.4,05:05:52,41.1,132.0,90.9,19122.9
2016 NOV 26 20:27:37,160.5,-24.1,05:04:03,40.5,131.9,91.4,19106.1
2016 NOV 26 20:27:47,160.0,-23.8,05:02:17,39.9,131.8,91.9,19089.2
2016 NOV 26 20:27:57,159.6,-23.5,05:00:32,39.3,131.7,92.4,19072.3
2016 NOV 26 20:28:07,159.1,-23.2,04:58:50,38.7,131.6,92.9,19055.4
2016 NOV 26 20:28:17,158.7,-22.9,04:57:32,38.3,131.5,93.2,19038.5
2016 NOV 26 20:28:27,158.6,-22.8,04:57:02,38.0,131.5,93.4,19021.6
2016 NOV 26 20:28:37,158.6,-22.7,04:57:18,38.1,131.4,93.4,19004.7
2016 NOV 26 20:28:47,158.8,-22.8,04:58:20,38.3,131.5,93.2,18987.8
2016 NOV 26 20:28:57,159.2,-22.9,05:00:09,38.8,131.5,92.7,18970.8
2016 NOV 26 20:29:07,159.8,-23.2,05:02:46,39.5,131.6,92.1,18953.9
2016 NOV 26 20:29:17,160.6,-23.5,05:05:49,40.4,131.7,91.3,18936.9
2016 NOV 26 20:29:27,161.3,-23.7,05:08:55,41.2,131.8,90.6,18920.0
2016 NOV 26 20:29:37,162.0,-24.0,05:12:04,42.1,131.9,89.8,18903.0
2016 NOV 26 20:29:47,162.8,-24.3,05:15:17,43.0,132.0,89.0,18886.1
2016 NOV 26 20:29:57,163.6,-24.6,05:18:33,43.9,132.1,88.2,18869.1
2016 NOV 26 20:30:07,164.4,-24.9,05:21:54,44.8,132.2,87.4,18852.1
2016 NOV 26 20:30:17,165.2,-25.2,05:25:18,45.7,132.3,86.6,18835.1
