UTC Time,Longitude,Latitude,Local Solar Time,Emission Angle,Phase Angle,Solar Angle,Distance (km)
2016 NOV 26 22:33:10,171.4,-13.0,07:49:40,82.2,38.8,59.8,4037.1
2016 NOV 26 22:33:20,174.9,-12.4,08:04:01,78.6,38.8,56.8,4023.2
2016 NOV 26 22:33:30,177.6,-11.9,08:14:55,75.9,38.8,54.5,4009.4
2016 NOV 26 22:33:40,179.9,-11.5,08:24:06,73.6,38.8,52.6,3995.9
2016 NOV 26 22:33:50,-178.1,-11.1,08:32:13,71.6,38.8,50.9,3982.5
2016 NOV 26 22:34:00,-176.3,-10.8,08:39:36,69.8,38.8,49.4,3969.4
2016 NOV 26 22:34:10,-174.7,-10.5,08:46:24,68.1,38.8,48.0,3956.5
2016 NOV 26 22:34:20,-173.1,-10.2,08:52:47,66.5,38.8,46.7,3943.7
2016 NOV 26 22:34:30,-171.6,-9.9,08:58:48,65.0,38.8,45.5,3931.2
2016 NOV 26 22:34:40,-170.3,-9.7,09:04:32,63.6,38.8,44.3,3918.9
2016 NOV 26 22:34:50,-168.9,-9.4,09:10:01,62.2,38.8,43.2,3906.9
2016 NOV 26 22:35:00,-167.6,-9.2,09:15:18,60.9,38.8,42.2,3895.0
2016 NOV 26 22:35:10,-166.4,-9.0,09:20:23,59.6,38.8,41.2,3883.4
2016 NOV 26 22:35:20,-165.2,-8.8,09:25:19,58.4,38.8,40.2,3872.0
2016 NOV 26 22:35:30,-164.1,-8.5,09:30:06,57.2,38.8,39.3,3860.9
2016 NOV 26 22:35:40,-162.9,-8.3,09:34:46,56.0,38.8,38.4,3849.9
2016 NOV 26 22:35:50,-161.8,-8.1,09:39:19,54.9,38.8,37.5,3839.2
2016 NOV 26 22:36:00,-160.8,-7.9,09:43:45,53.8,38.8,36.7,3828.8
2016 NOV 26 22:36:10,-159.7,-7.7,09:48:06,52.7,38.8,35.9,3818.6
2016 NOV 26 22:36:20,-158.7,-7.6,09:52:23,51.7,38.8,35.1,3808.6
2016 NOV 26 22:36:30,-157.7,-7.4,09:56:34,50.6,38.8,34.4,3798.9
2016 NOV 26 22:36:40,-156.7,-7.2,10:00:41,49.6,38.8,33.6,3789.4
2016 NOV 26 22:36:50,-155.7,-7.0,10:04:44,48.6,38.8,32.9,3780.2
2016 NOV 26 22:37:00,-154.8,-6.9,10:08:44,47.6,38.8,32.2,3771.3
2016 NOV 26 22:37:10,-153.8,-6.7,10:12:40,46.6,38.8,31.6,3762.6
2016 NOV 26 22:37:20,-152.9,-6.5,10:16:33,45.7,38.8,30.9,3754.2
2016 NOV 26 22:37:30,-152.0,-6.4,10:20:23,44.7,38.8,30.3,3746.0
2016 NOV 26 22:37:40,-151.1,-6.2,10:24:11,43.8,38.8,29.7,3738.1
2016 NOV 26 22:37:50,-150.2,-6.0,10:27:56,42.9,38.8,29.2,3730.4
2016 NOV 26 22:38:00,-149.3,-5.9,10:31:39,41.9,38.8,28.6,3723.1
2016 NOV 26 22:38:10,-148.4,-5.7,10:35:19,41.0,38.8,28.1,3716.0
2016 NOV 26 22:38:20,-147.5,-5.6,10:38:57,40.1,38.8,27.6,3709.2
2016 NOV 26 22:38:30,-146.7,-5.4,10:42:34,39.3,38.8,27.1,3702.6
2016 NOV 26 22:38:40,-145.8,-5.3,10:46:08,38.4,38.8,26.6,3696.4
2016 NOV 26 22:38:50,-145.0,-5.1,10:49:41,37.5,38.8,26.2,3690.4
2016 NOV 26 22:39:00,-144.1,-5.0,10:53:12,36.6,38.8,25.8,3684.7
2016 NOV 26 22:39:10,-143.3,-4.8,10:56:42,35.8,38.8,25.4,3679.3
2016 NOV 26 22:39:20,-142.5,-4.7,11:00:10,34.9,38.8,25.0,3674.2
2016 NOV 26 22:39:30,-141.7,-4.5,11:03:37,34.1,38.8,24.7,3669.3
2016 NOV 26 22:39:40,-140.8,-4.4,11:07:03,33.3,38.8,24.3,3664.8
2016 NOV 26 22:39:50,-140.0,-4.2,11:10:27,32.5,38.8,24.0,3660.5
2016 NOV 26 22:40:00,-139.2,-4.1,11:13:50,31.6,38.8,23.8,3656.6
