UTC Time,Longitude,Latitude,Local Solar Time,Emission Angle,Phase Angle,Solar Angle,Distance (km)
2016 NOV 22 09:40:43,-119.1,50.0,02:33:12,57.3,137.3,141.3,40631.0
2016 NOV 22 09:40:53,-119.1,50.0,02:33:13,57.3,137.3,141.3,40620.5
2016 NOV 22 09:41:03,-119.2,50.0,02:33:13,57.3,137.3,141.3,40609.9
2016 NOV 22 09:41:13,-119.2,49.9,02:33:14,57.2,137.3,141.3,40599.4
2016 NOV 22 09:41:23,-119.2,49.9,02:33:15,57.2,137.3,141.3,40588.8
2016 NOV 22 09:41:33,-119.3,49.9,02:33:15,57.2,137.3,141.4,40578.2
2016 NOV 22 09:41:43,-119.3,49.9,02:33:16,57.2,137.3,141.4,40567.7
2016 NOV 22 09:41:53,-119.4,49.8,02:33:16,57.1,137.3,141.4,40557.1
2016 NOV 22 09:42:03,-119.4,49.8,02:33:17,57.1,137.3,141.4,40546.5
2016 NOV 22 09:42:13,-119.4,49.8,02:33:18,57.1,137.3,141.4,40536.0
2016 NOV 22 09:42:23,-119.5,49.8,02:33:18,57.1,137.3,141.4,40525.4
2016 NOV 22 09:42:33,-119.5,49.7,02:33:19,57.1,137.3,141.4,40514.8
2016 NOV 22 09:42:43,-119.5,49.7,02:33:19,57.0,137.3,141.4,40504.2
2016 NOV 22 09:42:53,-119.6,49.7,02:33:20,57.0,137.3,141.4,40493.7
2016 NOV 22 09:43:03,-119.6,49.7,02:33:21,57.0,137.3,141.4,40483.1
2016 NOV 22 09:43:13,-119.7,49.6,02:33:21,57.0,137.3,141.4,40472.5
2016 NOV 22 09:43:23,-119.7,49.6,02:33:22,56.9,137.3,141.5,40461.9
2016 NOV 22 09:43:33,-119.7,49.6,02:33:22,56.9,137.3,141.5,40451.3
2016 NOV 22 09:43:43,-119.8,49.6,02:33:23,56.9,137.2,141.5,40440.7
2016 NOV 22 09:43:53,-119.8,49.5,02:33:24,56.9,137.2,141.5,40430.1
2016 NOV 22 09:44:03,-119.8,49.5,02:33:24,56.8,137.2,141.5,40419.5
2016 NOV 22 09:44:13,-119.9,49.5,02:33:25,56.8,137.2,141.5,40408.9
2016 NOV 22 09:44:23,-119.9,49.5,02:33:26,56.8,137.2,141.5,40398.3
2016 NOV 22 09:44:33,-120.0,49.5,02:33:26,56.8,137.2,141.5,40387.7
2016 NOV 22 09:44:43,-120.0,49.4,02:33:27,56.8,137.2,141.5,40377.1
2016 NOV 22 09:44:53,-120.0,49.4,02:33:27,56.7,137.2,141.5,40366.5
2016 NOV 22 09:45:03,-120.1,49.4,02:33:28,56.7,137.2,141.5,40355.9
2016 NOV 22 09:45:13,-120.1,49.4,02:33:29,56.7,137.2,141.5,40345.3
2016 NOV 22 09:45:23,-120.1,49.3,02:33:29,56.7,137.2,141.6,40334.7
2016 NOV 22 09:45:33,-120.2,49.3,02:33:30,56.6,137.2,141.6,40324.1
2016 NOV 22 09:45:43,-120.2,49.3,02:33:31,56.6,137.2,141.6,40313.5
2016 NOV 22 09:45:53,-120.3,49.3,02:33:31,56.6,137.2,141.6,40302.8
2016 NOV 22 09:46:03,-120.3,49.2,02:33:32,56.6,137.2,141.6,40292.2
2016 NOV 22 09:46:13,-120.3,49.2,02:33:33,56.5,137.2,141.6,40281.6
2016 NOV 22 09:46:23,-120.4,49.2,02:33:33,56.5,137.2,141.6,40271.0
2016 NOV 22 09:46:33,-120.4,49.2,02:33:34,56.5,137.2,141.6,40260.3
2016 NOV 22 09:46:43,-120.5,49.1,02:33:35,56.5,137.2,141.6,40249.7
2016 NOV 22 09:46:53,-120.5,49.1,02:33:35,56.5,137.2,141.6,40239.1
2016 NOV 22 09:47:03,-120.5,49.1,02:33:36,56.4,137.2,141.6,40228.4
2016 NOV 22 09:47:13,-120.6,49.1,02:33:37,56.4,137.2,141.6,40217.8
2016 NOV 22 09:47:23,-120.6,49.0,02:33:37,56.4,137.2,141.7,40207.2
2016 NOV 22 09:47:33,-120.6,49.0,02:33:38,56.4,137.1,141.7,40196.5
2016 NOV 22 09:47:43,-120.7,49.0,02:33:39,56.3,137.1,141.7,40185.9
2016 NOV 22 09:47:53,-120.7,49.0,02:33:39,56.3,137.1,141.7,40175.2
2016 NOV 22 09:48:03,-120.8,49.0,02:33:40,56.3,137.1,141.7,40164.6
2016 NOV 22 09:48:13,-120.8,48.9,02:33:41,56.3,137.1,141.7,40153.9
2016 NOV 22 09:48:23,-120.8,48.9,02:33:41,56.3,137.1,141.7,40143.3
2016 NOV 22 09:48:33,-120.9,48.9,02:33:42,56.2,137.1,141.7,40132.6
2016 NOV 22 09:48:43,-120.9,48.9,02:33:43,56.2,137.1,141.7,40122.0
2016 NOV 22 09:48:53,-120.9,48.8,02:33:43,56.2,137.1,141.7,40111.3
2016 NOV 22 09:49:03,-121.0,48.8,02:33:44,56.2,137.1,141.7,40100.6
2016 NOV 22 09:49:13,-121.0,48.8,02:33:45,56.1,137.1,141.7,40090.0
2016 NOV 22 09:49:23,-121.1,48.8,02:33:45,56.1,137.1,141.8,40079.3
2016 NOV 22 09:49:33,-121.1,48.7,02:33:46,56.1,137.1,141.8,40068.6
2016 NOV 22 09:49:43,-121.1,48.7,02:33:47,56.1,137.1,141.8,40058.0
2016 NOV 22 09:49:53,-121.2,48.7,02:33:47,56.1,137.1,141.8,40047.3
2016 NOV 22 09:50:03,-121.2,48.7,02:33:48,56.0,137.1,141.8,40036.6
2016 NOV 22 09:50:13,-121.2,48.6,02:33:49,56.0,137.1,141.8,40026.0
2016 NOV 22 09:50:23,-121.3,48.6,02:33:49,56.0,137.1,141.8,40015.3
2016 NOV 22 09:50:33,-121.3,48.6,02:33:50,56.0,137.1,141.8,40004.6
